Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.001,0.0
4,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.001,0.0
5,4,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0.00133,0.0
6,4,1,0,0,4,0,1,0,0,0,0,3,1,0,0,0,0.00133,0.0
7,4,2,0,0,4,0,1,0,0,0,0,3,2,0,0,0,0.00133,0.0
8,4,2,0,1,3,0,1,0,0,0,0,2,2,0,0,1,0.001,0.0
9,4,2,0,2,2,0,0,0,0,0,1,2,2,0,0,1,0.00067,0.0
10,4,2,0,2,2,0,0,0,0,0,1,2,2,0,0,1,0.00067,0.0
11,4,2,0,2,2,0,0,0,0,0,1,2,2,0,0,1,0.00067,0.0
12,4,2,0,2,2,0,0,0,0,0,1,2,2,0,0,1,0.00067,0.0
13,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
14,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
15,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
16,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
17,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
18,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
19,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
20,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
21,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
22,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
23,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
24,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
25,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
26,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
27,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
28,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
29,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
30,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
31,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
32,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
33,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
34,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
35,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
36,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
37,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
38,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
39,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
40,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
41,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
42,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
43,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
44,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
45,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
46,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
47,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
48,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
49,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
50,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
51,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
52,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
53,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
54,4,2,0,4,0,0,0,0,0,0,1,0,2,0,0,3,0.0,0.0
