Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,2,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0.00067,0.0
2,3,1,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0.001,0.0
3,4,1,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0.00133,0.0
4,4,2,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0.00133,0.0
5,4,2,0,0,4,0,3,2,0,0,0,1,0,0,0,0,0.00133,0.0
6,5,3,0,0,5,0,3,3,0,0,0,2,0,0,0,0,0.00167,0.0
7,5,4,0,0,5,1,3,4,0,0,0,2,0,1,0,0,0.00167,0.0
8,5,4,0,0,5,1,3,4,0,0,0,2,0,1,0,0,0.00167,0.0
9,6,4,0,0,6,1,3,4,0,0,0,3,0,1,0,0,0.002,0.0
10,7,5,0,1,6,1,3,4,0,0,1,3,1,1,0,0,0.002,0.0
11,9,5,0,3,6,1,3,4,0,0,3,3,1,1,0,0,0.002,0.0
12,11,6,0,3,8,1,5,5,0,0,3,3,1,1,0,0,0.00267,0.0
13,12,8,0,3,9,1,5,7,0,0,3,4,1,1,0,0,0.003,0.0
14,16,9,0,4,12,0,7,7,0,0,3,5,2,0,0,1,0.004,0.0
15,17,12,0,4,13,0,8,9,0,0,3,5,3,0,0,1,0.00433,0.0
16,19,13,0,4,15,0,10,9,0,0,3,5,4,0,0,1,0.005,0.0
17,20,14,0,5,15,0,10,10,0,0,4,5,4,0,0,1,0.005,0.0
18,24,14,0,5,19,1,11,10,1,0,4,8,4,0,0,1,0.00633,0.0
19,27,16,0,5,22,2,13,10,2,0,4,9,6,0,0,1,0.00733,0.0
20,29,18,0,5,24,3,14,11,3,0,4,10,7,0,0,1,0.008,0.0
21,34,19,0,8,26,3,17,11,3,0,6,9,8,0,0,2,0.00867,0.0
22,41,22,0,9,32,2,20,14,2,0,7,12,8,0,0,2,0.01067,0.0
23,46,25,0,11,35,2,21,17,2,0,8,14,8,0,0,3,0.01167,0.0
24,56,26,1,11,44,2,23,17,1,1,8,21,9,1,0,3,0.01467,0.01786
25,61,33,1,14,46,1,21,20,0,1,11,25,13,1,0,3,0.01533,0.01639
26,67,39,1,16,50,0,23,22,0,1,11,27,17,0,0,5,0.01667,0.01493
27,80,49,1,17,62,0,23,26,0,1,12,39,23,0,0,5,0.02067,0.0125
28,91,55,1,21,69,0,20,29,0,1,14,49,26,0,0,7,0.023,0.01099
29,98,57,1,26,71,0,20,30,0,1,16,51,27,0,0,10,0.02367,0.0102
30,108,64,1,29,78,1,25,31,1,1,18,53,33,0,0,11,0.026,0.00926
31,125,75,1,34,90,1,26,36,1,1,22,64,39,0,0,12,0.03,0.008
32,138,82,1,39,98,2,31,38,2,1,24,67,44,0,0,15,0.03267,0.00725
33,148,92,1,43,104,3,35,41,2,1,26,69,51,1,0,17,0.03467,0.00676
34,163,102,1,47,115,3,42,44,2,1,28,73,58,1,0,19,0.03833,0.00613
35,169,120,1,52,116,3,39,53,2,1,31,77,67,1,0,21,0.03867,0.00592
36,180,132,1,60,119,3,38,56,2,1,35,81,76,1,0,25,0.03967,0.00556
37,194,143,1,67,126,5,47,59,3,1,35,79,84,2,0,32,0.042,0.00515
38,202,156,1,77,124,5,47,63,3,1,39,77,93,2,0,38,0.04133,0.00495
39,214,165,1,93,120,4,51,68,3,1,42,69,97,1,0,51,0.04,0.00467
40,228,181,1,107,120,4,48,75,3,1,48,72,106,1,0,59,0.04,0.00439
41,234,193,1,115,118,3,45,79,2,1,51,73,114,1,0,64,0.03933,0.00427
42,243,199,1,125,117,5,45,81,2,1,54,72,118,3,0,71,0.039,0.00412
43,253,206,1,140,112,6,43,85,2,1,59,69,121,4,0,81,0.03733,0.00395
44,268,211,1,147,120,8,47,87,3,1,60,73,124,5,0,87,0.04,0.00373
45,276,219,2,156,118,7,48,89,3,1,64,70,130,4,1,92,0.03933,0.00725
46,287,229,3,170,114,6,47,93,3,2,69,67,136,3,1,101,0.038,0.01045
47,295,240,3,177,115,5,48,98,2,2,72,67,142,3,1,105,0.03833,0.01017
48,308,252,3,188,117,5,48,102,2,2,80,69,150,3,1,108,0.039,0.00974
49,318,262,3,200,115,5,48,105,3,2,86,67,157,2,1,114,0.03833,0.00943
50,332,271,3,208,121,6,47,109,3,2,91,74,162,3,1,117,0.04033,0.00904
51,343,281,3,222,118,3,50,113,1,2,97,68,168,2,1,125,0.03933,0.00875
52,352,292,3,233,116,5,48,119,2,2,102,68,173,3,1,131,0.03867,0.00852
53,358,307,3,242,113,4,46,125,2,2,105,67,182,2,1,137,0.03767,0.00838
54,362,315,3,253,106,5,45,128,3,2,108,61,187,2,1,145,0.03533,0.00829
55,375,320,3,262,110,6,49,129,3,2,111,61,191,3,1,151,0.03667,0.008
56,389,325,3,273,113,7,49,132,3,2,115,64,193,4,1,158,0.03767,0.00771
57,400,334,3,281,116,6,47,136,2,2,121,69,198,4,1,160,0.03867,0.0075
58,417,341,3,291,123,7,48,140,1,2,125,75,201,6,1,166,0.041,0.00719
59,427,348,3,303,121,7,47,144,2,2,132,74,204,5,1,171,0.04033,0.00703
60,436,356,3,309,124,7,55,146,2,2,133,69,210,5,1,176,0.04133,0.00688
61,445,366,5,323,117,6,51,151,2,2,139,66,215,4,3,184,0.039,0.01124
62,450,376,5,333,112,6,51,156,2,2,144,61,220,4,3,189,0.03733,0.01111
63,464,389,5,348,111,5,50,166,1,2,152,61,223,4,3,196,0.037,0.01078
64,472,403,5,359,108,5,50,171,0,2,154,58,232,5,3,205,0.036,0.01059
65,479,419,5,367,107,5,56,177,0,2,156,51,242,5,3,211,0.03567,0.01044
66,484,430,6,373,105,6,54,182,2,2,159,51,248,4,4,214,0.035,0.0124
67,492,435,6,384,102,7,51,184,2,2,166,51,251,5,4,218,0.034,0.0122
68,498,438,7,396,95,4,49,186,1,3,171,46,252,3,4,225,0.03167,0.01406
69,504,444,7,409,88,5,48,188,2,3,176,40,256,3,4,233,0.02933,0.01389
70,512,448,7,418,87,5,48,190,3,3,181,39,258,2,4,237,0.029,0.01367
71,519,453,7,431,81,5,44,195,3,3,188,37,258,2,4,243,0.027,0.01349
72,529,463,7,444,78,6,38,198,3,3,196,40,265,3,4,248,0.026,0.01323
73,533,470,7,452,74,5,36,204,2,3,201,38,266,3,4,251,0.02467,0.01313
74,538,478,7,461,70,6,35,210,3,3,205,35,268,3,4,256,0.02333,0.01301
75,546,482,7,465,74,4,41,213,2,3,207,33,269,2,4,258,0.02467,0.01282
76,555,491,7,469,79,4,43,216,2,3,210,36,275,2,4,259,0.02633,0.01261
77,560,502,8,478,74,3,40,222,2,3,212,34,280,1,5,266,0.02467,0.01429
78,569,508,8,485,76,4,44,226,3,3,214,32,282,1,5,271,0.02533,0.01406
79,582,511,8,490,84,5,48,228,3,3,217,36,283,2,5,273,0.028,0.01375
80,591,520,8,495,88,6,51,235,4,3,220,37,285,2,5,275,0.02933,0.01354
81,603,522,8,503,92,5,50,237,3,3,225,42,285,2,5,278,0.03067,0.01327
82,614,532,9,514,91,5,51,241,4,3,232,40,291,1,6,282,0.03033,0.01466
83,621,543,9,519,93,6,47,246,4,3,236,46,297,2,6,283,0.031,0.01449
84,632,552,9,525,98,6,55,250,3,3,237,43,302,3,6,288,0.03267,0.01424
85,649,563,9,534,106,5,57,255,2,3,243,49,308,3,6,291,0.03533,0.01387
86,663,575,9,543,111,4,60,262,2,3,248,51,313,2,6,295,0.037,0.01357
87,678,587,9,550,119,3,65,267,1,3,253,54,320,2,6,297,0.03967,0.01327
88,689,594,9,558,122,4,65,270,1,3,259,57,324,3,6,299,0.04067,0.01306
89,707,603,9,564,134,4,73,275,1,3,261,61,328,3,6,303,0.04467,0.01273
90,723,614,9,569,145,6,85,282,2,3,263,60,332,4,6,306,0.04833,0.01245
91,737,630,9,580,148,6,85,292,1,3,272,63,338,5,6,308,0.04933,0.01221
92,752,637,9,593,150,5,84,296,1,3,279,66,341,4,6,314,0.05,0.01197
93,769,652,9,605,155,7,78,302,3,3,288,77,350,4,6,317,0.05167,0.0117
94,782,664,10,621,151,6,77,313,4,3,293,74,351,2,7,328,0.05033,0.01279
95,800,671,10,633,157,7,83,316,5,3,299,74,355,2,7,334,0.05233,0.0125
96,813,687,10,641,162,9,89,323,7,3,302,73,364,2,7,339,0.054,0.0123
97,826,696,11,648,167,9,91,328,7,3,304,76,368,2,8,344,0.05567,0.01332
98,843,707,12,665,166,6,94,334,5,4,313,72,373,1,8,352,0.05533,0.01423
99,866,730,12,683,171,6,97,347,4,4,322,74,383,2,8,361,0.057,0.01386
100,884,744,12,700,172,7,100,352,5,4,333,72,392,2,8,367,0.05733,0.01357
101,906,758,12,710,184,9,104,361,5,4,341,80,397,4,8,369,0.06133,0.01325
102,923,779,13,721,189,9,108,371,4,5,347,81,408,5,8,374,0.063,0.01408
103,942,796,13,738,191,12,102,383,4,5,358,89,413,8,8,380,0.06367,0.0138
104,957,808,13,754,190,13,104,390,5,5,364,86,418,8,8,390,0.06333,0.01358
105,981,821,13,765,203,13,109,395,5,5,371,94,426,8,8,394,0.06767,0.01325
106,1001,843,14,782,205,14,105,406,5,5,382,100,437,9,9,400,0.06833,0.01399
107,1024,865,14,798,212,15,102,417,5,5,389,110,448,10,9,409,0.07067,0.01367
108,1055,885,14,815,226,16,100,429,5,5,401,126,456,11,9,414,0.07533,0.01327
109,1083,903,14,833,236,14,107,436,4,5,410,129,467,10,9,423,0.07867,0.01293
110,1112,926,14,858,240,13,101,442,5,5,421,139,484,8,9,437,0.08,0.01259
111,1141,950,14,872,255,14,107,452,7,5,428,148,498,7,9,444,0.085,0.01227
112,1170,976,14,895,261,18,112,463,11,5,440,149,513,7,9,455,0.087,0.01197
113,1192,996,14,916,262,20,111,470,11,5,451,151,526,9,9,465,0.08733,0.01174
114,1220,1022,14,938,268,21,113,480,11,5,463,155,542,10,9,475,0.08933,0.01148
115,1247,1047,15,954,278,22,117,488,13,5,469,161,559,9,10,485,0.09267,0.01203
116,1271,1067,15,967,289,25,125,500,14,5,472,164,567,11,10,495,0.09633,0.0118
117,1293,1088,15,1004,274,19,119,507,11,5,488,155,581,8,10,516,0.09133,0.0116
118,1312,1113,15,1025,272,16,117,518,9,5,499,155,595,7,10,526,0.09067,0.01143
119,1329,1130,16,1045,268,16,112,524,10,5,509,156,606,6,11,536,0.08933,0.01204
120,1355,1153,16,1078,261,16,110,531,8,5,527,151,622,8,11,551,0.087,0.01181
121,1380,1173,16,1102,262,12,115,541,5,5,537,147,632,7,11,565,0.08733,0.01159
122,1397,1195,16,1130,251,11,112,550,4,5,547,139,645,7,11,583,0.08367,0.01145
123,1423,1216,16,1156,251,12,109,559,4,5,560,142,657,8,11,596,0.08367,0.01124
124,1441,1240,16,1186,239,9,110,573,4,5,568,129,667,5,11,618,0.07967,0.0111
125,1460,1261,16,1205,239,9,111,586,3,5,575,128,675,6,11,630,0.07967,0.01096
126,1473,1283,16,1223,234,10,100,597,2,5,584,134,686,8,11,639,0.078,0.01086
127,1504,1300,16,1251,237,14,99,602,4,5,595,138,698,10,11,656,0.079,0.01064
128,1524,1318,16,1269,239,14,102,612,5,5,601,137,706,9,11,668,0.07967,0.0105
129,1532,1329,16,1289,227,14,96,617,7,5,610,131,712,7,11,679,0.07567,0.01044
130,1549,1349,16,1307,226,15,98,620,8,5,614,128,729,7,11,693,0.07533,0.01033
131,1575,1364,16,1339,220,16,92,626,8,5,634,128,738,8,11,705,0.07333,0.01016
132,1589,1380,16,1353,220,16,92,633,9,5,640,128,747,7,11,713,0.07333,0.01007
133,1606,1402,16,1376,214,14,89,643,8,5,649,125,759,6,11,727,0.07133,0.00996
134,1624,1419,16,1397,211,20,88,651,12,5,660,123,768,8,11,737,0.07033,0.00985
135,1645,1433,16,1419,210,19,89,659,12,5,670,121,774,7,11,749,0.07,0.00973
136,1662,1451,16,1440,206,14,87,668,9,5,679,119,783,5,11,761,0.06867,0.00963
137,1671,1465,17,1458,196,15,90,675,9,6,684,106,790,6,11,774,0.06533,0.01017
138,1683,1475,17,1476,190,15,88,681,10,6,690,102,794,5,11,786,0.06333,0.0101
139,1701,1491,17,1495,189,17,82,687,12,6,699,107,804,5,11,796,0.063,0.00999
140,1715,1507,17,1518,180,15,80,697,11,6,709,100,810,4,11,809,0.06,0.00991
141,1728,1527,18,1535,175,13,76,706,9,6,716,99,821,4,12,819,0.05833,0.01042
142,1736,1543,18,1557,161,14,71,713,6,6,725,90,830,8,12,832,0.05367,0.01037
143,1745,1559,18,1572,155,14,71,718,6,6,731,84,841,8,12,841,0.05167,0.01032
144,1761,1576,18,1589,154,13,69,726,5,6,739,85,850,8,12,850,0.05133,0.01022
145,1773,1581,18,1608,147,13,66,729,4,6,748,81,852,9,12,860,0.049,0.01015
146,1775,1589,18,1621,136,15,62,733,7,6,752,74,856,8,12,869,0.04533,0.01014
147,1781,1605,19,1636,126,15,53,741,6,7,760,73,864,9,12,876,0.042,0.01067
148,1789,1615,19,1651,119,15,54,745,5,7,766,65,870,10,12,885,0.03967,0.01062
149,1799,1621,19,1661,119,14,57,748,4,7,770,62,873,10,12,891,0.03967,0.01056
150,1816,1629,20,1674,122,11,57,752,3,8,777,65,877,8,12,897,0.04067,0.01101
