Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.001,0.0
2,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0.00133,0.0
3,4,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0.00133,0.0
4,4,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0.00133,0.0
5,4,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0.00133,0.0
6,4,1,0,0,4,0,3,1,0,0,0,1,0,0,0,0,0.00133,0.0
7,4,1,0,0,4,0,3,1,0,0,0,1,0,0,0,0,0.00133,0.0
8,5,1,0,0,5,0,4,1,0,0,0,1,0,0,0,0,0.00167,0.0
9,6,1,0,0,6,0,5,1,0,0,0,1,0,0,0,0,0.002,0.0
10,6,1,0,0,6,0,5,1,0,0,0,1,0,0,0,0,0.002,0.0
11,6,3,0,3,3,0,3,2,0,0,2,0,1,0,0,1,0.001,0.0
12,6,3,0,3,3,0,3,2,0,0,2,0,1,0,0,1,0.001,0.0
13,6,4,0,4,2,0,2,3,0,0,3,0,1,0,0,1,0.00067,0.0
14,6,4,0,4,2,1,2,3,1,0,3,0,1,0,0,1,0.00067,0.0
15,7,5,0,4,3,1,3,4,1,0,3,0,1,0,0,1,0.001,0.0
16,7,5,0,4,3,1,3,4,1,0,3,0,1,0,0,1,0.001,0.0
17,8,5,0,4,4,1,4,4,1,0,3,0,1,0,0,1,0.00133,0.0
18,8,5,0,5,3,1,3,4,1,0,4,0,1,0,0,1,0.001,0.0
19,9,5,0,5,4,1,4,4,1,0,4,0,1,0,0,1,0.00133,0.0
20,9,5,0,6,3,0,3,4,0,0,5,0,1,0,0,1,0.001,0.0
21,9,5,0,6,3,0,3,4,0,0,5,0,1,0,0,1,0.001,0.0
22,9,5,0,6,3,0,3,4,0,0,5,0,1,0,0,1,0.001,0.0
23,9,5,0,6,3,0,3,4,0,0,5,0,1,0,0,1,0.001,0.0
24,9,5,0,7,2,0,2,4,0,0,6,0,1,0,0,1,0.00067,0.0
25,9,5,0,7,2,0,2,4,0,0,6,0,1,0,0,1,0.00067,0.0
26,9,5,0,7,2,0,2,4,0,0,6,0,1,0,0,1,0.00067,0.0
27,9,5,0,8,1,0,1,4,0,0,7,0,1,0,0,1,0.00033,0.0
28,9,5,0,8,1,0,0,4,0,0,7,1,1,0,0,1,0.00033,0.0
29,9,5,0,8,1,0,1,4,0,0,7,0,1,0,0,1,0.00033,0.0
30,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
31,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
32,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
33,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
34,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
35,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
36,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
37,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
38,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
39,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
40,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
41,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
42,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
43,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
44,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
45,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
46,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
47,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
48,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
49,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
50,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
51,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
52,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
53,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
54,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
55,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
56,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
57,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
58,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
59,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
60,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
61,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
62,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
63,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
64,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
65,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
66,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
67,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
68,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
69,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
70,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
71,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
72,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
73,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
74,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
75,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
76,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
77,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
78,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
79,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
80,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
81,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
82,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
83,9,5,0,9,0,0,0,4,0,0,8,0,1,0,0,1,0.0,0.0
