Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
4,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
5,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
6,2,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0.00067,0.0
7,2,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0.00067,0.0
8,2,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0.00067,0.0
9,3,1,0,1,2,0,2,1,0,0,1,0,0,0,0,0,0.00067,0.0
10,3,1,0,1,2,0,2,1,0,0,1,0,0,0,0,0,0.00067,0.0
11,3,2,0,1,2,0,2,2,0,0,1,0,0,0,0,0,0.00067,0.0
12,3,2,0,1,2,0,2,2,0,0,1,0,0,0,0,0,0.00067,0.0
13,3,2,0,1,2,0,2,2,0,0,1,0,0,0,0,0,0.00067,0.0
14,4,2,0,1,3,0,3,2,0,0,1,0,0,0,0,0,0.001,0.0
15,4,2,0,1,3,0,3,2,0,0,1,0,0,0,0,0,0.001,0.0
16,5,2,0,1,4,0,4,2,0,0,1,0,0,0,0,0,0.00133,0.0
17,5,2,0,2,3,0,3,2,0,0,2,0,0,0,0,0,0.001,0.0
18,6,2,0,2,4,0,4,2,0,0,2,0,0,0,0,0,0.00133,0.0
19,8,2,0,2,6,0,6,2,0,0,2,0,0,0,0,0,0.002,0.0
20,9,2,0,2,7,0,7,2,0,0,2,0,0,0,0,0,0.00233,0.0
21,9,2,0,3,6,0,6,2,0,0,3,0,0,0,0,0,0.002,0.0
22,9,2,0,3,6,0,6,2,0,0,3,0,0,0,0,0,0.002,0.0
23,9,2,0,3,6,0,6,2,0,0,3,0,0,0,0,0,0.002,0.0
24,10,2,0,3,7,0,7,2,0,0,3,0,0,0,0,0,0.00233,0.0
25,11,3,0,3,8,0,8,3,0,0,3,0,0,0,0,0,0.00267,0.0
26,12,4,0,3,9,0,9,4,0,0,3,0,0,0,0,0,0.003,0.0
27,12,4,0,5,7,0,7,4,0,0,5,0,0,0,0,0,0.00233,0.0
28,14,4,0,5,9,0,9,4,0,0,5,0,0,0,0,0,0.003,0.0
29,14,4,0,5,9,0,8,4,0,0,5,1,0,0,0,0,0.003,0.0
30,15,5,0,7,8,0,7,5,0,0,7,1,0,0,0,0,0.00267,0.0
31,16,6,0,7,9,0,8,5,0,0,7,1,1,0,0,0,0.003,0.0
32,18,6,0,8,10,0,9,5,0,0,8,1,1,0,0,0,0.00333,0.0
33,20,6,0,10,10,0,8,5,0,0,10,2,1,0,0,0,0.00333,0.0
34,23,8,0,10,13,0,10,7,0,0,10,3,1,0,0,0,0.00433,0.0
35,29,10,0,10,19,0,14,9,0,0,10,5,1,0,0,0,0.00633,0.0
36,32,11,0,11,21,0,14,10,0,0,10,7,1,0,0,1,0.007,0.0
37,35,11,0,12,23,0,14,10,0,0,10,9,1,0,0,2,0.00767,0.0
38,40,11,0,13,27,0,15,10,0,0,11,12,1,0,0,2,0.009,0.0
39,48,14,0,16,32,0,20,12,0,0,13,12,2,0,0,3,0.01067,0.0
40,55,14,0,17,38,0,26,12,0,0,13,12,2,0,0,4,0.01267,0.0
41,64,16,0,18,46,0,30,14,0,0,14,16,2,0,0,4,0.01533,0.0
42,72,19,0,19,53,0,37,17,0,0,15,16,2,0,0,4,0.01767,0.0
43,82,22,0,21,61,0,40,18,0,0,17,21,4,0,0,4,0.02033,0.0
44,94,28,0,22,72,1,46,23,1,0,18,26,5,0,0,4,0.024,0.0
45,105,33,0,27,78,1,44,27,1,0,22,34,6,0,0,5,0.026,0.0
46,113,36,0,33,80,2,44,27,1,0,24,36,9,1,0,9,0.02667,0.0
47,129,38,0,33,96,2,56,27,1,0,24,40,11,1,0,9,0.032,0.0
48,141,46,0,37,104,3,56,32,1,0,26,48,14,2,0,11,0.03467,0.0
49,161,52,0,42,119,3,65,35,1,0,29,54,17,2,0,13,0.03967,0.0
50,184,58,0,53,131,4,72,37,3,0,36,59,21,1,0,17,0.04367,0.0
51,208,66,0,64,144,6,73,41,4,0,42,71,25,2,0,22,0.048,0.0
52,230,71,0,75,155,5,77,44,3,0,49,78,27,2,0,26,0.05167,0.0
53,272,80,1,86,185,4,88,49,2,1,57,97,31,2,0,29,0.06167,0.00368
54,295,93,1,96,198,5,92,56,2,1,61,106,37,3,0,35,0.066,0.00339
