Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0.0,0.0
2,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0.0,0.0
3,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0.0,0.0
4,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0.0,0.0
5,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0.0,0.0
6,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0.0,0.00233,0.0,0.0,0.0,0.0
7,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.00267,0.0,0.0,0.0,0.0
8,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.00267,0.0,0.0,0.0,0.0
9,9,0,0,2,7,0,0,7,0,0,0,2,0,0,0,0,0,0.0,0.00233,0.00067,0.0,0.0,0.0
10,11,0,0,2,9,0,0,9,0,0,0,2,0,0,0,0,0,0.0,0.003,0.00067,0.0,0.0,0.0
11,11,0,0,3,8,0,0,8,0,0,0,3,0,0,0,0,0,0.0,0.00267,0.001,0.0,0.0,0.0
12,14,0,0,5,9,0,0,9,0,0,0,5,0,0,0,0,0,0.0,0.003,0.00167,0.0,0.0,0.0
13,15,0,0,5,10,0,0,10,0,0,0,5,0,0,0,0,0,0.0,0.00333,0.00167,0.0,0.0,0.0
14,15,0,0,5,10,0,0,10,0,0,0,5,0,0,0,0,0,0.0,0.00333,0.00167,0.0,0.0,0.0
15,16,0,0,5,11,0,0,11,0,0,0,5,0,0,0,0,0,0.0,0.00367,0.00167,0.0,0.0,0.0
16,16,0,0,5,11,0,0,11,0,0,0,5,0,0,0,0,0,0.0,0.00367,0.00167,0.0,0.0,0.0
17,18,0,0,6,12,0,0,10,0,0,0,6,2,0,0,0,0,0.0,0.004,0.002,0.0,0.0,0.0
18,18,0,0,7,11,0,0,8,0,0,0,7,3,0,0,0,0,0.0,0.00367,0.00233,0.0,0.0,0.0
19,21,1,0,8,13,1,0,10,1,0,0,8,3,0,0,0,0,0.00033,0.00433,0.00267,0.0,0.0,0.0
20,21,1,0,10,11,1,0,8,1,0,0,10,3,0,0,0,0,0.00033,0.00367,0.00333,0.0,0.0,0.0
21,22,1,0,12,10,1,0,8,1,0,0,11,2,0,0,0,1,0.00033,0.00333,0.004,0.0,0.0,0.0
22,23,1,0,13,10,0,0,8,1,0,0,12,2,0,0,0,1,0.0,0.00333,0.00433,0.0,0.0,0.0
23,24,1,0,14,10,0,0,8,1,0,0,13,2,0,0,0,1,0.0,0.00333,0.00467,0.0,0.0,0.0
24,26,1,0,16,10,0,0,9,1,0,0,14,1,0,0,0,2,0.0,0.00333,0.00533,0.0,0.0,0.0
25,26,1,0,16,10,0,0,9,1,0,0,14,1,0,0,0,2,0.0,0.00333,0.00533,0.0,0.0,0.0
26,28,1,0,16,12,0,0,11,1,0,0,14,1,0,0,0,2,0.0,0.004,0.00533,0.0,0.0,0.0
27,29,1,0,18,11,0,0,11,1,0,0,15,0,0,0,0,3,0.0,0.00367,0.006,0.0,0.0,0.0
28,30,1,0,18,12,0,1,12,1,1,0,15,0,0,0,0,3,0.0,0.004,0.006,0.0,0.0,0.0
29,33,2,0,19,14,1,2,14,2,2,0,16,0,0,0,0,3,0.00033,0.00467,0.00633,0.0,0.0,0.0
30,34,3,0,21,13,2,2,13,3,2,0,18,0,0,0,0,3,0.00067,0.00433,0.007,0.0,0.0,0.0
31,35,4,0,21,14,3,4,14,4,4,0,18,0,0,0,0,3,0.001,0.00467,0.007,0.0,0.0,0.0
32,37,7,0,23,14,5,3,14,7,3,0,20,0,0,0,0,3,0.00167,0.00467,0.00767,0.0,0.0,0.0
33,38,7,0,25,13,3,3,13,7,3,0,22,0,0,0,0,3,0.001,0.00433,0.00833,0.0,0.0,0.0
34,40,7,0,26,14,2,2,14,7,2,0,23,0,0,0,0,3,0.00067,0.00467,0.00867,0.0,0.0,0.0
35,42,7,0,26,16,2,2,15,7,2,0,23,1,0,0,0,3,0.00067,0.00533,0.00867,0.0,0.0,0.0
36,44,7,0,28,16,0,0,15,7,0,0,25,1,0,0,0,3,0.0,0.00533,0.00933,0.0,0.0,0.0
37,47,8,0,29,18,1,0,16,7,0,0,26,2,1,0,0,3,0.00033,0.006,0.00967,0.0,0.0,0.0
38,49,9,0,30,19,2,0,16,8,0,0,27,3,1,0,0,3,0.00067,0.00633,0.01,0.0,0.0,0.0
39,52,9,0,32,20,2,1,16,8,1,0,29,4,1,0,0,3,0.00067,0.00667,0.01067,0.0,0.0,0.0
40,54,10,0,33,21,3,2,17,9,2,0,30,4,1,0,0,3,0.001,0.007,0.011,0.0,0.0,0.0
41,61,14,0,34,27,7,2,21,12,2,0,31,6,2,0,0,3,0.00233,0.009,0.01133,0.0,0.0,0.0
42,64,14,0,35,29,6,2,23,12,2,0,31,6,2,0,0,4,0.002,0.00967,0.01167,0.0,0.0,0.0
43,69,14,0,37,32,4,2,26,12,2,0,33,6,2,0,0,4,0.00133,0.01067,0.01233,0.0,0.0,0.0
44,74,15,0,40,34,4,2,28,13,2,0,36,6,2,0,0,4,0.00133,0.01133,0.01333,0.0,0.0,0.0
45,78,16,0,40,38,5,3,30,14,3,0,36,8,2,0,0,4,0.00167,0.01267,0.01333,0.0,0.0,0.0
46,81,18,1,42,38,5,2,30,16,2,1,38,8,2,0,0,4,0.00167,0.01267,0.014,0.01235,0.0,0.0
47,86,19,1,43,42,6,3,34,17,3,1,39,8,2,0,0,4,0.002,0.014,0.01434,0.01163,0.0,0.0
48,92,20,1,44,47,7,3,39,18,3,1,39,8,2,0,0,5,0.00233,0.01567,0.01467,0.01087,0.0,0.0
49,96,20,1,48,47,4,1,40,18,1,1,41,7,2,0,0,7,0.00133,0.01567,0.01601,0.01042,0.0,0.0
50,103,21,1,49,53,5,1,46,19,1,1,42,7,2,0,0,7,0.00167,0.01767,0.01634,0.00971,0.0,0.0
51,111,21,1,52,58,4,0,53,19,0,1,44,5,2,0,0,8,0.00133,0.01934,0.01734,0.00901,0.0,0.0
52,118,22,1,59,58,3,0,51,20,0,1,51,7,2,0,0,8,0.001,0.01934,0.01967,0.00847,0.0,0.0
53,125,23,1,65,59,4,2,51,21,2,1,56,8,2,0,0,9,0.00133,0.01967,0.02167,0.008,0.0,0.0
54,130,26,1,68,61,7,3,52,24,3,1,59,9,2,0,0,9,0.00233,0.02034,0.02267,0.00769,0.0,0.0
55,139,32,1,73,65,11,4,56,27,4,1,63,9,5,0,0,10,0.00367,0.02167,0.02434,0.00719,0.0,0.0
