Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0,0
2,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0,0
3,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.002,0.0,0.0,0,0
4,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0.0,0.00233,0.0,0.0,0,0
5,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0.0,0.00233,0.0,0.0,0,0
6,8,0,0,0,8,0,1,8,0,1,0,0,0,0,0,0,0,0.0,0.00267,0.0,0.0,0,0
7,9,1,0,0,9,1,1,9,1,1,0,0,0,0,0,0,0,0.00033,0.003,0.0,0.0,0,0
8,9,1,0,0,9,1,1,9,1,1,0,0,0,0,0,0,0,0.00033,0.003,0.0,0.0,0,0
9,10,1,0,1,9,1,1,9,1,1,0,1,0,0,0,0,0,0.00033,0.003,0.00033,0.0,0,0
10,13,1,0,4,9,0,0,9,1,0,0,4,0,0,0,0,0,0.0,0.003,0.00133,0.0,0,0
11,13,2,0,5,8,1,0,8,2,0,0,5,0,0,0,0,0,0.00033,0.00267,0.00167,0.0,0,0
12,13,2,0,5,8,1,0,8,2,0,0,5,0,0,0,0,0,0.00033,0.00267,0.00167,0.0,0,0
13,13,2,0,5,8,1,0,8,2,0,0,5,0,0,0,0,0,0.00033,0.00267,0.00167,0.0,0,0
14,13,2,0,6,7,1,1,7,2,1,0,6,0,0,0,0,0,0.00033,0.00233,0.002,0.0,0,0
15,13,3,0,6,7,2,1,7,3,1,0,6,0,0,0,0,0,0.00067,0.00233,0.002,0.0,0,0
16,14,3,0,6,8,2,1,8,3,1,0,6,0,0,0,0,0,0.00067,0.00267,0.002,0.0,0,0
17,16,3,0,8,8,1,1,8,3,1,0,8,0,0,0,0,0,0.00033,0.00267,0.00267,0.0,0,0
18,17,3,0,8,9,1,1,9,3,1,0,8,0,0,0,0,0,0.00033,0.003,0.00267,0.0,0,0
19,18,3,0,10,8,1,1,8,3,1,0,10,0,0,0,0,0,0.00033,0.00267,0.00333,0.0,0,0
20,19,3,0,12,7,0,1,7,3,1,0,12,0,0,0,0,0,0.0,0.00233,0.004,0.0,0,0
21,22,4,0,13,9,1,1,9,4,1,0,13,0,0,0,0,0,0.00033,0.003,0.00433,0.0,0,0
22,22,4,0,14,8,1,1,8,4,1,0,14,0,0,0,0,0,0.00033,0.00267,0.00467,0.0,0,0
23,22,4,0,14,8,1,1,8,4,1,0,14,0,0,0,0,0,0.00033,0.00267,0.00467,0.0,0,0
24,23,5,0,14,9,2,1,9,5,1,0,14,0,0,0,0,0,0.00067,0.003,0.00467,0.0,0,0
25,23,5,0,15,8,1,0,8,5,0,0,15,0,0,0,0,0,0.00033,0.00267,0.005,0.0,0,0
