Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0.0,0.00233,0.0,0.0,0,0
2,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.00267,0.0,0.0,0,0
3,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.00267,0.0,0.0,0,0
4,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.00267,0.0,0.0,0,0
5,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0.0,0.00333,0.0,0.0,0,0
6,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0.0,0.00467,0.0,0.0,0,0
7,17,0,0,1,16,0,0,15,0,0,0,1,1,0,0,0,0,0.0,0.00533,0.00033,0.0,0,0
8,18,0,0,3,15,0,0,13,0,0,0,3,2,0,0,0,0,0.0,0.005,0.001,0.0,0,0
9,21,0,0,3,18,0,0,15,0,0,0,3,3,0,0,0,0,0.0,0.006,0.001,0.0,0,0
10,23,0,0,4,19,0,0,17,0,0,0,3,2,0,0,0,1,0.0,0.00633,0.00133,0.0,0,0
11,26,1,0,6,20,1,0,18,1,0,0,5,2,0,0,0,1,0.00033,0.00667,0.002,0.0,0,0
12,31,1,0,10,21,0,1,19,1,1,0,9,2,0,0,0,1,0.0,0.007,0.00333,0.0,0,0
13,37,2,0,10,27,1,1,21,2,1,0,9,6,0,0,0,1,0.00033,0.009,0.00333,0.0,0,0
14,40,2,0,11,29,1,1,22,2,1,0,10,7,0,0,0,1,0.00033,0.00967,0.00367,0.0,0,0
15,41,2,0,12,29,1,2,22,2,2,0,11,7,0,0,0,1,0.00033,0.00967,0.004,0.0,0,0
16,42,3,0,13,29,2,3,21,3,3,0,11,8,0,0,0,2,0.00067,0.00967,0.00433,0.0,0,0
17,44,4,0,13,31,3,5,21,4,4,0,11,10,0,1,0,2,0.001,0.01033,0.00433,0.0,0,0
18,47,6,0,18,29,5,5,20,5,4,0,14,9,1,1,0,4,0.00167,0.00967,0.006,0.0,0,0
19,49,6,0,21,28,5,5,20,5,4,0,16,8,1,1,0,5,0.00167,0.00933,0.007,0.0,0,0
20,51,6,1,22,28,4,4,19,5,3,1,17,9,1,1,0,5,0.00133,0.00934,0.00734,0.01961,0,0
21,53,6,2,26,25,2,3,13,5,1,2,19,12,1,2,0,7,0.00067,0.00834,0.00867,0.03774,0,0
22,57,7,2,28,27,2,2,14,5,1,2,20,13,2,1,0,8,0.00067,0.00901,0.00934,0.03509,0,0
23,60,7,2,34,24,1,1,10,5,0,2,25,14,2,1,0,9,0.00033,0.00801,0.01134,0.03333,0,0
24,64,7,2,37,25,1,1,14,5,0,2,26,11,2,1,0,11,0.00033,0.00834,0.01234,0.03125,0,0
25,66,8,2,38,26,2,1,15,6,0,2,26,11,2,1,0,12,0.00067,0.00867,0.01268,0.0303,0,0
26,66,8,2,40,24,1,0,15,6,0,2,26,9,2,0,0,14,0.00033,0.00801,0.01334,0.0303,0,0
27,71,8,2,41,28,1,1,16,6,0,2,26,12,2,1,0,15,0.00033,0.00934,0.01368,0.02817,0,0
28,74,9,2,44,28,2,2,13,6,1,2,28,15,3,1,0,16,0.00067,0.00934,0.01468,0.02703,0,0
29,81,11,2,44,35,4,2,16,7,1,2,28,19,4,1,0,16,0.00133,0.01167,0.01468,0.02469,0,0
30,84,11,2,48,34,3,2,16,7,1,2,31,18,4,1,0,17,0.001,0.01134,0.01601,0.02381,0,0
31,89,11,3,49,37,2,1,16,7,0,3,31,21,4,1,0,18,0.00067,0.01235,0.01635,0.03371,0,0
32,94,11,3,54,37,2,2,14,7,0,3,33,23,4,2,0,21,0.00067,0.01235,0.01802,0.03191,0,0
33,97,12,3,56,38,2,2,13,7,0,3,34,25,5,2,0,22,0.00067,0.01268,0.01869,0.03093,0,0
34,99,14,4,59,36,3,1,11,7,0,3,37,25,7,1,1,22,0.001,0.01202,0.01969,0.0404,0,0
35,104,14,4,59,41,3,2,12,7,0,3,37,29,7,2,1,22,0.001,0.01368,0.01969,0.03846,0,0
36,107,16,4,61,42,5,3,12,7,1,3,37,30,9,2,1,24,0.00167,0.01402,0.02036,0.03738,0,0
37,116,17,4,64,48,4,2,14,8,1,3,38,34,9,1,1,26,0.00134,0.01602,0.02136,0.03448,0,0
38,121,17,4,68,49,4,3,13,8,2,3,39,36,9,1,1,29,0.00134,0.01636,0.0227,0.03306,0,0
39,126,19,4,72,50,6,3,13,9,2,3,42,37,10,1,1,30,0.002,0.01669,0.02403,0.03175,0,0
40,131,19,4,81,46,5,5,11,9,2,3,44,35,10,3,1,37,0.00167,0.01535,0.02704,0.03053,0,0
41,135,20,4,86,45,3,4,10,9,1,3,45,35,11,3,1,41,0.001,0.01502,0.0287,0.02963,0,0
42,138,21,4,88,46,3,3,12,9,0,3,47,34,12,3,1,41,0.001,0.01535,0.02937,0.02899,0,0
43,145,21,5,92,48,2,2,15,9,0,3,48,33,12,2,2,44,0.00067,0.01603,0.03072,0.03448,0,0
44,148,21,6,96,46,1,2,14,9,0,3,51,32,12,2,3,45,0.00033,0.01536,0.03206,0.04054,0,0
45,151,23,6,100,45,3,2,17,9,0,3,53,28,14,2,3,47,0.001,0.01503,0.0334,0.03974,0,0
46,155,23,6,106,43,1,2,17,9,0,3,56,26,14,2,3,50,0.00033,0.01436,0.0354,0.03871,0,0
47,166,24,6,109,51,1,2,22,9,1,3,57,29,15,1,3,52,0.00033,0.01703,0.03641,0.03614,0,0
48,173,25,6,110,57,2,3,24,10,1,3,57,33,15,2,3,53,0.00067,0.01904,0.03674,0.03468,0,0
49,183,26,6,111,66,3,6,28,10,3,3,57,38,16,3,3,54,0.001,0.02204,0.03707,0.03279,0,0
50,188,30,6,121,61,6,6,26,13,3,3,62,35,17,3,3,59,0.002,0.02037,0.04041,0.03191,0,0
51,196,33,6,125,65,9,7,26,13,3,3,65,39,20,4,3,60,0.00301,0.02171,0.04175,0.03061,0,0
52,204,34,6,129,69,9,8,26,13,2,3,68,43,21,6,3,61,0.00301,0.02305,0.04309,0.02941,0,0
53,209,36,6,133,70,10,9,28,13,2,3,68,42,23,7,3,65,0.00334,0.02338,0.04442,0.02871,0,0
54,218,38,6,136,76,11,9,31,13,2,3,69,45,25,7,3,67,0.00367,0.02538,0.04542,0.02752,0,0
55,223,39,6,141,76,11,11,29,13,2,3,73,47,26,9,3,68,0.00367,0.02538,0.04709,0.02691,0,0
56,228,42,6,150,72,10,9,26,13,1,3,76,46,29,8,3,74,0.00334,0.02405,0.0501,0.02632,0,0
57,238,44,7,158,73,10,7,24,14,1,3,81,49,30,6,4,77,0.00334,0.02439,0.05279,0.02941,0,0
58,244,44,8,163,73,8,6,25,14,1,3,83,48,30,5,5,80,0.00267,0.0244,0.05448,0.03279,0,0
59,253,44,8,173,72,5,4,33,14,1,3,84,39,30,3,5,89,0.00167,0.02406,0.05782,0.03162,0,0
60,263,47,8,178,77,5,3,34,15,1,3,86,43,32,2,5,92,0.00167,0.02574,0.05949,0.03042,0,0
61,272,48,8,186,78,6,6,35,16,2,3,90,43,32,4,5,96,0.00201,0.02607,0.06217,0.02941,0,0
62,281,52,8,194,79,9,7,39,17,3,3,94,40,35,4,5,100,0.00301,0.0264,0.06484,0.02847,0,0
63,296,54,8,199,89,11,7,43,18,3,3,96,46,36,4,5,103,0.00368,0.02975,0.06651,0.02703,0,0
64,300,56,8,204,88,10,7,43,19,4,3,98,45,37,3,5,106,0.00334,0.02941,0.06818,0.02667,0,0
65,313,57,8,211,94,9,8,44,20,4,3,101,50,37,4,5,110,0.00301,0.03142,0.07052,0.02556,0,0
66,319,62,8,214,97,12,10,46,21,4,3,103,51,41,6,5,111,0.00401,0.03242,0.07152,0.02508,0,0
67,319,64,8,217,94,13,9,44,21,4,3,105,50,43,5,5,112,0.00434,0.03142,0.07253,0.02508,0,0
68,329,64,8,229,92,9,9,43,21,3,3,111,49,43,6,5,118,0.00301,0.03075,0.07654,0.02432,0,0
69,337,69,8,240,89,11,7,41,23,2,3,117,48,46,5,5,123,0.00368,0.02975,0.08021,0.02374,0,0
70,344,70,8,247,89,11,8,40,23,4,3,121,49,47,4,5,126,0.00368,0.02975,0.08255,0.02326,0,0
71,349,72,8,258,83,11,9,40,25,4,3,125,43,47,5,5,133,0.00368,0.02774,0.08623,0.02292,0,0
72,356,73,9,269,78,9,7,40,25,3,4,130,38,48,4,5,139,0.00301,0.02608,0.08994,0.02528,0,0
73,365,74,9,277,79,9,7,41,25,2,4,135,38,49,5,5,142,0.00301,0.02641,0.09261,0.02466,0,0
74,373,75,10,286,77,8,5,43,25,1,4,138,34,50,4,6,148,0.00268,0.02575,0.09565,0.02681,0,0
75,377,75,11,294,72,5,6,40,25,3,4,141,32,50,3,7,153,0.00167,0.02409,0.09836,0.02918,0,0
76,378,78,12,299,67,5,5,41,27,4,4,142,26,51,1,8,157,0.00167,0.02242,0.10007,0.03175,0,0
77,389,79,13,306,70,5,5,44,28,4,5,146,26,51,1,8,160,0.00167,0.02343,0.10244,0.03342,0,0
78,395,80,13,313,69,5,6,47,29,4,5,149,22,51,2,8,164,0.00167,0.0231,0.10479,0.03291,0,0
79,402,83,13,318,71,6,4,51,31,3,5,151,20,52,1,8,167,0.00201,0.02377,0.10646,0.03234,0,0
80,406,85,13,324,69,8,5,48,32,4,5,154,21,53,1,8,170,0.00268,0.0231,0.10847,0.03202,0,0
81,411,86,13,327,71,9,6,48,33,5,5,157,23,53,1,8,170,0.00301,0.02377,0.10947,0.03163,0,0
82,417,87,13,335,69,10,6,44,34,5,5,163,25,53,1,8,172,0.00335,0.0231,0.11215,0.03118,0,0
83,418,87,13,342,63,8,5,42,34,4,5,168,21,53,1,8,174,0.00268,0.02109,0.1145,0.0311,0,0
84,418,87,14,350,54,6,5,39,34,4,6,170,15,53,1,8,180,0.00201,0.01808,0.11721,0.03349,0,0
85,424,89,14,357,53,7,7,40,36,6,6,175,13,53,1,8,182,0.00234,0.01775,0.11956,0.03302,0,0
86,427,91,14,364,49,8,7,35,38,5,6,181,14,53,2,8,183,0.00268,0.01641,0.1219,0.03279,0,0
87,429,92,14,368,47,7,5,35,38,4,6,183,12,54,1,8,185,0.00234,0.01574,0.12324,0.03263,0,0
88,433,93,14,373,46,7,5,33,39,4,6,186,13,54,1,8,187,0.00234,0.01541,0.12492,0.03233,0,0
89,435,94,14,381,40,6,4,28,40,3,6,192,12,54,1,8,189,0.00201,0.0134,0.1276,0.03218,0,0
90,439,95,14,385,40,6,4,27,40,3,6,196,13,55,1,8,189,0.00201,0.0134,0.12894,0.03189,0,0
91,442,95,15,392,35,3,3,24,40,1,7,200,11,55,2,8,192,0.00101,0.01173,0.13132,0.03394,0,0
92,444,96,15,395,34,4,3,23,40,1,7,202,11,56,2,8,193,0.00134,0.01139,0.13233,0.03378,0,0
93,445,96,16,400,29,0,0,21,40,0,7,205,8,56,0,9,195,0.0,0.00972,0.13405,0.03596,0,0
94,446,97,16,404,26,1,0,20,41,0,7,208,6,56,0,9,196,0.00034,0.00871,0.13539,0.03587,0,0
95,447,97,16,407,24,1,0,16,41,0,7,211,8,56,0,9,196,0.00034,0.00804,0.13639,0.03579,0,0
96,450,97,16,411,23,1,0,13,41,0,7,215,10,56,0,9,196,0.00034,0.00771,0.13773,0.03556,0,0
97,453,98,16,412,25,2,0,14,42,0,7,216,11,56,0,9,196,0.00067,0.00838,0.13807,0.03532,0,0
98,455,98,16,414,25,2,0,14,42,0,7,217,11,56,0,9,197,0.00067,0.00838,0.13874,0.03516,0,0
99,457,98,16,417,24,1,1,12,42,1,7,219,12,56,0,9,198,0.00034,0.00804,0.13975,0.03501,0,0
100,459,99,16,418,25,2,1,13,43,1,7,219,12,56,0,9,199,0.00067,0.00838,0.14008,0.03486,0,0
101,460,99,16,422,22,2,3,11,43,1,7,222,11,56,2,9,200,0.00067,0.00737,0.14142,0.03478,0,0
102,465,101,16,423,26,4,3,12,43,1,7,223,14,58,2,9,200,0.00134,0.00871,0.14176,0.03441,0,0
103,468,102,16,426,26,4,2,11,43,0,7,225,15,59,2,9,201,0.00134,0.00871,0.14276,0.03419,0,0
104,471,102,16,428,27,3,2,11,43,0,7,227,16,59,2,9,201,0.00101,0.00905,0.14343,0.03397,0,0
105,472,102,17,429,26,2,2,13,43,1,7,227,13,59,1,10,202,0.00067,0.00872,0.14381,0.03602,0,0
106,475,106,17,432,26,5,3,13,44,2,7,229,13,62,1,10,203,0.00168,0.00872,0.14482,0.03579,0,0
107,477,107,18,435,24,4,3,13,45,3,7,230,11,62,0,11,205,0.00134,0.00805,0.14588,0.03774,0,0
108,480,108,18,436,26,5,4,13,46,3,7,231,13,62,1,11,205,0.00168,0.00872,0.14621,0.0375,0,0
109,485,109,18,439,28,3,2,12,46,1,7,233,16,63,1,11,206,0.00101,0.00939,0.14722,0.03711,0,0
110,491,111,18,444,29,4,3,14,46,2,7,235,15,65,1,11,209,0.00134,0.00973,0.14889,0.03666,0,0
111,496,112,18,446,32,5,3,16,47,2,7,236,16,65,1,11,210,0.00168,0.01073,0.14956,0.03629,0,0
112,499,112,18,448,33,4,2,17,47,1,7,237,16,65,1,11,211,0.00134,0.01107,0.15023,0.03607,0,0
113,501,112,18,451,32,3,1,17,47,1,7,238,15,65,0,11,213,0.00101,0.01073,0.15124,0.03593,0,0
114,506,112,18,451,37,3,2,18,47,2,7,238,19,65,0,11,213,0.00101,0.01241,0.15124,0.03557,0,0
115,512,113,18,453,41,3,1,20,48,1,7,239,21,65,0,11,214,0.00101,0.01375,0.15191,0.03516,0,0
116,518,113,18,455,45,2,1,21,48,1,7,240,24,65,0,11,215,0.00067,0.01509,0.15258,0.03475,0,0
117,519,113,18,462,39,2,1,20,48,1,7,241,19,65,0,11,221,0.00067,0.01308,0.15493,0.03468,0,0
118,521,113,18,464,39,2,2,20,48,2,7,241,19,65,0,11,223,0.00067,0.01308,0.1556,0.03455,0,0
119,521,114,18,469,34,3,3,17,49,2,7,244,17,65,1,11,225,0.00101,0.0114,0.15728,0.03455,0,0
120,525,115,18,470,37,4,3,20,49,2,7,244,17,66,1,11,226,0.00134,0.01241,0.15761,0.03429,0,0
121,526,116,18,474,34,4,4,17,49,3,7,247,17,67,1,11,227,0.00134,0.0114,0.15895,0.03422,0,0
122,528,118,18,481,29,5,4,13,51,3,7,252,16,67,1,11,229,0.00168,0.00973,0.1613,0.03409,0,0
123,529,118,18,484,27,4,3,12,51,3,7,252,15,67,0,11,232,0.00134,0.00905,0.16231,0.03403,0,0
124,532,119,18,484,30,5,3,14,52,3,7,252,16,67,0,11,232,0.00168,0.01006,0.16231,0.03383,0,0
125,540,120,18,487,35,5,2,13,52,2,7,254,22,68,0,11,233,0.00168,0.01174,0.16331,0.03333,0,0
126,543,120,19,493,31,1,1,11,52,1,8,257,20,68,0,11,236,0.00034,0.0104,0.16538,0.03499,0,0
127,547,120,19,494,34,1,1,11,52,1,8,258,23,68,0,11,236,0.00034,0.01141,0.16572,0.03473,0,0
128,548,121,19,497,32,1,1,11,52,1,8,260,21,69,0,11,237,0.00034,0.01073,0.16672,0.03467,0,0
129,551,122,19,499,33,2,1,11,53,1,8,261,22,69,0,11,238,0.00067,0.01107,0.16739,0.03448,0,0
130,554,123,19,501,34,3,1,12,53,1,8,261,22,70,0,11,240,0.00101,0.01141,0.16806,0.0343,0,0
131,556,123,19,502,35,3,1,13,53,1,8,261,22,70,0,11,241,0.00101,0.01174,0.1684,0.03417,0,0
132,558,124,19,507,32,2,0,10,54,0,8,264,22,70,0,11,243,0.00067,0.01073,0.17008,0.03405,0,0
133,561,124,19,511,31,2,0,10,54,0,8,264,21,70,0,11,247,0.00067,0.0104,0.17142,0.03387,0,0
