Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0002,0.0
2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0002,0.0
3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0002,0.0
4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0002,0.0
5,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0004,0.0
6,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0004,0.0
7,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0004,0.0
8,2,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0.0004,0.0
9,2,1,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0.0004,0.0
10,2,1,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0.0004,0.0
11,2,1,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0.0004,0.0
12,2,1,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0.0004,0.0
13,2,1,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0.0004,0.0
14,3,1,0,0,3,1,3,1,1,0,0,0,0,0,0,0,0.0006,0.0
15,4,1,0,0,4,1,4,1,1,0,0,0,0,0,0,0,0.0008,0.0
16,5,1,1,1,3,0,3,1,0,1,1,0,0,0,0,0,0.0006,0.2
17,5,1,1,1,3,0,3,1,0,1,1,0,0,0,0,0,0.0006,0.2
18,6,1,1,1,4,1,4,1,1,1,1,0,0,0,0,0,0.0008,0.16667
19,7,4,1,1,5,1,5,4,1,1,1,0,0,0,0,0,0.001,0.14286
20,8,4,1,1,6,1,6,4,1,1,1,0,0,0,0,0,0.0012,0.125
21,12,4,1,1,10,1,10,4,1,1,1,0,0,0,0,0,0.002,0.08333
22,15,5,1,2,12,2,12,5,2,1,2,0,0,0,0,0,0.0024,0.06667
23,17,7,1,2,14,3,14,7,3,1,2,0,0,0,0,0,0.0028,0.05882
24,21,8,1,2,18,3,18,8,3,1,2,0,0,0,0,0,0.0036,0.04762
25,28,8,1,3,24,3,24,8,3,1,3,0,0,0,0,0,0.0048,0.03571
26,33,9,1,3,29,4,29,9,4,1,3,0,0,0,0,0,0.0058,0.0303
27,37,11,1,3,33,5,33,11,5,1,3,0,0,0,0,0,0.0066,0.02703
28,46,14,2,3,41,7,40,14,7,2,3,1,0,0,0,0,0.0082,0.04348
29,63,20,2,8,53,6,51,20,6,2,8,2,0,0,0,0,0.0106,0.03175
30,79,22,3,9,67,5,66,22,5,3,9,1,0,0,0,0,0.0134,0.03797
31,87,23,3,11,73,5,72,23,5,3,11,1,0,0,0,0,0.0146,0.03448
32,105,24,3,12,90,6,87,24,6,3,12,3,0,0,0,0,0.018,0.02857
33,125,27,3,16,106,8,102,27,8,3,16,4,0,0,0,0,0.0212,0.024
34,141,34,3,20,118,10,114,33,10,3,20,4,1,0,0,0,0.0236,0.02128
35,157,39,3,24,130,13,123,38,13,3,24,7,1,0,0,0,0.026,0.01911
36,182,51,3,29,150,14,138,50,14,3,29,12,1,0,0,0,0.03,0.01648
37,217,57,4,38,175,11,157,56,10,4,37,18,1,1,0,1,0.035,0.01843
38,248,71,4,48,196,15,170,69,14,4,46,26,2,1,0,2,0.0392,0.01613
39,293,85,4,61,228,17,193,80,15,4,57,35,5,2,0,4,0.0456,0.01365
40,336,106,4,71,261,18,220,97,16,4,66,41,9,2,0,5,0.0522,0.0119
41,377,122,4,76,297,24,250,109,22,4,71,47,13,2,0,5,0.0594,0.01061
42,433,143,5,93,335,29,273,127,27,5,86,62,16,2,0,7,0.067,0.01155
43,518,176,6,113,399,31,320,155,28,6,105,79,21,3,0,8,0.0798,0.01158
44,586,198,6,133,447,40,354,176,34,6,123,93,22,6,0,10,0.0894,0.01024
45,676,232,6,154,516,42,401,204,38,6,139,115,28,4,0,15,0.1032,0.00888
46,773,266,6,176,591,46,455,228,41,6,156,136,38,5,0,20,0.1182,0.00776
47,879,300,6,201,672,58,512,256,54,6,177,160,44,4,0,24,0.1344,0.00683
48,993,352,6,233,754,68,581,297,60,6,206,173,55,8,0,27,0.1508,0.00604
49,1129,401,6,276,847,73,644,333,62,6,238,203,68,11,0,38,0.1694,0.00531
50,1273,448,7,322,944,83,712,371,66,7,274,232,77,17,0,48,0.1888,0.0055
51,1393,504,7,369,1017,98,755,415,74,7,309,262,89,24,0,60,0.2034,0.00503
52,1573,574,7,419,1147,111,847,469,83,7,343,300,105,28,0,76,0.2294,0.00445
53,1744,643,9,477,1258,117,921,523,86,9,388,337,120,31,0,89,0.2516,0.00516
54,1927,721,10,541,1376,128,977,576,91,10,439,399,145,37,0,102,0.2752,0.00519
55,2100,817,12,628,1460,142,1003,645,98,12,510,457,172,44,0,118,0.292,0.00571
56,2273,922,12,696,1565,177,1047,717,119,12,559,518,205,58,0,137,0.313,0.00528
57,2447,1043,15,779,1653,200,1079,797,133,13,620,574,246,67,2,159,0.3306,0.00613
58,2631,1156,16,881,1734,222,1084,867,144,14,691,650,289,78,2,190,0.3468,0.00608
59,2843,1263,17,993,1833,231,1110,926,148,15,771,723,337,83,2,222,0.3666,0.00598
60,2997,1398,22,1119,1856,240,1098,1005,152,19,854,758,393,88,3,265,0.3712,0.00734
61,3181,1512,28,1252,1901,230,1084,1080,145,23,949,817,432,85,5,303,0.3802,0.0088
62,3356,1622,31,1408,1917,238,1052,1143,143,24,1053,865,479,95,7,355,0.3834,0.00924
63,3492,1749,32,1558,1902,252,1000,1214,143,25,1149,902,535,109,7,409,0.3804,0.00916
64,3637,1889,34,1712,1891,266,951,1278,145,26,1246,940,611,121,8,466,0.3782,0.00935
65,3778,2020,39,1900,1839,256,891,1337,130,28,1361,948,683,126,11,539,0.3678,0.01032
66,3896,2133,40,2060,1796,267,834,1386,129,28,1459,962,747,138,12,601,0.3592,0.01027
67,4010,2252,41,2238,1731,255,781,1442,117,28,1557,950,810,138,13,681,0.3462,0.01022
68,4110,2339,42,2409,1659,247,705,1483,115,28,1657,954,856,132,14,752,0.3318,0.01022
69,4194,2447,43,2587,1564,235,633,1524,101,29,1752,931,923,134,14,835,0.3128,0.01025
70,4269,2542,46,2758,1465,218,588,1553,96,31,1820,877,989,122,15,938,0.293,0.01078
71,4334,2629,50,2944,1340,200,514,1591,90,33,1914,826,1038,110,17,1030,0.268,0.01154
72,4408,2732,51,3114,1243,200,462,1629,80,33,1990,781,1103,120,18,1124,0.2486,0.01157
73,4454,2823,51,3275,1128,182,406,1660,71,33,2061,722,1163,111,18,1214,0.2256,0.01145
74,4494,2897,52,3406,1036,181,379,1688,67,34,2111,657,1209,114,18,1295,0.2072,0.01157
75,4525,2952,56,3526,943,167,341,1701,58,37,2159,602,1251,109,19,1367,0.1886,0.01238
76,4551,3004,59,3655,837,151,294,1721,54,37,2212,543,1283,97,22,1443,0.1674,0.01296
77,4583,3045,60,3777,746,136,257,1735,43,38,2261,489,1310,93,22,1516,0.1492,0.01309
78,4609,3088,60,3895,654,108,226,1746,35,38,2303,428,1342,73,22,1592,0.1308,0.01302
79,4634,3110,62,3988,584,92,201,1749,28,39,2336,383,1361,64,23,1652,0.1168,0.01338
80,4645,3139,62,4093,490,69,171,1760,23,39,2369,319,1379,46,23,1724,0.098,0.01335
81,4656,3168,64,4164,428,69,146,1773,20,40,2397,282,1395,49,24,1767,0.0856,0.01375
82,4674,3192,66,4234,374,58,128,1778,18,42,2423,246,1414,40,24,1811,0.0748,0.01412
83,4683,3216,68,4291,324,49,107,1786,16,42,2445,217,1430,33,26,1846,0.0648,0.01452
84,4692,3231,70,4336,286,44,96,1790,16,42,2459,190,1441,28,28,1877,0.0572,0.01492
85,4698,3241,72,4389,237,42,87,1793,15,42,2470,150,1448,27,30,1919,0.0474,0.01533
86,4702,3257,73,4428,201,41,69,1796,14,43,2489,132,1461,27,30,1939,0.0402,0.01553
87,4706,3272,75,4462,169,35,62,1800,12,43,2498,107,1472,23,32,1964,0.0338,0.01594
88,4710,3279,78,4488,144,29,55,1802,10,44,2506,89,1477,19,34,1982,0.0288,0.01656
89,4714,3286,81,4509,124,20,47,1806,7,45,2516,77,1480,13,36,1993,0.0248,0.01718
90,4715,3288,82,4529,104,21,40,1806,9,45,2525,64,1482,12,37,2004,0.0208,0.01739
91,4721,3296,83,4548,90,20,37,1810,10,45,2530,53,1486,10,38,2018,0.018,0.01758
