Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0004,0.0
2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0004,0.0
3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0004,0.0
4,2,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0.0004,0.0
5,3,1,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0.0006,0.0
6,3,1,0,0,3,2,3,1,2,0,0,0,0,0,0,0,0.0006,0.0
7,5,2,0,0,5,2,5,2,2,0,0,0,0,0,0,0,0.001,0.0
8,7,2,0,0,7,2,7,2,2,0,0,0,0,0,0,0,0.0014,0.0
9,10,2,0,0,10,2,10,2,2,0,0,0,0,0,0,0,0.002,0.0
10,13,2,0,0,13,3,13,2,3,0,0,0,0,0,0,0,0.0026,0.0
11,16,4,0,0,16,3,16,4,3,0,0,0,0,0,0,0,0.0032,0.0
12,20,6,0,0,20,3,20,6,3,0,0,0,0,0,0,0,0.004,0.0
13,24,7,0,0,24,4,24,7,4,0,0,0,0,0,0,0,0.0048,0.0
14,30,10,0,2,28,3,28,10,3,0,2,0,0,0,0,0,0.0056,0.0
15,38,12,0,5,33,2,33,12,2,0,5,0,0,0,0,0,0.0066,0.0
16,46,15,0,7,39,1,39,15,1,0,7,0,0,0,0,0,0.0078,0.0
17,52,18,0,7,45,1,45,18,1,0,7,0,0,0,0,0,0.009,0.0
18,67,23,0,8,59,2,57,23,2,0,8,2,0,0,0,0,0.0118,0.0
19,92,27,0,9,83,3,79,26,3,0,9,4,1,0,0,0,0.0166,0.0
20,104,32,0,11,93,6,87,31,5,0,11,6,1,1,0,0,0.0186,0.0
21,126,37,0,12,114,10,107,36,9,0,12,7,1,1,0,0,0.0228,0.0
22,144,44,0,16,128,10,117,42,9,0,16,11,2,1,0,0,0.0256,0.0
23,183,52,0,24,159,10,145,49,9,0,23,14,3,1,0,1,0.0318,0.0
24,214,63,0,30,184,17,168,59,16,0,29,16,4,1,0,1,0.0368,0.0
25,253,81,0,38,215,18,193,77,17,0,36,22,4,1,0,2,0.043,0.0
26,299,97,0,51,248,21,221,93,20,0,48,27,4,1,0,3,0.0496,0.0
27,341,113,0,62,279,21,249,107,20,0,59,30,6,1,0,3,0.0558,0.0
28,383,134,0,69,314,24,281,126,21,0,66,33,8,3,0,3,0.0628,0.0
29,432,152,1,86,345,25,303,142,22,1,82,42,10,3,0,4,0.069,0.00231
30,453,180,1,105,347,29,304,169,25,1,98,43,11,4,0,7,0.0694,0.00221
31,477,213,2,125,350,34,305,196,30,2,116,45,17,4,0,9,0.07,0.00419
32,501,244,2,149,350,36,308,225,32,2,138,42,19,4,0,11,0.07,0.00399
33,525,264,2,183,340,47,298,243,42,2,167,42,21,5,0,16,0.068,0.00381
34,547,298,2,202,343,62,297,272,53,2,184,46,26,9,0,18,0.0686,0.00366
35,570,320,3,246,321,63,274,289,53,3,221,47,31,10,0,25,0.0642,0.00526
36,586,343,3,270,313,64,266,309,55,3,242,47,34,9,0,28,0.0626,0.00512
37,608,357,5,302,301,61,258,322,53,5,266,43,35,8,0,36,0.0602,0.00822
38,636,371,7,337,292,58,245,333,50,7,299,47,38,8,0,38,0.0584,0.01101
39,672,390,8,367,297,53,250,350,46,8,323,47,40,7,0,44,0.0594,0.0119
40,694,406,8,404,282,54,229,362,44,8,358,53,44,10,0,46,0.0564,0.01153
41,707,423,8,441,258,46,205,375,38,8,392,53,48,8,0,49,0.0516,0.01132
42,725,439,10,466,249,45,197,389,39,9,411,52,50,6,1,55,0.0498,0.01379
43,747,460,11,483,253,48,198,407,39,10,426,55,53,9,1,57,0.0506,0.01473
44,770,477,12,506,252,47,191,417,38,11,444,61,60,9,1,62,0.0504,0.01558
45,781,496,14,518,249,43,185,433,34,13,455,64,63,9,1,63,0.0498,0.01793
46,804,507,15,534,255,43,188,440,33,14,470,67,67,10,1,64,0.051,0.01866
47,824,519,16,565,243,38,180,449,30,14,494,63,70,8,2,71,0.0486,0.01942
48,839,533,16,599,224,39,160,461,28,14,521,64,72,11,2,78,0.0448,0.01907
49,852,550,17,623,212,38,148,471,26,15,537,64,79,12,2,86,0.0424,0.01995
50,868,565,18,647,203,34,137,481,22,16,553,66,84,12,2,94,0.0406,0.02074
51,879,577,18,666,195,31,130,487,18,16,567,65,90,13,2,99,0.039,0.02048
52,886,589,20,692,174,28,115,494,16,17,586,59,95,12,3,106,0.0348,0.02257
53,896,601,21,714,161,21,103,501,15,18,601,58,100,6,3,113,0.0322,0.02344
54,908,610,21,732,155,20,101,508,14,18,611,54,102,6,3,121,0.031,0.02313
55,918,619,21,746,151,18,95,514,14,18,622,56,105,4,3,124,0.0302,0.02288
56,924,627,22,767,135,16,84,518,11,19,635,51,109,5,3,132,0.027,0.02381
57,931,637,23,782,126,22,78,523,13,20,645,48,114,9,3,137,0.0252,0.0247
58,943,649,24,793,126,22,77,532,13,21,654,49,117,9,3,139,0.0252,0.02545
59,953,653,25,811,117,19,72,533,10,22,665,45,120,9,3,146,0.0234,0.02623
60,966,660,25,825,116,19,74,538,10,22,671,42,122,9,3,154,0.0232,0.02588
61,976,665,26,836,114,17,69,542,8,22,681,45,123,9,4,155,0.0228,0.02664
62,985,679,27,852,106,14,63,549,8,22,692,43,130,6,5,160,0.0212,0.02741
63,991,686,27,863,101,13,63,553,9,22,697,38,133,4,5,166,0.0202,0.02725
64,995,690,28,873,94,14,58,554,9,23,702,36,136,5,5,171,0.0188,0.02814
65,1003,696,28,879,96,17,59,559,9,23,707,37,137,8,5,172,0.0192,0.02792
66,1010,704,30,887,93,13,55,565,7,23,714,38,139,6,7,173,0.0186,0.0297
67,1019,707,30,894,95,15,58,567,8,23,719,37,140,7,7,175,0.019,0.02944
68,1028,715,30,899,99,20,63,573,12,23,721,36,142,8,7,178,0.0198,0.02918
69,1033,722,30,908,95,23,62,579,13,23,726,33,143,10,7,182,0.019,0.02904
70,1045,729,32,916,97,23,65,583,13,25,730,32,146,10,7,186,0.0194,0.03062
71,1054,734,32,929,93,23,62,587,12,25,738,31,147,11,7,191,0.0186,0.03036
72,1066,738,33,935,98,24,64,590,14,26,742,34,148,10,7,193,0.0196,0.03096
73,1077,749,33,940,104,26,69,598,16,26,744,35,151,10,7,196,0.0208,0.03064
74,1083,753,33,947,103,23,69,601,15,26,747,34,152,8,7,200,0.0206,0.03047
75,1093,760,34,960,99,19,67,606,12,26,754,32,154,7,8,206,0.0198,0.03111
76,1102,765,34,970,98,16,69,608,11,26,761,29,157,5,8,209,0.0196,0.03085
77,1107,774,34,976,97,17,65,612,12,26,766,32,162,5,8,210,0.0194,0.03071
78,1111,775,35,984,92,16,59,613,12,26,774,33,162,4,9,210,0.0184,0.0315
79,1118,781,36,992,90,18,59,619,15,26,780,31,162,3,10,212,0.018,0.0322
80,1121,786,36,1001,84,15,54,621,11,26,787,30,165,4,10,214,0.0168,0.03211
81,1127,792,38,1005,84,14,55,625,11,27,790,29,167,3,11,215,0.0168,0.03372
82,1132,798,38,1018,76,15,53,629,11,27,796,23,169,4,11,222,0.0152,0.03357
83,1138,799,38,1023,77,17,53,629,12,27,800,24,170,5,11,223,0.0154,0.03339
84,1142,804,38,1030,74,14,51,633,9,27,805,23,171,5,11,225,0.0148,0.03327
85,1147,806,38,1037,72,13,46,633,8,27,812,26,173,5,11,225,0.0144,0.03313
86,1163,809,39,1041,83,10,51,635,6,28,815,32,174,4,11,226,0.0166,0.03353
87,1184,813,40,1044,100,11,62,637,8,29,815,38,176,3,11,229,0.02,0.03378
88,1198,820,42,1056,100,9,66,643,6,31,821,34,177,3,11,235,0.02,0.03506
89,1207,829,43,1061,103,9,66,649,7,32,824,37,180,2,11,237,0.0206,0.03563
90,1221,843,43,1066,112,15,71,657,11,32,827,41,186,4,11,239,0.0224,0.03522
91,1241,852,44,1073,124,14,81,665,10,33,832,43,187,4,11,241,0.0248,0.03546
92,1254,856,44,1077,133,16,86,667,12,33,835,47,189,4,11,242,0.0266,0.03509
93,1276,866,46,1087,143,16,88,674,11,35,842,55,192,5,11,245,0.0286,0.03605
94,1301,871,47,1098,156,14,91,677,8,36,849,65,194,6,11,249,0.0312,0.03613
95,1330,879,47,1110,173,15,105,680,9,36,856,68,199,6,11,254,0.0346,0.03534
96,1357,888,47,1121,189,14,113,685,9,36,860,76,203,5,11,261,0.0378,0.03464
97,1387,899,48,1125,214,19,124,693,12,36,863,90,206,7,12,262,0.0428,0.03461
98,1408,916,48,1137,223,24,126,704,15,36,872,97,212,9,12,265,0.0446,0.03409
99,1440,933,48,1148,244,27,134,714,15,36,878,110,219,12,12,270,0.0488,0.03333
100,1465,953,48,1163,254,27,144,724,15,36,888,110,229,12,12,275,0.0508,0.03276
101,1503,971,50,1181,272,26,153,734,15,37,899,119,237,11,13,282,0.0544,0.03327
102,1541,989,51,1196,294,32,160,747,20,37,908,134,242,12,14,288,0.0588,0.0331
103,1580,1010,51,1217,312,37,166,760,23,37,923,146,250,14,14,294,0.0624,0.03228
104,1625,1041,53,1230,342,32,184,778,21,37,929,158,263,11,16,301,0.0684,0.03262
