Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.002,0.0,0.0,0,0
2,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0.0,0.00233,0.0,0.0,0,0
3,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.00267,0.0,0.0,0,0
4,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0.0,0.00333,0.0,0.0,0,0
5,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0.0,0.004,0.0,0.0,0,0
6,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0.0,0.00467,0.0,0.0,0,0
7,17,0,0,1,16,0,1,13,0,1,0,1,3,0,0,0,0,0.0,0.00533,0.00033,0.0,0,0
8,19,1,0,2,17,1,2,14,1,2,0,2,3,0,0,0,0,0.00033,0.00567,0.00067,0.0,0,0
9,21,3,0,3,18,3,3,14,3,3,0,3,4,0,0,0,0,0.001,0.006,0.001,0.0,0,0
10,23,5,0,3,20,5,3,16,5,3,0,3,4,0,0,0,0,0.00167,0.00667,0.001,0.0,0,0
11,25,5,0,5,20,4,3,16,5,3,0,5,4,0,0,0,0,0.00133,0.00667,0.00167,0.0,0,0
12,28,5,0,5,23,4,4,17,5,4,0,5,6,0,0,0,0,0.00133,0.00767,0.00167,0.0,0,0
13,29,5,1,7,21,2,3,18,5,3,1,6,3,0,0,0,1,0.00067,0.007,0.00233,0.03448,0,0
14,34,8,2,8,24,4,5,20,8,5,2,7,4,0,0,0,1,0.00133,0.00801,0.00267,0.05882,0,0
15,37,12,2,9,26,8,5,20,12,5,2,8,6,0,0,0,1,0.00267,0.00867,0.003,0.05405,0,0
16,38,12,2,11,25,7,6,18,12,6,2,10,7,0,0,0,1,0.00233,0.00834,0.00367,0.05263,0,0
17,40,14,2,12,26,8,5,18,14,5,2,11,8,0,0,0,1,0.00267,0.00867,0.004,0.05,0,0
18,42,14,3,16,23,4,2,14,14,2,3,15,9,0,0,0,1,0.00133,0.00767,0.00534,0.07143,0,0
19,46,14,3,18,25,4,2,14,14,2,3,15,11,0,0,0,3,0.00133,0.00834,0.00601,0.06522,0,0
20,49,14,4,19,26,3,1,15,14,1,4,15,11,0,0,0,4,0.001,0.00868,0.00634,0.08163,0,0
21,51,17,4,22,25,6,1,16,16,1,4,17,9,1,0,0,5,0.002,0.00834,0.00734,0.07843,0,0
22,54,17,4,23,27,5,1,17,16,1,4,18,10,1,0,0,5,0.00167,0.00901,0.00768,0.07407,0,0
23,55,17,4,24,27,4,0,16,16,0,4,19,11,1,0,0,5,0.00134,0.00901,0.00801,0.07273,0,0
24,61,17,4,26,31,3,0,16,16,0,4,20,15,1,0,0,6,0.001,0.01035,0.00868,0.06557,0,0
25,64,23,4,31,29,6,0,15,18,0,4,23,14,5,0,0,8,0.002,0.00968,0.01035,0.0625,0,0
26,65,23,4,32,29,5,0,15,18,0,4,23,14,5,0,0,9,0.00167,0.00968,0.01068,0.06154,0,0
27,67,23,4,35,28,5,0,14,18,0,4,25,14,5,0,0,10,0.00167,0.00935,0.01168,0.0597,0,0
28,71,24,4,38,29,5,0,13,18,0,4,26,16,6,0,0,12,0.00167,0.00968,0.01268,0.05634,0,0
29,74,26,4,41,29,7,0,11,20,0,4,29,18,6,0,0,12,0.00234,0.00968,0.01368,0.05405,0,0
30,75,27,4,43,28,7,0,10,21,0,4,30,18,6,0,0,13,0.00234,0.00935,0.01435,0.05333,0,0
31,77,27,4,46,27,6,0,9,21,0,4,31,18,6,0,0,15,0.002,0.00901,0.01535,0.05195,0,0
32,81,27,4,50,27,4,0,9,21,0,4,32,18,6,0,0,18,0.00134,0.00901,0.01669,0.04938,0,0
33,85,27,4,52,29,3,0,12,21,0,4,32,17,6,0,0,20,0.001,0.00968,0.01736,0.04706,0,0
34,89,27,4,57,28,1,0,11,21,0,4,36,17,6,0,0,21,0.00033,0.00935,0.01903,0.04494,0,0
35,93,31,4,58,31,5,0,13,21,0,4,36,18,10,0,0,22,0.00167,0.01035,0.01936,0.04301,0,0
36,97,31,4,59,34,5,0,13,21,0,4,36,21,10,0,0,23,0.00167,0.01135,0.01969,0.04124,0,0
37,103,32,4,62,37,6,0,16,22,0,4,37,21,10,0,0,25,0.002,0.01235,0.02069,0.03883,0,0
38,109,34,4,64,41,8,2,16,23,1,4,38,25,11,1,0,26,0.00267,0.01368,0.02136,0.0367,0,0
39,113,36,4,67,42,9,3,17,25,2,4,38,25,11,1,0,29,0.003,0.01402,0.02236,0.0354,0,0
40,115,38,4,70,41,10,3,16,26,2,4,39,25,12,1,0,31,0.00334,0.01368,0.02336,0.03478,0,0
41,119,38,4,72,43,9,5,17,26,3,4,39,26,12,2,0,33,0.003,0.01435,0.02403,0.03361,0,0
42,126,41,4,77,45,11,5,17,28,3,4,40,28,13,2,0,37,0.00367,0.01502,0.0257,0.03175,0,0
43,129,41,4,81,44,9,4,14,28,2,4,43,30,13,2,0,38,0.003,0.01469,0.02704,0.03101,0,0
44,132,42,4,83,45,9,5,14,28,2,4,44,31,14,3,0,39,0.003,0.01502,0.0277,0.0303,0,0
45,137,43,4,89,44,8,5,12,28,1,4,48,32,15,4,0,41,0.00267,0.01469,0.02971,0.0292,0,0
46,143,44,5,96,42,5,2,15,28,0,5,50,27,16,2,0,46,0.00167,0.01402,0.03205,0.03497,0,0
47,150,44,5,98,47,5,3,21,28,1,5,51,26,16,2,0,47,0.00167,0.01569,0.03272,0.03333,0,0
