Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0,0
2,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.002,0.0,0.0,0,0
3,6,0,0,0,6,0,1,6,0,1,0,0,0,0,0,0,0,0.0,0.002,0.0,0.0,0,0
4,7,1,0,0,7,1,2,7,1,2,0,0,0,0,0,0,0,0.00033,0.00233,0.0,0.0,0,0
5,9,3,0,0,9,3,2,9,3,2,0,0,0,0,0,0,0,0.001,0.003,0.0,0.0,0,0
6,9,3,0,0,9,3,2,9,3,2,0,0,0,0,0,0,0,0.001,0.003,0.0,0.0,0,0
7,10,3,0,0,10,3,2,10,3,2,0,0,0,0,0,0,0,0.001,0.00333,0.0,0.0,0,0
8,14,3,0,2,12,2,1,12,3,1,0,2,0,0,0,0,0,0.00067,0.004,0.00067,0.0,0,0
9,16,3,0,2,14,2,1,14,3,1,0,2,0,0,0,0,0,0.00067,0.00467,0.00067,0.0,0,0
10,17,3,0,3,14,2,1,14,3,1,0,3,0,0,0,0,0,0.00067,0.00467,0.001,0.0,0,0
11,17,3,0,4,13,2,1,13,3,1,0,4,0,0,0,0,0,0.00067,0.00433,0.00133,0.0,0,0
12,18,3,0,4,14,2,1,14,3,1,0,4,0,0,0,0,0,0.00067,0.00467,0.00133,0.0,0,0
13,19,3,0,8,11,1,0,11,3,0,0,8,0,0,0,0,0,0.00033,0.00367,0.00267,0.0,0,0
14,21,3,0,8,13,1,0,12,3,0,0,8,1,0,0,0,0,0.00033,0.00433,0.00267,0.0,0,0
15,24,3,0,8,16,1,0,15,3,0,0,8,1,0,0,0,0,0.00033,0.00533,0.00267,0.0,0,0
16,26,3,0,8,18,1,0,17,3,0,0,8,1,0,0,0,0,0.00033,0.006,0.00267,0.0,0,0
17,28,3,0,11,17,1,0,17,3,0,0,10,0,0,0,0,1,0.00033,0.00567,0.00367,0.0,0,0
18,33,4,0,14,19,1,0,19,4,0,0,13,0,0,0,0,1,0.00033,0.00633,0.00467,0.0,0,0
19,33,4,0,14,19,1,0,19,4,0,0,13,0,0,0,0,1,0.00033,0.00633,0.00467,0.0,0,0
20,33,7,0,15,18,4,1,18,7,1,0,14,0,0,0,0,1,0.00133,0.006,0.005,0.0,0,0
21,34,7,0,17,17,3,1,17,7,1,0,16,0,0,0,0,1,0.001,0.00567,0.00567,0.0,0,0
22,39,7,0,19,20,2,2,19,7,2,0,18,1,0,0,0,1,0.00067,0.00667,0.00633,0.0,0,0
23,42,8,0,20,22,3,2,21,8,2,0,19,1,0,0,0,1,0.001,0.00733,0.00667,0.0,0,0
24,42,8,0,21,21,3,4,20,8,4,0,20,1,0,0,0,1,0.001,0.007,0.007,0.0,0,0
25,42,9,1,22,19,3,3,18,9,3,1,21,1,0,0,0,1,0.001,0.00634,0.00734,0.02381,0,0
26,42,9,1,24,17,2,2,17,9,2,1,22,0,0,0,0,2,0.00067,0.00567,0.008,0.02381,0,0
27,46,9,1,27,18,2,3,18,9,3,1,25,0,0,0,0,2,0.00067,0.006,0.009,0.02174,0,0
28,51,11,2,29,20,2,2,20,11,2,2,27,0,0,0,0,2,0.00067,0.00667,0.00967,0.03922,0,0
29,56,12,2,31,23,3,2,23,12,2,2,29,0,0,0,0,2,0.001,0.00767,0.01034,0.03571,0,0
30,58,15,2,32,24,5,2,24,15,2,2,30,0,0,0,0,2,0.00167,0.00801,0.01067,0.03448,0,0
31,66,15,2,33,31,5,2,31,15,2,2,31,0,0,0,0,2,0.00167,0.01034,0.01101,0.0303,0,0
32,69,15,2,34,33,4,2,33,15,2,2,32,0,0,0,0,2,0.00133,0.01101,0.01134,0.02899,0,0
33,72,17,2,38,32,5,2,32,17,2,2,36,0,0,0,0,2,0.00167,0.01067,0.01268,0.02778,0,0
34,72,19,2,39,31,7,3,31,19,3,2,37,0,0,0,0,2,0.00233,0.01034,0.01301,0.02778,0,0
35,74,20,2,41,31,7,4,29,20,4,2,39,2,0,0,0,2,0.00233,0.01034,0.01368,0.02703,0,0
36,80,21,2,42,36,8,4,33,21,4,2,40,3,0,0,0,2,0.00267,0.01201,0.01401,0.025,0,0
37,85,23,2,44,39,8,3,38,23,3,2,42,1,0,0,0,2,0.00267,0.01301,0.01468,0.02353,0,0
38,93,23,3,46,44,7,3,39,23,3,3,44,5,0,0,0,2,0.00234,0.01468,0.01535,0.03226,0,0
39,97,26,3,46,48,10,4,41,26,4,3,44,7,0,0,0,2,0.00334,0.01602,0.01535,0.03093,0,0
40,111,28,3,52,56,9,5,49,28,5,3,49,7,0,0,0,3,0.003,0.01869,0.01735,0.02703,0,0
41,120,33,3,57,60,11,5,53,33,5,3,54,7,0,0,0,3,0.00367,0.02002,0.01902,0.025,0,0
42,126,36,3,59,64,14,6,54,36,6,3,56,10,0,0,0,3,0.00467,0.02135,0.01969,0.02381,0,0
43,136,39,3,62,71,16,5,56,39,5,3,58,15,0,0,0,4,0.00534,0.02369,0.02069,0.02206,0,0
44,137,39,3,67,67,14,8,53,39,8,3,61,14,0,0,0,6,0.00467,0.02236,0.02236,0.0219,0,0
45,143,45,4,70,69,16,7,52,45,7,4,64,17,0,0,0,6,0.00534,0.02303,0.02336,0.02797,0,0
46,150,47,4,73,73,16,8,55,47,8,4,66,18,0,0,0,7,0.00534,0.02437,0.02437,0.02667,0,0
47,151,47,4,79,68,14,8,52,47,8,4,70,16,0,0,0,9,0.00467,0.0227,0.02637,0.02649,0,0
48,156,52,4,83,69,16,9,53,51,8,4,74,16,1,1,0,9,0.00534,0.02303,0.0277,0.02564,0,0
49,161,54,4,88,69,16,11,56,52,10,4,76,13,2,1,0,12,0.00534,0.02303,0.02937,0.02484,0,0
50,168,59,4,99,65,18,11,53,57,10,4,85,12,2,1,0,14,0.00601,0.0217,0.03304,0.02381,0,0
51,171,62,4,106,61,19,10,48,60,10,4,91,13,2,0,0,15,0.00634,0.02036,0.03538,0.02339,0,0
52,171,62,4,110,57,18,9,44,60,9,4,95,13,2,0,0,15,0.00601,0.01903,0.03672,0.02339,0,0
53,173,62,5,118,50,12,3,40,60,3,5,101,10,2,0,0,17,0.00401,0.01669,0.0394,0.0289,0,0
54,177,62,5,124,48,11,4,36,60,3,5,106,12,2,1,0,18,0.00367,0.01603,0.0414,0.02825,0,0
55,177,64,5,134,38,8,3,28,60,2,5,114,10,4,1,0,20,0.00267,0.01269,0.04474,0.02825,0,0
56,179,65,5,137,37,7,2,26,61,1,5,117,11,4,1,0,20,0.00234,0.01235,0.04574,0.02793,0,0
57,182,65,5,140,37,6,3,26,61,2,5,119,11,4,1,0,21,0.002,0.01235,0.04674,0.02747,0,0
58,183,66,5,141,37,7,4,26,62,3,5,120,11,4,1,0,21,0.00234,0.01235,0.04708,0.02732,0,0
59,183,67,5,150,28,3,2,19,63,2,5,127,9,4,0,0,23,0.001,0.00935,0.05008,0.02732,0,0
60,183,67,5,155,23,3,2,16,63,2,5,130,7,4,0,0,25,0.001,0.00768,0.05175,0.02732,0,0
61,184,67,5,158,21,3,2,15,63,2,5,132,6,4,0,0,26,0.001,0.00701,0.05275,0.02717,0,0
62,186,69,5,161,20,5,2,14,63,2,5,133,6,6,0,0,28,0.00167,0.00668,0.05376,0.02688,0,0
63,187,69,5,163,19,4,3,14,63,3,5,134,5,6,0,0,29,0.00134,0.00634,0.05442,0.02674,0,0
64,187,71,5,169,13,3,1,10,65,1,5,138,3,6,0,0,31,0.001,0.00434,0.05643,0.02674,0,0
65,189,71,5,170,14,3,2,11,65,2,5,138,3,6,0,0,32,0.001,0.00467,0.05676,0.02646,0,0
66,191,75,5,174,12,5,2,9,69,2,5,142,3,6,0,0,32,0.00167,0.00401,0.0581,0.02618,0,0
67,191,75,5,175,11,5,2,8,69,2,5,143,3,6,0,0,32,0.00167,0.00367,0.05843,0.02618,0,0
68,191,75,5,176,10,4,1,7,69,1,5,144,3,6,0,0,32,0.00134,0.00334,0.05876,0.02618,0,0
69,191,75,5,177,9,4,1,6,69,1,5,145,3,6,0,0,32,0.00134,0.00301,0.0591,0.02618,0,0
70,192,75,5,178,9,3,1,7,69,1,5,145,2,6,0,0,33,0.001,0.00301,0.05943,0.02604,0,0
71,192,75,6,179,7,2,0,6,69,0,6,145,1,6,0,0,34,0.00067,0.00234,0.05979,0.03125,0,0
72,192,77,6,179,7,4,0,6,71,0,6,145,1,6,0,0,34,0.00134,0.00234,0.05979,0.03125,0,0
73,192,77,6,179,7,4,0,6,71,0,6,145,1,6,0,0,34,0.00134,0.00234,0.05979,0.03125,0,0
74,193,77,6,182,5,3,0,4,71,0,6,148,1,6,0,0,34,0.001,0.00167,0.06079,0.03109,0,0
75,193,77,6,182,5,3,0,4,71,0,6,148,1,6,0,0,34,0.001,0.00167,0.06079,0.03109,0,0
76,193,77,6,183,4,2,0,3,71,0,6,149,1,6,0,0,34,0.00067,0.00134,0.06112,0.03109,0,0
77,193,77,6,184,3,2,0,3,71,0,6,149,0,6,0,0,35,0.00067,0.001,0.06146,0.03109,0,0
78,193,77,6,185,2,1,0,2,71,0,6,150,0,6,0,0,35,0.00033,0.00067,0.06179,0.03109,0,0
79,193,77,6,185,2,1,0,2,71,0,6,150,0,6,0,0,35,0.00033,0.00067,0.06179,0.03109,0,0
80,193,77,6,185,2,1,0,2,71,0,6,150,0,6,0,0,35,0.00033,0.00067,0.06179,0.03109,0,0
81,193,77,6,185,2,1,0,2,71,0,6,150,0,6,0,0,35,0.00033,0.00067,0.06179,0.03109,0,0
82,193,77,6,185,2,1,0,2,71,0,6,150,0,6,0,0,35,0.00033,0.00067,0.06179,0.03109,0,0
83,193,77,6,185,2,1,0,2,71,0,6,150,0,6,0,0,35,0.00033,0.00067,0.06179,0.03109,0,0
84,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
85,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
86,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
87,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
88,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
89,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
90,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
91,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
92,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
93,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
94,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
95,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
96,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
97,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
98,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
99,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
100,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
101,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
102,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
103,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
104,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
105,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
106,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
107,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
108,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
109,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
110,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
111,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
112,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
113,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
114,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
115,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
116,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
117,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
118,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
119,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
120,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
121,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
122,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
123,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
124,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
125,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
126,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
127,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
128,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
129,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
130,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
131,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
132,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
133,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
134,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
135,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
136,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
137,193,77,6,187,0,0,0,0,71,0,6,152,0,6,0,0,35,0.0,0.0,0.06246,0.03109,0,0
