Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.001,0.0,0.0,0,0
2,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0012,0.0,0.0,0,0
3,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0.0,0.0014,0.0,0.0,0,0
4,7,1,0,0,7,1,0,7,1,0,0,0,0,0,0,0,0,0.0002,0.0014,0.0,0.0,0,0
5,7,1,0,0,7,1,1,7,1,1,0,0,0,0,0,0,0,0.0002,0.0014,0.0,0.0,0,0
6,7,2,0,0,7,2,1,7,2,1,0,0,0,0,0,0,0,0.0004,0.0014,0.0,0.0,0,0
7,8,2,0,0,8,2,1,8,2,1,0,0,0,0,0,0,0,0.0004,0.0016,0.0,0.0,0,0
8,9,2,0,1,8,2,1,8,2,1,0,1,0,0,0,0,0,0.0004,0.0016,0.0002,0.0,0,0
9,9,2,0,1,8,2,1,8,2,1,0,1,0,0,0,0,0,0.0004,0.0016,0.0002,0.0,0,0
10,11,3,0,2,9,3,1,9,3,1,0,2,0,0,0,0,0,0.0006,0.0018,0.0004,0.0,0,0
11,11,3,0,3,8,3,1,8,3,1,0,3,0,0,0,0,0,0.0006,0.0016,0.0006,0.0,0,0
12,13,3,0,4,9,2,0,9,3,0,0,4,0,0,0,0,0,0.0004,0.0018,0.0008,0.0,0,0
13,13,4,0,4,9,3,0,9,4,0,0,4,0,0,0,0,0,0.0006,0.0018,0.0008,0.0,0,0
14,13,4,0,5,8,3,1,8,4,1,0,5,0,0,0,0,0,0.0006,0.0016,0.001,0.0,0,0
15,15,6,0,6,9,4,1,9,6,1,0,6,0,0,0,0,0,0.0008,0.0018,0.0012,0.0,0,0
16,17,6,0,7,10,3,1,10,6,1,0,7,0,0,0,0,0,0.0006,0.002,0.0014,0.0,0,0
17,18,6,0,8,10,3,1,10,6,1,0,8,0,0,0,0,0,0.0006,0.002,0.0016,0.0,0,0
18,19,6,0,8,11,3,1,9,6,1,0,8,2,0,0,0,0,0.0006,0.0022,0.0016,0.0,0,0
19,20,7,0,9,11,3,0,9,6,0,0,9,2,1,0,0,0,0.0006,0.0022,0.0018,0.0,0,0
20,20,8,0,10,10,3,0,8,7,0,0,10,2,1,0,0,0,0.0006,0.002,0.002,0.0,0,0
21,23,8,0,12,11,3,1,9,7,1,0,12,2,1,0,0,0,0.0006,0.0022,0.0024,0.0,0,0
