Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,5,1,0,0,5,1,0,5,1,0,0,0,0,0,0,0,0,0.0002,0.001,0.0,0.0,0,0
2,5,1,0,0,5,1,0,5,1,0,0,0,0,0,0,0,0,0.0002,0.001,0.0,0.0,0,0
3,5,1,0,0,5,1,1,5,1,1,0,0,0,0,0,0,0,0.0002,0.001,0.0,0.0,0,0
4,5,2,0,0,5,2,1,5,2,1,0,0,0,0,0,0,0,0.0004,0.001,0.0,0.0,0,0
5,5,2,0,0,5,2,1,5,2,1,0,0,0,0,0,0,0,0.0004,0.001,0.0,0.0,0,0
6,6,2,1,0,5,1,0,5,2,0,1,0,0,0,0,0,0,0.0002,0.001,0.0,0.16667,0,0
7,7,2,1,1,5,0,0,5,2,0,1,1,0,0,0,0,0,0.0,0.001,0.0002,0.14286,0,0
8,7,4,1,1,5,2,0,5,4,0,1,1,0,0,0,0,0,0.0004,0.001,0.0002,0.14286,0,0
9,7,4,1,1,5,2,0,5,4,0,1,1,0,0,0,0,0,0.0004,0.001,0.0002,0.14286,0,0
10,7,4,1,2,4,2,0,4,4,0,1,2,0,0,0,0,0,0.0004,0.0008,0.0004,0.14286,0,0
11,7,4,1,3,3,2,0,3,4,0,1,3,0,0,0,0,0,0.0004,0.0006,0.0006,0.14286,0,0
12,8,4,1,4,3,1,0,3,4,0,1,4,0,0,0,0,0,0.0002,0.0006,0.0008,0.125,0,0
13,8,4,1,5,2,0,0,2,4,0,1,5,0,0,0,0,0,0.0,0.0004,0.001,0.125,0,0
14,8,4,1,5,2,0,0,2,4,0,1,5,0,0,0,0,0,0.0,0.0004,0.001,0.125,0,0
15,10,4,1,5,4,0,0,4,4,0,1,5,0,0,0,0,0,0.0,0.0008,0.001,0.1,0,0
16,12,4,1,5,6,0,0,6,4,0,1,5,0,0,0,0,0,0.0,0.0012,0.001,0.08333,0,0
17,12,4,1,5,6,0,0,6,4,0,1,5,0,0,0,0,0,0.0,0.0012,0.001,0.08333,0,0
