Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0.0012,0.0
2,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0.0012,0.0
3,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0.0012,0.0
4,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0.0012,0.0
5,9,1,0,0,9,1,9,1,1,0,0,0,0,0,0,0,0.0018,0.0
6,9,2,0,0,9,2,9,2,2,0,0,0,0,0,0,0,0.0018,0.0
7,11,3,0,0,11,2,11,3,2,0,0,0,0,0,0,0,0.0022,0.0
8,13,3,0,0,13,2,13,3,2,0,0,0,0,0,0,0,0.0026,0.0
9,14,3,0,1,13,2,13,3,2,0,1,0,0,0,0,0,0.0026,0.0
10,18,4,0,4,14,1,14,4,1,0,4,0,0,0,0,0,0.0028,0.0
11,21,5,0,5,16,1,16,5,1,0,5,0,0,0,0,0,0.0032,0.0
12,26,6,1,6,19,0,19,6,0,1,6,0,0,0,0,0,0.0038,0.03846
13,31,6,1,9,21,0,21,6,0,1,9,0,0,0,0,0,0.0042,0.03226
14,35,8,1,9,25,1,25,8,1,1,9,0,0,0,0,0,0.005,0.02857
15,37,11,1,9,27,1,27,11,1,1,9,0,0,0,0,0,0.0054,0.02703
16,42,12,1,9,32,2,32,12,2,1,9,0,0,0,0,0,0.0064,0.02381
17,44,13,1,11,32,2,30,13,2,1,11,2,0,0,0,0,0.0064,0.02273
18,56,14,1,11,44,2,41,14,2,1,11,3,0,0,0,0,0.0088,0.01786
19,65,16,1,12,52,2,46,15,2,1,12,6,1,0,0,0,0.0104,0.01538
20,78,21,1,16,61,0,55,20,0,1,16,6,1,0,0,0,0.0122,0.01282
21,90,24,1,23,66,1,59,22,1,1,23,7,2,0,0,0,0.0132,0.01111
22,100,29,1,27,72,2,61,26,2,1,27,11,3,0,0,0,0.0144,0.01
23,114,32,1,29,84,5,71,28,4,1,29,13,4,1,0,0,0.0168,0.00877
24,125,41,1,33,91,6,77,36,5,1,31,14,5,1,0,2,0.0182,0.008
25,138,45,1,39,98,6,80,40,5,1,36,18,5,1,0,3,0.0196,0.00725
26,154,48,1,42,111,8,92,43,7,1,38,19,5,1,0,4,0.0222,0.00649
27,174,55,1,45,128,12,99,48,11,1,41,29,7,1,0,4,0.0256,0.00575
28,202,73,1,53,148,13,109,65,12,1,48,39,8,1,0,5,0.0296,0.00495
29,222,83,1,62,159,16,115,72,15,1,56,44,11,1,0,6,0.0318,0.0045
30,240,94,4,73,163,14,118,82,11,4,64,45,12,3,0,9,0.0326,0.01667
31,254,101,4,87,163,15,117,84,11,4,76,46,17,4,0,11,0.0326,0.01575
32,296,112,4,98,194,14,134,92,10,4,83,60,20,4,0,15,0.0388,0.01351
33,333,125,4,110,219,16,150,101,12,4,92,69,24,4,0,18,0.0438,0.01201
34,355,147,4,120,231,16,159,116,10,4,98,72,31,6,0,22,0.0462,0.01127
35,399,155,4,130,265,22,182,122,15,4,106,83,33,7,0,24,0.053,0.01003
36,431,174,5,150,276,21,193,135,17,4,121,83,39,4,1,29,0.0552,0.0116
37,472,193,5,176,291,22,202,151,18,4,140,89,42,4,1,36,0.0582,0.01059
38,522,210,5,193,324,25,223,160,17,4,151,101,50,8,1,42,0.0648,0.00958
39,567,232,5,211,351,29,230,175,19,4,166,121,57,10,1,45,0.0702,0.00882
40,613,247,6,238,369,34,239,186,23,5,188,130,61,11,1,50,0.0738,0.00979
41,668,276,7,260,401,36,266,207,25,5,203,135,69,11,2,57,0.0802,0.01048
42,730,296,7,287,436,40,296,219,26,5,217,140,77,14,2,70,0.0872,0.00959
43,789,331,8,326,455,43,303,244,28,6,247,152,87,15,2,79,0.091,0.01014
44,843,354,8,358,477,49,326,258,33,6,263,151,96,16,2,95,0.0954,0.00949
45,895,378,9,384,502,56,348,273,37,7,283,154,105,19,2,101,0.1004,0.01006
46,958,417,10,424,524,52,363,299,31,8,311,161,118,21,2,113,0.1048,0.01044
47,1021,447,10,473,538,60,385,320,39,8,339,153,127,21,2,134,0.1076,0.00979
48,1095,488,10,516,569,65,396,348,45,8,368,173,140,20,2,148,0.1138,0.00913
49,1175,527,10,555,610,68,421,376,49,8,395,189,151,19,2,160,0.122,0.00851
50,1250,573,11,609,630,70,441,410,48,9,432,189,163,22,2,177,0.126,0.0088
51,1323,608,11,655,657,68,451,434,50,9,464,206,174,18,2,191,0.1314,0.00831
52,1405,644,12,711,682,70,470,458,50,10,501,212,186,20,2,210,0.1364,0.00854
53,1490,700,12,769,709,67,481,498,47,10,543,228,202,20,2,226,0.1418,0.00805
