Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0.001,0.0
2,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0.001,0.0
3,7,0,0,0,7,0,5,0,0,0,0,2,0,0,0,0,0.0014,0.0
4,8,1,0,0,8,0,6,0,0,0,0,2,1,0,0,0,0.0016,0.0
5,9,1,0,0,9,0,7,0,0,0,0,2,1,0,0,0,0.0018,0.0
6,9,2,0,0,9,0,7,1,0,0,0,2,1,0,0,0,0.0018,0.0
7,10,3,0,0,10,0,7,2,0,0,0,3,1,0,0,0,0.002,0.0
8,13,3,0,1,12,0,8,2,0,0,1,4,1,0,0,0,0.0024,0.0
9,14,6,0,1,13,0,10,5,0,0,1,3,1,0,0,0,0.0026,0.0
10,15,7,0,2,13,0,10,5,0,0,2,3,2,0,0,0,0.0026,0.0
11,16,8,0,5,11,0,8,6,0,0,4,3,2,0,0,1,0.0022,0.0
12,18,8,0,5,13,0,9,6,0,0,4,4,2,0,0,1,0.0026,0.0
13,18,8,0,6,12,0,8,6,0,0,5,4,2,0,0,1,0.0024,0.0
14,19,8,0,7,12,0,8,6,0,0,6,4,2,0,0,1,0.0024,0.0
15,19,8,0,9,10,1,7,6,1,0,7,3,2,0,0,2,0.002,0.0
16,20,10,0,10,10,1,8,8,1,0,7,2,2,0,0,3,0.002,0.0
17,23,10,0,10,13,1,10,8,1,0,7,3,2,0,0,3,0.0026,0.0
18,25,10,0,10,15,1,12,8,1,0,7,3,2,0,0,3,0.003,0.0
19,27,11,0,13,14,2,12,8,2,0,9,2,3,0,0,4,0.0028,0.0
20,32,12,0,16,16,1,16,9,1,0,10,0,3,0,0,6,0.0032,0.0
21,35,12,0,18,17,1,17,9,1,0,12,0,3,0,0,6,0.0034,0.0
22,39,13,0,18,21,1,21,10,1,0,12,0,3,0,0,6,0.0042,0.0
23,42,14,0,19,23,1,23,11,1,0,13,0,3,0,0,6,0.0046,0.0
24,42,18,0,19,23,2,20,15,2,0,13,3,3,0,0,6,0.0046,0.0
25,45,22,0,20,25,2,22,18,2,0,14,3,4,0,0,6,0.005,0.0
26,48,23,0,20,28,2,22,19,2,0,14,6,4,0,0,6,0.0056,0.0
27,49,23,0,22,27,1,21,19,1,0,16,6,4,0,0,6,0.0054,0.0
