Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0.001,0.0
2,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0.0012,0.0
3,8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0.0016,0.0
4,12,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0.0024,0.0
5,14,1,0,0,14,0,14,1,0,0,0,0,0,0,0,0,0.0028,0.0
6,16,1,0,0,16,1,15,1,1,0,0,1,0,0,0,0,0.0032,0.0
7,18,2,0,1,17,1,16,2,1,0,1,1,0,0,0,0,0.0034,0.0
8,21,5,0,1,20,3,18,4,3,0,1,2,1,0,0,0,0.004,0.0
9,24,9,0,2,22,3,21,8,3,0,1,1,1,0,0,1,0.0044,0.0
10,27,9,0,4,23,2,22,8,2,0,3,1,1,0,0,1,0.0046,0.0
11,34,11,0,7,27,4,26,10,4,0,6,1,1,0,0,1,0.0054,0.0
12,37,12,0,7,30,4,29,11,4,0,6,1,1,0,0,1,0.006,0.0
13,39,13,0,8,31,4,31,12,4,0,6,0,1,0,0,2,0.0062,0.0
14,41,14,0,12,29,2,29,13,2,0,10,0,1,0,0,2,0.0058,0.0
15,46,15,1,16,29,1,29,14,1,1,14,0,1,0,0,2,0.0058,0.02174
16,50,16,1,17,32,3,31,15,3,1,15,1,1,0,0,2,0.0064,0.02
17,58,19,1,19,38,2,37,18,2,1,17,1,1,0,0,2,0.0076,0.01724
18,59,22,1,20,38,2,37,20,2,1,18,1,2,0,0,2,0.0076,0.01695
19,67,22,1,22,44,2,43,20,2,1,20,1,2,0,0,2,0.0088,0.01493
20,77,22,1,24,52,2,51,20,2,1,22,1,2,0,0,2,0.0104,0.01299
21,84,23,2,29,53,0,46,21,0,2,27,7,2,0,0,2,0.0106,0.02381
22,92,25,2,36,54,3,47,23,3,2,33,7,2,0,0,3,0.0108,0.02174
23,104,30,2,38,64,4,58,28,4,2,34,6,2,0,0,4,0.0128,0.01923
24,113,32,3,40,70,5,65,30,5,3,35,5,2,0,0,5,0.014,0.02655
25,126,38,3,40,83,8,76,35,8,3,35,7,3,0,0,5,0.0166,0.02381
26,133,43,4,41,88,10,78,39,10,4,36,10,4,0,0,5,0.0176,0.03008
27,148,54,4,49,95,11,85,46,11,4,41,10,8,0,0,8,0.019,0.02703
28,159,59,4,60,95,11,86,51,11,4,51,9,8,0,0,9,0.019,0.02516
29,168,66,5,64,99,12,84,58,12,5,55,15,8,0,0,9,0.0198,0.02976
30,177,72,6,71,100,11,83,63,10,6,62,17,9,1,0,9,0.02,0.0339
31,191,77,6,81,104,14,85,67,11,6,72,19,10,3,0,9,0.0208,0.03141
32,206,90,7,91,108,13,89,79,9,7,80,19,11,4,0,11,0.0216,0.03398
33,217,95,7,102,108,17,92,81,12,7,88,16,14,5,0,14,0.0216,0.03226
34,233,107,8,106,119,19,101,91,15,7,91,18,16,4,1,15,0.0238,0.03433
35,248,118,9,116,123,15,103,101,11,8,100,20,17,4,1,16,0.0246,0.03629
36,260,123,12,120,128,11,109,106,8,9,103,19,17,3,3,17,0.0256,0.04615
37,281,128,12,135,134,7,116,110,5,9,116,18,18,2,3,19,0.0268,0.0427
38,304,137,12,145,147,10,129,117,8,9,125,18,20,2,3,20,0.0294,0.03947
39,324,149,12,154,158,7,142,129,6,9,131,16,20,1,3,23,0.0316,0.03704
40,344,156,13,168,163,7,146,135,6,10,143,17,21,1,3,25,0.0326,0.03779
41,358,162,14,177,167,9,154,141,9,10,149,13,21,0,4,28,0.0334,0.03911
42,379,169,14,188,177,11,160,147,11,10,158,17,22,0,4,30,0.0354,0.03694
43,406,182,14,204,188,17,169,158,17,10,172,19,24,0,4,32,0.0376,0.03448
44,430,200,15,215,200,16,177,176,16,11,182,23,24,0,4,33,0.04,0.03488
45,464,211,16,227,221,16,195,186,16,12,194,26,25,0,4,33,0.0442,0.03448
46,487,224,16,241,230,18,199,195,18,12,207,31,29,0,4,34,0.046,0.03285
47,508,238,17,263,228,17,193,209,17,13,228,35,29,0,4,35,0.0456,0.03346
48,529,253,17,285,227,18,187,222,16,13,249,40,31,2,4,36,0.0454,0.03214
49,563,268,17,300,246,21,197,234,19,13,263,49,34,2,4,37,0.0492,0.0302
50,592,290,17,320,255,21,204,251,18,13,281,51,39,3,4,39,0.051,0.02872
51,623,307,18,340,265,26,211,265,22,14,295,54,42,4,4,45,0.053,0.02889
52,644,328,18,359,267,27,207,282,24,14,310,60,46,3,4,49,0.0534,0.02795
53,679,347,18,388,273,24,207,295,20,14,334,66,52,4,4,54,0.0546,0.02651
54,710,368,18,414,278,29,205,309,25,14,356,73,59,4,4,58,0.0556,0.02535
55,738,386,18,435,285,28,210,322,24,14,373,75,64,4,4,62,0.057,0.02439
56,772,397,18,466,288,26,207,329,20,14,395,81,68,6,4,71,0.0576,0.02332
57,804,418,18,485,301,30,220,346,26,14,407,81,72,4,4,78,0.0602,0.02239
58,837,444,19,507,311,32,221,365,26,15,427,90,79,6,4,80,0.0622,0.0227
59,868,468,19,538,311,33,226,386,24,15,447,85,82,9,4,91,0.0622,0.02189
60,915,491,20,567,328,35,224,398,25,15,470,104,93,10,5,97,0.0656,0.02186
61,953,509,20,589,344,39,225,411,25,15,486,119,98,14,5,103,0.0688,0.02099
62,992,539,20,628,344,38,220,428,24,15,512,124,111,14,5,116,0.0688,0.02016
63,1034,561,21,658,355,39,220,443,22,16,532,135,118,17,5,126,0.071,0.02031
64,1076,585,23,678,375,43,225,458,24,17,547,150,127,19,6,131,0.075,0.02138
65,1117,605,24,702,391,40,229,472,21,18,564,162,133,19,6,138,0.0782,0.02149
66,1158,623,25,743,390,38,224,484,22,19,588,166,139,16,6,155,0.078,0.02159
67,1210,652,26,780,404,34,224,499,18,20,615,180,153,16,6,165,0.0808,0.02149
68,1252,680,27,814,411,36,226,516,17,21,633,185,164,19,6,181,0.0822,0.02157
69,1295,702,28,853,414,33,220,526,16,21,657,194,176,17,7,196,0.0828,0.02162
