Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,5,1,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0.001,0.0
2,6,1,0,0,6,0,6,1,0,0,0,0,0,0,0,0,0.0012,0.0
3,6,2,0,0,6,0,6,2,0,0,0,0,0,0,0,0,0.0012,0.0
4,8,2,0,0,8,1,8,2,1,0,0,0,0,0,0,0,0.0016,0.0
5,8,3,0,0,8,2,8,3,2,0,0,0,0,0,0,0,0.0016,0.0
6,8,3,0,0,8,2,8,3,2,0,0,0,0,0,0,0,0.0016,0.0
7,8,3,0,0,8,2,8,3,2,0,0,0,0,0,0,0,0.0016,0.0
8,8,4,0,0,8,2,8,4,2,0,0,0,0,0,0,0,0.0016,0.0
9,8,4,0,2,6,1,6,4,1,0,2,0,0,0,0,0,0.0012,0.0
10,8,4,1,3,4,0,4,4,0,1,3,0,0,0,0,0,0.0008,0.125
11,8,5,1,4,3,0,3,5,0,1,4,0,0,0,0,0,0.0006,0.125
12,9,6,1,6,2,0,2,6,0,1,6,0,0,0,0,0,0.0004,0.11111
13,9,6,1,7,1,0,1,6,0,1,7,0,0,0,0,0,0.0002,0.11111
14,10,6,1,7,2,0,2,6,0,1,7,0,0,0,0,0,0.0004,0.1
15,10,6,1,7,2,0,2,6,0,1,7,0,0,0,0,0,0.0004,0.1
16,10,6,1,7,2,0,2,6,0,1,7,0,0,0,0,0,0.0004,0.1
17,10,6,1,7,2,0,2,6,0,1,7,0,0,0,0,0,0.0004,0.1
18,10,6,1,7,2,0,2,6,0,1,7,0,0,0,0,0,0.0004,0.1
19,10,7,1,7,2,0,2,7,0,1,7,0,0,0,0,0,0.0004,0.1
20,11,7,1,7,3,0,0,7,0,1,7,3,0,0,0,0,0.0006,0.09091
21,11,7,1,8,2,0,0,7,0,1,7,2,0,0,0,1,0.0004,0.09091
22,11,7,1,8,2,0,0,7,0,1,7,2,0,0,0,1,0.0004,0.09091
23,11,7,1,9,1,0,0,7,0,1,7,1,0,0,0,2,0.0002,0.09091
24,11,7,1,9,1,0,0,7,0,1,7,1,0,0,0,2,0.0002,0.09091
25,11,7,1,9,1,0,0,7,0,1,7,1,0,0,0,2,0.0002,0.09091
26,11,7,1,9,1,0,0,7,0,1,7,1,0,0,0,2,0.0002,0.09091
27,11,8,1,9,1,0,0,7,0,1,7,1,1,0,0,2,0.0002,0.09091
28,11,8,1,9,1,0,0,7,0,1,7,1,1,0,0,2,0.0002,0.09091
29,11,8,1,9,1,0,0,7,0,1,7,1,1,0,0,2,0.0002,0.09091
30,11,8,1,9,1,0,0,7,0,1,7,1,1,0,0,2,0.0002,0.09091
31,11,8,1,9,1,0,0,7,0,1,7,1,1,0,0,2,0.0002,0.09091
32,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
33,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
34,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
35,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
36,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
37,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
38,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
39,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
40,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
41,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
42,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
43,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
44,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
45,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
46,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
47,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
48,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
49,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
50,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
51,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
52,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
53,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
54,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
55,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
56,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
57,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
58,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
59,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
60,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
61,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
62,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
63,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
64,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
65,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
66,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
67,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
68,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
69,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
70,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
71,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
72,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
73,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
74,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
75,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
76,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
77,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
78,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
79,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
80,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
81,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
82,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
83,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
84,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
85,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
86,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
87,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
88,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
89,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
90,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
91,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
92,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
93,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
94,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
95,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
96,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
97,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
98,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
99,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
100,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
101,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
102,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
103,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
104,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
105,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
106,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
107,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
108,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
109,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
110,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
111,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
112,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
113,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
114,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
115,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
116,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
117,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
118,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
119,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
120,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
121,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
122,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
123,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
124,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
125,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
126,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
127,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
128,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
129,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
130,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
131,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
132,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
133,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
134,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
135,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
136,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
137,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
138,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
139,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
140,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
141,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
142,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
143,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
144,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
145,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
146,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
147,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
148,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
149,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
150,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
151,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
152,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
153,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
154,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
155,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
156,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
157,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
158,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
159,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
160,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
161,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
162,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
163,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
164,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
165,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
166,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
167,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
168,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
169,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
170,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
171,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
172,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
173,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
174,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
175,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
176,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
177,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
178,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
179,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
180,11,8,1,10,0,0,0,7,0,1,7,0,1,0,0,3,0.0,0.09091
