Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,5,2,0,0,5,0,5,2,0,0,0,0,0,0,0,0,0.001,0.0
2,6,2,0,0,6,0,6,2,0,0,0,0,0,0,0,0,0.0012,0.0
3,6,2,0,0,6,0,6,2,0,0,0,0,0,0,0,0,0.0012,0.0
4,7,2,0,0,7,0,7,2,0,0,0,0,0,0,0,0,0.0014,0.0
5,7,3,0,0,7,0,7,3,0,0,0,0,0,0,0,0,0.0014,0.0
6,7,3,0,0,7,0,7,3,0,0,0,0,0,0,0,0,0.0014,0.0
7,8,3,0,0,8,1,8,3,1,0,0,0,0,0,0,0,0.0016,0.0
8,10,4,0,0,10,1,10,4,1,0,0,0,0,0,0,0,0.002,0.0
9,11,4,0,1,10,1,10,4,1,0,1,0,0,0,0,0,0.002,0.0
10,12,4,0,1,11,1,10,4,1,0,1,1,0,0,0,0,0.0022,0.0
11,15,5,0,2,13,2,12,5,2,0,2,1,0,0,0,0,0.0026,0.0
12,17,6,0,4,13,3,13,6,3,0,3,0,0,0,0,1,0.0026,0.0
13,17,7,0,6,11,2,11,7,2,0,5,0,0,0,0,1,0.0022,0.0
14,19,7,0,7,12,3,12,7,3,0,6,0,0,0,0,1,0.0024,0.0
15,22,9,0,7,15,3,15,9,3,0,6,0,0,0,0,1,0.003,0.0
16,29,10,0,8,21,4,21,10,4,0,7,0,0,0,0,1,0.0042,0.0
17,32,12,0,10,22,5,22,12,5,0,9,0,0,0,0,1,0.0044,0.0
18,35,14,0,11,24,5,24,14,5,0,10,0,0,0,0,1,0.0048,0.0
19,38,14,0,11,27,5,27,14,5,0,10,0,0,0,0,1,0.0054,0.0
20,43,18,1,11,31,7,31,18,7,1,10,0,0,0,0,1,0.0062,0.02326
21,46,23,3,11,32,6,31,23,6,3,10,1,0,0,0,1,0.0064,0.06522
22,52,24,3,13,36,8,35,24,8,3,12,1,0,0,0,1,0.0072,0.05769
23,61,27,4,14,43,6,42,27,6,4,13,1,0,0,0,1,0.0086,0.06557
24,64,29,4,17,43,5,42,29,5,4,16,1,0,0,0,1,0.0086,0.0625
25,66,29,4,20,42,5,41,29,5,4,19,1,0,0,0,1,0.0084,0.06061
26,70,35,4,25,41,4,39,34,3,4,24,2,1,1,0,1,0.0082,0.05714
