Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0006,0.0,0.0,0.0,0.0
2,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0006,0.0,0.0,0.0,0.0
3,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.0008,0.0,0.0,0.0,0.0
4,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0.0,0.0009,0.0,0.0,0.0,0.0
5,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0.0,0.0009,0.0,0.0,0.0,0.0
6,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0.0,0.0011,0.0,0.0,0.0,0.0
7,12,1,0,0,12,1,0,12,1,0,0,0,0,0,0,0,0,0.0001,0.0012,0.0,0.0,0.0,0.0
8,15,2,0,0,15,2,0,15,2,0,0,0,0,0,0,0,0,0.0002,0.0015,0.0,0.0,0.0,0.0
9,18,2,0,2,16,1,0,16,2,0,0,2,0,0,0,0,0,0.0001,0.0016,0.0002,0.0,0.0,0.0
10,21,2,0,3,18,1,0,18,2,0,0,3,0,0,0,0,0,0.0001,0.0018,0.0003,0.0,0.0,0.0
11,24,3,0,5,19,1,0,19,3,0,0,5,0,0,0,0,0,0.0001,0.0019,0.0005,0.0,0.0,0.0
12,26,4,0,7,19,2,0,17,4,0,0,7,2,0,0,0,0,0.0002,0.0019,0.0007,0.0,0.0,0.0
13,28,5,0,7,21,3,1,19,5,1,0,7,2,0,0,0,0,0.0003,0.0021,0.0007,0.0,0.0,0.0
14,29,6,0,7,22,4,1,20,6,1,0,7,2,0,0,0,0,0.0004,0.0022,0.0007,0.0,0.0,0.0
15,33,6,0,9,24,4,1,22,6,1,0,9,2,0,0,0,0,0.0004,0.0024,0.0009,0.0,0.0,0.0
16,37,6,0,10,27,4,1,24,6,1,0,10,3,0,0,0,0,0.0004,0.0027,0.001,0.0,0.0,0.0
17,42,6,0,12,30,3,1,26,6,1,0,12,4,0,0,0,0,0.0003,0.003,0.0012,0.0,0.0,0.0
18,45,6,1,13,31,1,0,27,6,0,1,13,4,0,0,0,0,0.0001,0.0031,0.0013,0.02222,0.0,0.0
19,50,6,1,17,32,1,0,28,6,0,1,17,4,0,0,0,0,0.0001,0.0032,0.0017,0.02,0.0,0.0
20,56,7,1,19,36,2,1,29,7,1,1,18,7,0,0,0,1,0.0002,0.0036,0.0019,0.01786,0.0,0.0
21,60,9,1,20,39,4,2,29,9,2,1,19,10,0,0,0,1,0.0004,0.0039,0.002,0.01667,0.0,0.0
22,66,9,1,22,43,4,2,30,9,2,1,20,13,0,0,0,2,0.0004,0.0043,0.0022,0.01515,0.0,0.0
23,71,9,1,26,44,4,3,33,9,3,1,22,11,0,0,0,4,0.0004,0.0044,0.0026,0.01408,0.0,0.0
24,75,12,1,29,45,7,4,34,12,4,1,25,11,0,0,0,4,0.0007,0.0045,0.0029,0.01333,0.0,0.0
25,87,13,1,31,55,8,4,43,13,4,1,26,12,0,0,0,5,0.0008,0.0055,0.0031,0.01149,0.0,0.0
26,95,13,1,38,56,5,3,44,13,3,1,33,12,0,0,0,5,0.0005,0.0056,0.0038,0.01053,0.0,0.0
27,108,15,1,44,63,6,4,50,15,4,1,37,13,0,0,0,7,0.0006,0.0063,0.0044,0.00926,0.0,0.0
28,116,18,1,47,68,7,5,53,17,4,1,39,15,1,1,0,8,0.0007,0.0068,0.0047,0.00862,0.0,0.0
29,127,21,1,47,79,10,7,61,19,6,1,39,18,2,1,0,8,0.001,0.0079,0.0047,0.00787,0.0,0.0
30,143,25,1,51,91,13,7,70,22,6,1,41,21,3,1,0,10,0.0013,0.0091,0.0051,0.00699,0.0,0.0
31,158,29,1,54,103,16,9,80,25,7,1,42,23,4,2,0,12,0.0016,0.0103,0.0054,0.00633,0.0,0.0
32,178,32,1,63,114,14,6,89,27,5,1,48,25,5,1,0,15,0.0014,0.0114,0.0063,0.00562,0.0,0.0
33,185,32,1,70,114,9,4,90,27,3,1,53,24,5,1,0,17,0.0009,0.0114,0.007,0.00541,0.0,0.0
34,192,34,1,76,115,11,7,91,28,5,1,58,24,6,2,0,18,0.0011,0.0115,0.0076,0.00521,0.0,0.0
35,202,39,2,86,114,13,8,86,32,5,2,68,28,7,3,0,18,0.0013,0.0114,0.0086,0.0099,0.0,0.0
36,208,47,2,95,111,19,10,85,39,7,2,74,26,8,3,0,21,0.0019,0.0111,0.0095,0.00962,0.0,0.0
37,217,51,3,102,112,18,10,88,43,6,2,80,24,8,4,1,22,0.0018,0.0112,0.0102,0.01382,0.0,0.0
38,223,57,3,110,110,21,11,85,45,7,2,86,25,12,4,1,24,0.0021,0.011,0.011,0.01345,0.0,0.0
39,235,58,3,116,116,20,10,91,46,6,2,91,25,12,4,1,25,0.002,0.0116,0.0116,0.01277,0.0,0.0
40,241,60,4,128,109,20,10,86,48,6,3,99,23,12,4,1,29,0.002,0.0109,0.01281,0.0166,0.0,0.0
41,252,62,5,145,102,15,6,83,50,4,3,111,19,12,2,2,34,0.0015,0.01021,0.01451,0.01984,0.0,0.0
42,258,63,5,159,94,13,6,78,51,5,3,121,16,12,1,2,38,0.0013,0.0094,0.01591,0.01938,0.0,0.0
43,264,65,5,168,91,9,4,77,53,4,3,127,14,12,0,2,41,0.0009,0.0091,0.01681,0.01894,0.0,0.0
44,269,68,5,179,85,9,3,71,56,3,3,137,14,12,0,2,42,0.0009,0.0085,0.01791,0.01859,0.0,0.0
45,276,68,5,189,82,7,5,68,56,4,3,145,14,12,1,2,44,0.0007,0.0082,0.01891,0.01812,0.0,0.0
46,279,72,5,201,73,8,5,60,58,4,3,155,13,14,1,2,46,0.0008,0.0073,0.02011,0.01792,0.0,0.0
47,284,74,5,203,76,10,6,63,60,5,3,157,13,14,1,2,46,0.001,0.0076,0.02031,0.01761,0.0,0.0
48,293,75,5,215,73,9,10,58,61,8,3,169,15,14,2,2,46,0.0009,0.0073,0.02151,0.01706,0.0,0.0
49,309,80,5,221,83,13,12,67,65,10,3,173,16,15,2,2,48,0.0013,0.0083,0.02211,0.01618,0.0,0.0
50,316,82,6,225,85,11,9,71,67,8,4,175,14,15,1,2,50,0.0011,0.00851,0.02251,0.01899,0.0,0.0
51,325,83,6,238,81,9,8,70,68,6,4,185,11,15,2,2,53,0.0009,0.0081,0.02381,0.01846,0.0,0.0
52,335,86,6,244,85,11,11,74,70,8,4,191,11,16,3,2,53,0.0011,0.00851,0.02441,0.01791,0.0,0.0
53,350,90,6,247,97,14,11,84,73,7,4,193,13,17,4,2,54,0.0014,0.00971,0.02471,0.01714,0.0,0.0
54,375,91,6,256,113,12,10,98,73,6,4,200,15,18,4,2,56,0.0012,0.01131,0.02562,0.016,0.0,0.0
55,394,92,6,263,125,11,8,103,74,4,4,206,22,18,4,2,57,0.0011,0.01251,0.02632,0.01523,0.0,0.0
56,416,94,6,272,138,11,6,115,75,3,4,213,23,19,3,2,59,0.0011,0.01381,0.02722,0.01442,0.0,0.0
57,438,96,8,282,148,8,5,120,77,3,6,220,28,19,2,2,62,0.0008,0.01481,0.02822,0.01826,0.0,0.0
58,455,100,8,293,154,10,5,125,81,3,6,229,29,19,2,2,64,0.001,0.01541,0.02932,0.01758,0.0,0.0
59,483,101,8,298,177,11,8,144,81,6,6,234,33,20,2,2,64,0.0011,0.01771,0.02982,0.01656,0.0,0.0
60,504,106,8,304,192,14,9,156,86,8,6,239,36,20,1,2,65,0.0014,0.01922,0.03042,0.01587,0.0,0.0
61,535,110,8,318,209,15,9,171,90,8,6,252,38,20,1,2,66,0.0015,0.02092,0.03183,0.01495,0.0,0.0
62,561,114,9,330,222,17,10,180,94,10,6,262,42,20,0,3,68,0.0017,0.02222,0.03303,0.01604,0.0,0.0
63,594,120,9,349,236,18,7,193,100,7,6,280,43,20,0,3,69,0.0018,0.02362,0.03493,0.01515,0.0,0.0
64,619,123,11,363,245,17,10,203,102,9,8,288,42,21,1,3,75,0.0017,0.02453,0.03634,0.01777,0.0,0.0
65,648,131,11,382,255,21,14,213,108,12,8,304,42,23,2,3,78,0.0021,0.02553,0.03824,0.01698,0.0,0.0
66,680,139,11,406,263,24,15,222,114,13,8,322,41,25,2,3,84,0.0024,0.02633,0.04064,0.01618,0.0,0.0
67,724,146,12,428,284,26,18,238,119,16,9,341,46,27,2,3,87,0.0026,0.02843,0.04285,0.01657,0.0,0.0
68,761,155,13,442,306,31,18,253,127,16,10,353,53,28,2,3,89,0.0031,0.03064,0.04426,0.01708,0.0,0.0
69,807,162,13,458,336,34,26,279,133,21,10,366,57,29,5,3,92,0.0034,0.03364,0.04586,0.01611,0.0,0.0
70,861,177,13,478,370,43,30,306,145,26,10,381,64,32,4,3,97,0.00431,0.03705,0.04786,0.0151,0.0,0.0
71,925,184,14,501,410,44,31,345,152,26,11,398,65,32,5,3,103,0.00441,0.04106,0.05017,0.01514,0.0,0.0
72,987,193,15,527,445,41,28,373,160,23,12,421,72,33,5,3,106,0.00411,0.04457,0.05278,0.0152,0.0,0.0
73,1045,200,18,550,477,39,32,397,167,26,13,441,80,33,6,5,109,0.00391,0.04779,0.0551,0.01722,0.0,0.0
74,1115,212,19,577,519,44,33,427,175,26,14,463,92,37,7,5,114,0.00441,0.052,0.05781,0.01704,0.0,0.0
75,1183,225,19,619,545,45,36,442,186,28,14,498,103,39,8,5,121,0.00451,0.0546,0.06202,0.01606,0.0,0.0
76,1252,234,19,644,589,46,40,473,192,32,14,520,116,42,8,5,124,0.00461,0.05901,0.06452,0.01518,0.0,0.0
77,1338,255,19,682,637,57,47,516,211,39,14,548,121,44,8,5,134,0.00571,0.06382,0.06833,0.0142,0.0,0.0
78,1430,273,19,730,681,60,46,541,226,38,14,588,140,47,8,5,142,0.00601,0.06823,0.07314,0.01329,0.0,0.0
79,1515,287,21,766,728,65,52,568,237,43,16,620,160,50,9,5,146,0.00651,0.07295,0.07676,0.01386,0.0,0.0
80,1609,314,21,817,771,79,60,596,257,51,16,661,175,57,9,5,156,0.00792,0.07726,0.08187,0.01305,0.0,0.0
81,1728,339,22,870,836,90,68,647,279,59,17,700,189,60,9,5,170,0.00902,0.08378,0.08719,0.01273,0.0,0.0
82,1824,361,22,933,869,97,72,664,296,60,17,755,205,65,12,5,178,0.00972,0.08709,0.09351,0.01206,0.0,0.0
83,1929,385,22,986,921,100,74,706,314,64,17,794,215,71,10,5,192,0.01002,0.0923,0.09882,0.0114,0.0,0.0
84,2033,411,23,1053,957,103,75,730,337,63,18,849,227,74,12,5,204,0.01032,0.09592,0.10554,0.01131,0.0,0.0
85,2149,432,23,1126,1000,100,76,746,348,63,18,907,254,84,13,5,219,0.01002,0.10023,0.11286,0.0107,0.0,0.0
86,2275,458,23,1191,1061,108,80,786,368,65,18,957,275,90,15,5,234,0.01082,0.10634,0.11937,0.01011,0.0,0.0
87,2398,484,24,1280,1094,105,82,795,383,63,19,1026,299,101,19,5,254,0.01053,0.10966,0.12831,0.01001,0.0,0.0
88,2530,518,24,1366,1140,117,78,818,410,60,19,1093,322,108,18,5,273,0.01173,0.11427,0.13693,0.00949,0.0,0.0
