Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0006,0.0,0.0,0,0
2,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0006,0.0,0.0,0,0
3,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0006,0.0,0.0,0,0
4,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0.0,0.0007,0.0,0.0,0,0
5,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.0008,0.0,0.0,0,0
6,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.0008,0.0,0.0,0,0
7,8,1,0,0,8,1,0,8,1,0,0,0,0,0,0,0,0,0.0001,0.0008,0.0,0.0,0,0
8,10,1,0,0,10,1,0,10,1,0,0,0,0,0,0,0,0,0.0001,0.001,0.0,0.0,0,0
9,11,1,0,1,10,1,0,10,1,0,0,1,0,0,0,0,0,0.0001,0.001,0.0001,0.0,0,0
10,13,1,0,2,11,1,0,11,1,0,0,2,0,0,0,0,0,0.0001,0.0011,0.0002,0.0,0,0
11,14,1,0,4,10,1,1,10,1,1,0,4,0,0,0,0,0,0.0001,0.001,0.0004,0.0,0,0
12,14,2,0,6,8,1,1,8,2,1,0,6,0,0,0,0,0,0.0001,0.0008,0.0006,0.0,0,0
13,15,2,0,7,8,1,1,8,2,1,0,7,0,0,0,0,0,0.0001,0.0008,0.0007,0.0,0,0
14,17,2,0,7,10,1,1,10,2,1,0,7,0,0,0,0,0,0.0001,0.001,0.0007,0.0,0,0
15,17,2,1,7,9,0,0,9,2,0,1,7,0,0,0,0,0,0.0,0.0009,0.0007,0.05882,0,0
16,18,2,1,8,9,0,0,8,2,0,1,8,1,0,0,0,0,0.0,0.0009,0.0008,0.05556,0,0
17,20,2,1,10,9,0,0,8,2,0,1,10,1,0,0,0,0,0.0,0.0009,0.001,0.05,0,0
18,23,2,1,10,12,0,0,11,2,0,1,10,1,0,0,0,0,0.0,0.0012,0.001,0.04348,0,0
19,24,3,1,10,13,1,0,12,3,0,1,10,1,0,0,0,0,0.0001,0.0013,0.001,0.04167,0,0
20,30,3,1,10,19,1,0,16,3,0,1,10,3,0,0,0,0,0.0001,0.0019,0.001,0.03333,0,0
21,36,3,1,12,23,1,1,19,3,1,1,12,4,0,0,0,0,0.0001,0.0023,0.0012,0.02778,0,0
22,36,4,1,12,23,2,3,19,4,2,1,12,4,0,1,0,0,0.0002,0.0023,0.0012,0.02778,0,0
23,40,6,1,12,27,4,4,22,5,3,1,12,5,1,1,0,0,0.0004,0.0027,0.0012,0.025,0,0
24,46,7,1,13,32,5,4,24,6,3,1,13,8,1,1,0,0,0.0005,0.0032,0.0013,0.02174,0,0
25,50,7,1,16,33,2,3,25,6,3,1,15,8,1,0,0,1,0.0002,0.0033,0.0016,0.02,0,0
26,55,9,1,18,36,3,3,27,8,3,1,17,9,1,0,0,1,0.0003,0.0036,0.0018,0.01818,0,0
27,58,10,1,18,39,4,4,29,9,4,1,17,10,1,0,0,1,0.0004,0.0039,0.0018,0.01724,0,0
28,66,12,1,22,43,5,4,33,11,3,1,20,10,1,1,0,2,0.0005,0.0043,0.0022,0.01515,0,0
29,71,13,2,24,45,5,5,34,11,3,2,22,11,2,2,0,2,0.0005,0.0045,0.0024,0.02817,0,0
30,79,15,2,28,49,5,3,37,12,1,2,26,12,3,2,0,2,0.0005,0.0049,0.0028,0.02532,0,0
31,86,15,2,31,53,4,5,38,12,3,2,28,15,3,2,0,3,0.0004,0.0053,0.0031,0.02326,0,0
32,95,17,2,35,58,6,5,42,14,3,2,31,16,3,2,0,4,0.0006,0.0058,0.0035,0.02105,0,0
33,107,18,2,38,67,7,6,48,15,3,2,34,19,3,3,0,4,0.0007,0.0067,0.0038,0.01869,0,0
34,115,20,2,41,72,9,7,52,16,4,2,36,20,4,3,0,5,0.0009,0.0072,0.0041,0.01739,0,0
