Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0,0
2,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0,0
3,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0,0
4,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0,0
5,5,1,0,0,5,1,0,5,1,0,0,0,0,0,0,0,0,0.00033,0.00167,0.0,0.0,0,0
6,6,1,0,1,5,1,0,5,1,0,0,1,0,0,0,0,0,0.00033,0.00167,0.00033,0.0,0,0
7,7,1,0,1,6,1,0,6,1,0,0,1,0,0,0,0,0,0.00033,0.002,0.00033,0.0,0,0
8,8,2,0,1,7,2,0,7,2,0,0,1,0,0,0,0,0,0.00067,0.00233,0.00033,0.0,0,0
9,10,2,0,2,8,2,0,8,2,0,0,2,0,0,0,0,0,0.00067,0.00267,0.00067,0.0,0,0
10,12,2,0,3,9,1,0,9,2,0,0,3,0,0,0,0,0,0.00033,0.003,0.001,0.0,0,0
11,12,2,0,4,8,1,0,7,2,0,0,4,1,0,0,0,0,0.00033,0.00267,0.00133,0.0,0,0
12,13,2,0,4,9,1,0,6,2,0,0,4,3,0,0,0,0,0.00033,0.003,0.00133,0.0,0,0
13,14,2,0,4,10,1,1,7,2,0,0,4,3,0,1,0,0,0.00033,0.00333,0.00133,0.0,0,0
14,14,3,0,5,9,2,1,6,2,0,0,5,3,1,1,0,0,0.00067,0.003,0.00167,0.0,0,0
15,15,3,0,5,10,2,1,7,2,0,0,5,3,1,1,0,0,0.00067,0.00333,0.00167,0.0,0,0
16,16,3,0,6,10,2,1,6,2,0,0,6,4,1,1,0,0,0.00067,0.00333,0.002,0.0,0,0
17,17,3,0,7,10,2,1,5,2,0,0,7,5,1,1,0,0,0.00067,0.00333,0.00233,0.0,0,0
18,19,3,1,7,11,1,0,5,2,0,0,7,6,1,0,1,0,0.00033,0.00367,0.00233,0.05263,0,0
19,21,3,1,8,12,1,0,6,2,0,0,7,6,1,0,1,1,0.00033,0.004,0.00267,0.04762,0,0
20,21,3,1,10,10,1,0,5,2,0,0,8,5,1,0,1,2,0.00033,0.00333,0.00333,0.04762,0,0
21,21,3,1,11,9,0,0,4,2,0,0,9,5,1,0,1,2,0.0,0.003,0.00367,0.04762,0,0
22,22,3,1,12,9,0,0,3,2,0,0,10,6,1,0,1,2,0.0,0.003,0.004,0.04545,0,0
23,23,3,1,12,10,0,0,3,2,0,0,10,7,1,0,1,2,0.0,0.00333,0.004,0.04348,0,0
24,23,3,1,12,10,0,0,3,2,0,0,10,7,1,0,1,2,0.0,0.00333,0.004,0.04348,0,0
