Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0.00167,0.0
2,8,1,0,0,8,0,8,1,0,0,0,0,0,0,0,0,0.00267,0.0
3,10,1,0,0,10,0,10,1,0,0,0,0,0,0,0,0,0.00333,0.0
4,15,2,0,0,15,1,15,2,1,0,0,0,0,0,0,0,0.005,0.0
5,20,3,0,0,20,1,20,3,1,0,0,0,0,0,0,0,0.00667,0.0
6,22,7,0,0,22,1,22,7,1,0,0,0,0,0,0,0,0.00733,0.0
7,25,8,0,0,25,1,25,8,1,0,0,0,0,0,0,0,0.00833,0.0
8,26,8,0,1,25,2,25,8,2,0,1,0,0,0,0,0,0.00833,0.0
9,26,10,0,1,25,2,25,10,2,0,1,0,0,0,0,0,0.00833,0.0
10,28,12,0,3,25,1,19,12,1,0,3,6,0,0,0,0,0.00833,0.0
11,30,15,0,3,27,1,21,13,1,0,3,6,2,0,0,0,0.009,0.0
12,34,16,0,5,29,3,22,13,3,0,5,7,3,0,0,0,0.00967,0.0
13,35,17,1,7,27,2,20,14,2,1,7,7,3,0,0,0,0.009,0.02857
14,36,20,1,8,27,2,17,15,2,1,8,10,5,0,0,0,0.009,0.02778
15,41,21,1,15,25,3,16,16,3,1,13,9,5,0,0,2,0.00833,0.02439
16,42,23,1,16,25,3,17,18,3,1,13,8,5,0,0,3,0.00833,0.02381
17,42,23,1,17,24,3,16,18,3,1,14,8,5,0,0,3,0.008,0.02381
18,43,26,1,21,21,3,16,21,3,1,15,5,5,0,0,6,0.007,0.02326
19,45,29,1,23,21,4,16,23,4,1,17,5,6,0,0,6,0.007,0.02222
20,49,30,1,25,23,5,18,24,4,1,18,5,6,1,0,7,0.00767,0.02041
21,52,35,1,28,23,4,17,28,3,1,21,6,7,1,0,7,0.00767,0.01923
22,55,35,1,31,23,1,17,28,0,1,24,6,7,1,0,7,0.00767,0.01818
23,61,37,1,32,28,2,20,30,1,1,24,8,7,1,0,8,0.00933,0.01639
24,66,38,1,32,33,3,25,30,2,1,24,8,8,1,0,8,0.011,0.01515
25,69,41,1,36,32,3,22,32,2,1,27,10,9,1,0,9,0.01067,0.01449
26,72,41,1,38,33,3,22,32,2,1,28,11,9,1,0,10,0.011,0.01389
27,75,43,1,41,33,3,20,34,2,1,31,13,9,1,0,10,0.011,0.01333
28,79,47,1,42,36,2,22,37,2,1,31,14,10,0,0,11,0.012,0.01266
29,82,49,1,43,38,2,26,39,2,1,31,12,10,0,0,12,0.01267,0.0122
30,85,49,1,44,40,3,28,39,3,1,32,12,10,0,0,12,0.01333,0.01176
31,90,52,1,49,40,2,28,40,2,1,36,12,12,0,0,13,0.01333,0.01111
32,100,53,1,51,48,3,34,41,3,1,38,14,12,0,0,13,0.016,0.01
33,107,55,1,54,52,4,39,43,4,1,39,13,12,0,0,15,0.01733,0.00935
34,110,59,1,56,53,5,41,46,4,1,41,12,13,1,0,15,0.01767,0.00909
35,116,60,1,58,57,5,45,46,4,1,42,12,14,1,0,16,0.019,0.00862
36,131,63,1,64,66,5,54,49,4,1,46,12,14,1,0,18,0.022,0.00763
37,140,70,1,68,71,5,55,53,4,1,49,16,17,1,0,19,0.02367,0.00714
38,149,79,1,73,75,4,55,60,3,1,53,20,19,1,0,20,0.025,0.00671
39,158,81,1,78,79,3,60,61,2,1,55,19,20,1,0,23,0.02633,0.00633
40,173,84,1,85,87,2,63,63,1,1,62,24,21,1,0,23,0.029,0.00578
41,182,89,1,91,90,3,66,67,2,1,66,24,22,1,0,25,0.03,0.00549
42,201,96,1,93,107,3,79,71,3,1,67,28,25,0,0,26,0.03567,0.00498
43,215,100,1,99,115,3,86,74,3,1,71,29,26,0,0,28,0.03833,0.00465
44,230,108,2,105,123,6,92,81,5,2,74,31,27,1,0,31,0.041,0.0087
45,257,119,2,108,147,6,102,90,5,2,76,45,29,1,0,32,0.049,0.00778
46,279,131,2,113,164,8,108,95,7,2,80,56,36,1,0,33,0.05467,0.00717
47,306,139,2,122,182,8,120,102,8,2,86,62,37,0,0,36,0.06067,0.00654
48,345,148,4,132,209,10,131,109,10,4,95,78,39,0,0,37,0.06967,0.01159
49,364,158,4,138,222,18,142,116,14,4,99,80,42,4,0,39,0.074,0.01099
50,388,175,4,149,235,21,147,124,15,4,106,88,51,6,0,43,0.07833,0.01031
51,422,190,4,163,255,24,159,135,14,4,117,96,55,10,0,46,0.085,0.00948
52,449,206,5,177,267,31,167,142,18,4,126,100,64,13,1,51,0.089,0.01114
53,478,224,6,188,284,27,172,154,14,5,134,112,70,13,1,54,0.09467,0.01255
54,514,237,6,206,302,34,174,164,18,5,146,128,73,16,1,60,0.10067,0.01167
55,560,254,6,225,329,35,183,174,20,5,157,146,80,15,1,68,0.10967,0.01071
56,603,274,6,247,350,36,192,189,20,5,170,158,85,16,1,77,0.11667,0.00995
57,640,296,6,267,367,44,202,203,27,5,180,165,93,17,1,87,0.12233,0.00937
58,682,328,6,290,386,50,208,223,31,5,194,178,105,19,1,96,0.12867,0.0088
59,719,349,7,314,398,45,208,233,30,5,209,190,116,15,2,105,0.13267,0.00974
60,766,370,8,338,420,39,219,247,24,5,228,201,123,15,3,110,0.14,0.01044
61,813,387,8,374,431,35,219,253,19,5,247,212,134,16,3,127,0.14367,0.00984
62,861,404,8,411,442,37,219,255,16,5,274,223,149,21,3,137,0.14733,0.00929
63,909,433,9,443,457,38,233,269,17,5,286,224,164,21,4,157,0.15233,0.0099
64,953,458,9,461,483,44,240,281,20,5,295,243,177,24,4,166,0.161,0.00944
65,1001,486,9,499,493,40,246,293,19,5,314,247,193,21,4,185,0.16433,0.00899
66,1052,516,10,531,511,44,253,308,17,6,332,258,208,27,4,199,0.17033,0.00951
67,1109,545,13,565,531,49,259,318,22,7,349,272,227,27,6,216,0.177,0.01172
68,1167,586,13,596,558,54,264,340,26,7,362,294,246,28,6,234,0.186,0.01114
69,1213,628,13,634,566,60,268,364,31,7,381,298,264,29,6,253,0.18867,0.01072
70,1271,666,14,668,589,67,277,381,35,7,398,312,285,32,7,270,0.19633,0.01101
71,1324,701,15,710,599,68,277,400,31,8,422,322,301,37,7,288,0.19967,0.01133
72,1375,734,15,762,598,64,270,416,28,8,446,328,318,36,7,316,0.19933,0.01091
73,1420,767,15,799,606,68,273,433,31,8,459,333,334,37,7,340,0.202,0.01056
74,1457,794,16,860,581,71,264,450,33,9,486,317,344,38,7,374,0.19367,0.01098
75,1502,821,16,904,582,72,275,463,34,9,505,307,358,38,7,399,0.194,0.01065
76,1551,854,17,950,584,70,267,478,32,9,529,317,376,38,8,421,0.19467,0.01096
77,1593,894,18,1011,564,61,265,490,31,9,558,299,404,30,9,453,0.188,0.0113
78,1619,926,18,1070,531,61,250,501,36,9,587,281,425,25,9,483,0.177,0.01112
79,1657,960,18,1113,526,64,242,519,31,9,607,284,441,33,9,506,0.17533,0.01086
