Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0.00167,0.0
2,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0.00167,0.0
3,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0.002,0.0
4,9,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0.003,0.0
5,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0.00333,0.0
6,11,0,0,0,11,1,10,0,1,0,0,1,0,0,0,0,0.00367,0.0
7,13,1,0,0,13,1,12,1,1,0,0,1,0,0,0,0,0.00433,0.0
8,18,2,0,0,18,1,17,2,1,0,0,1,0,0,0,0,0.006,0.0
9,20,2,0,0,20,4,19,2,3,0,0,1,0,1,0,0,0.00667,0.0
10,22,6,0,1,21,4,19,5,3,0,1,2,1,1,0,0,0.007,0.0
11,25,9,0,2,23,4,21,8,3,0,2,2,1,1,0,0,0.00767,0.0
12,30,9,0,2,28,4,25,8,3,0,2,3,1,1,0,0,0.00933,0.0
13,34,9,0,5,29,2,26,8,2,0,4,3,1,0,0,1,0.00967,0.0
14,35,11,0,7,28,1,25,10,1,0,6,3,1,0,0,1,0.00933,0.0
15,41,13,0,8,33,2,30,11,2,0,7,3,2,0,0,1,0.011,0.0
16,46,16,0,8,38,3,34,14,2,0,7,4,2,1,0,1,0.01267,0.0
17,49,21,0,9,40,3,36,17,2,0,8,4,4,1,0,1,0.01333,0.0
18,54,25,0,12,42,3,35,20,2,0,11,7,5,1,0,1,0.014,0.0
19,58,25,0,14,44,4,37,20,3,0,13,7,5,1,0,1,0.01467,0.0
20,60,30,0,18,42,3,34,25,2,0,17,8,5,1,0,1,0.014,0.0
21,64,31,0,23,41,3,33,26,3,0,21,8,5,0,0,2,0.01367,0.0
22,71,33,0,27,44,3,37,28,3,0,24,7,5,0,0,3,0.01467,0.0
23,80,34,0,31,49,5,41,28,5,0,26,8,6,0,0,5,0.01633,0.0
24,83,36,0,33,50,6,42,30,6,0,27,8,6,0,0,6,0.01667,0.0
25,91,38,0,39,52,7,44,32,6,0,32,8,6,1,0,7,0.01733,0.0
26,96,42,2,42,52,5,44,35,4,2,35,8,7,1,0,7,0.01733,0.02083
27,102,45,2,45,55,5,46,38,4,2,37,9,7,1,0,8,0.01833,0.01961
28,111,52,2,45,64,5,53,44,4,2,37,11,8,1,0,8,0.02133,0.01802
