Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.001,0.0
2,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0.002,0.0
3,8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0.00267,0.0
4,9,0,0,0,9,1,9,0,1,0,0,0,0,0,0,0,0.003,0.0
5,12,1,0,0,12,1,12,1,1,0,0,0,0,0,0,0,0.004,0.0
6,14,1,0,0,14,1,13,1,1,0,0,1,0,0,0,0,0.00467,0.0
7,16,3,0,1,15,1,14,3,1,0,1,1,0,0,0,0,0.005,0.0
8,17,4,0,2,15,1,14,4,1,0,2,1,0,0,0,0,0.005,0.0
9,20,5,0,2,18,1,17,4,1,0,2,1,1,0,0,0,0.006,0.0
10,26,6,0,3,23,0,22,5,0,0,3,1,1,0,0,0,0.00767,0.0
11,27,9,0,3,24,1,22,8,0,0,3,2,1,1,0,0,0.008,0.0
12,36,11,0,3,33,2,31,10,1,0,3,2,1,1,0,0,0.011,0.0
13,45,12,0,4,41,4,37,11,3,0,4,4,1,1,0,0,0.01367,0.0
14,49,14,0,5,44,4,39,13,3,0,4,5,1,1,0,1,0.01467,0.0
15,58,14,0,7,51,5,45,13,3,0,6,6,1,2,0,1,0.017,0.0
16,72,15,0,8,64,5,54,14,3,0,7,10,1,2,0,1,0.02133,0.0
17,89,19,0,10,79,7,65,17,5,0,9,14,2,2,0,1,0.02633,0.0
18,111,26,0,15,96,6,79,20,5,0,13,17,6,1,0,2,0.032,0.0
19,134,30,0,17,117,7,97,24,6,0,15,20,6,1,0,2,0.039,0.0
20,162,37,0,21,141,9,113,29,8,0,19,28,8,1,0,2,0.047,0.0
21,198,47,0,26,172,10,134,36,9,0,22,38,11,1,0,4,0.05733,0.0
22,241,58,0,32,209,11,161,45,10,0,28,48,13,1,0,4,0.06967,0.0
23,255,68,1,36,218,10,170,51,9,1,31,48,17,1,0,5,0.07267,0.00392
24,274,78,2,41,231,12,180,60,11,2,35,51,18,1,0,6,0.077,0.0073
25,291,92,2,52,237,16,186,73,13,2,40,51,19,3,0,12,0.079,0.00687
26,311,109,2,60,249,23,189,82,19,2,48,60,27,4,0,12,0.083,0.00643
