Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.001,0.0,0.0,0.0,0.0
2,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.001,0.0,0.0,0.0,0.0
3,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0.0,0.00133,0.0,0.0,0.0,0.0
4,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0.0,0.0
5,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.002,0.0,0.0,0.0,0.0
6,8,0,0,0,8,0,1,8,0,1,0,0,0,0,0,0,0,0.0,0.00267,0.0,0.0,0.0,0.0
7,9,1,0,0,9,1,1,9,1,1,0,0,0,0,0,0,0,0.00033,0.003,0.0,0.0,0.0,0.0
8,10,1,0,0,10,1,1,10,1,1,0,0,0,0,0,0,0,0.00033,0.00333,0.0,0.0,0.0,0.0
9,11,1,0,2,9,1,1,9,1,1,0,2,0,0,0,0,0,0.00033,0.003,0.00067,0.0,0.0,0.0
10,11,2,0,2,9,2,1,9,2,1,0,2,0,0,0,0,0,0.00067,0.003,0.00067,0.0,0.0,0.0
11,14,2,0,4,10,0,0,10,2,0,0,4,0,0,0,0,0,0.0,0.00333,0.00133,0.0,0.0,0.0
12,16,2,0,5,11,0,1,9,2,0,0,5,2,0,1,0,0,0.0,0.00367,0.00167,0.0,0.0,0.0
13,17,3,0,5,12,1,1,10,2,0,0,5,2,1,1,0,0,0.00033,0.004,0.00167,0.0,0.0,0.0
14,18,3,0,5,13,1,2,11,2,1,0,5,2,1,1,0,0,0.00033,0.00433,0.00167,0.0,0.0,0.0
15,18,4,0,8,10,1,1,9,3,1,0,7,1,1,0,0,1,0.00033,0.00333,0.00267,0.0,0.0,0.0
16,18,4,0,8,10,1,1,8,3,1,0,7,2,1,0,0,1,0.00033,0.00333,0.00267,0.0,0.0,0.0
17,19,5,0,9,10,2,1,8,4,1,0,8,2,1,0,0,1,0.00067,0.00333,0.003,0.0,0.0,0.0
18,21,5,0,9,12,2,1,8,4,1,0,8,4,1,0,0,1,0.00067,0.004,0.003,0.0,0.0,0.0
19,26,5,0,10,16,2,1,10,4,1,0,9,6,1,0,0,1,0.00067,0.00533,0.00333,0.0,0.0,0.0
20,31,5,0,11,20,2,1,13,4,1,0,10,7,1,0,0,1,0.00067,0.00667,0.00367,0.0,0.0,0.0
21,33,5,1,12,20,0,0,13,4,0,1,11,7,1,0,0,1,0.0,0.00667,0.004,0.0303,0.0,0.0
22,38,5,1,12,25,0,1,15,4,0,1,11,10,1,1,0,1,0.0,0.00834,0.004,0.02632,0.0,0.0
23,40,7,1,13,26,2,2,13,5,1,1,12,13,2,1,0,1,0.00067,0.00867,0.00433,0.025,0.0,0.0
24,45,9,1,15,29,4,2,14,7,1,1,13,15,2,1,0,2,0.00133,0.00967,0.005,0.02222,0.0,0.0
25,51,9,1,16,34,4,3,16,7,2,1,13,18,2,1,0,3,0.00133,0.01134,0.00534,0.01961,0.0,0.0
26,54,11,1,16,37,6,4,18,9,3,1,13,19,2,1,0,3,0.002,0.01234,0.00534,0.01852,0.0,0.0
27,65,12,1,18,46,7,4,24,10,3,1,14,22,2,1,0,4,0.00233,0.01534,0.006,0.01538,0.0,0.0
28,75,12,2,21,52,5,3,31,10,3,1,16,21,2,0,1,5,0.00167,0.01734,0.007,0.02667,0.0,0.0
29,82,12,2,22,58,5,4,37,10,3,1,16,21,2,1,1,6,0.00167,0.01935,0.00734,0.02439,0.0,0.0
30,94,13,2,26,66,5,3,41,10,2,1,19,25,3,1,1,7,0.00167,0.02201,0.00867,0.02128,0.0,0.0
31,105,14,2,30,73,4,4,42,11,1,1,21,31,3,3,1,9,0.00133,0.02435,0.01001,0.01905,0.0,0.0
32,112,17,4,33,75,5,3,42,12,0,2,22,33,5,3,2,11,0.00167,0.02503,0.01101,0.03571,0.0,0.0
33,130,21,4,36,90,9,5,48,12,2,2,24,42,9,3,2,12,0.003,0.03004,0.01202,0.03077,0.0,0.0
34,141,24,4,37,100,11,7,53,15,3,2,25,47,9,4,2,12,0.00367,0.03338,0.01235,0.02837,0.0,0.0
35,160,26,4,41,115,12,8,60,16,4,2,28,55,10,4,2,13,0.00401,0.03838,0.01368,0.025,0.0,0.0
36,181,31,5,47,129,15,8,71,18,4,2,32,58,13,4,3,15,0.00501,0.04307,0.01569,0.02762,0.0,0.0
37,201,33,5,56,140,13,5,72,18,3,2,37,68,15,2,3,19,0.00434,0.04674,0.0187,0.02488,0.0,0.0
38,231,35,5,65,161,11,7,84,19,5,2,41,77,16,2,3,24,0.00367,0.05376,0.0217,0.02165,0.0,0.0
39,245,37,5,73,167,10,8,86,21,5,2,44,81,16,3,3,29,0.00334,0.05576,0.02437,0.02041,0.0,0.0
40,268,42,5,84,179,14,7,92,24,4,2,50,87,18,3,3,34,0.00467,0.05977,0.02805,0.01866,0.0,0.0
41,299,43,5,97,197,15,8,102,25,4,2,55,95,18,4,3,42,0.00501,0.06578,0.03239,0.01672,0.0,0.0
42,328,45,5,111,212,13,8,105,26,4,2,64,107,19,4,3,47,0.00434,0.07078,0.03706,0.01524,0.0,0.0
