Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.001,0.0,0.0,0.0,0.0
2,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.001,0.0,0.0,0.0,0.0
3,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.001,0.0,0.0,0.0,0.0
4,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.001,0.0,0.0,0.0,0.0
5,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0.0,0.0
6,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0.0,0.0
7,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0.0,0.0
8,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.002,0.0,0.0,0.0,0.0
9,6,0,0,1,5,0,0,5,0,0,0,1,0,0,0,0,0,0.0,0.00167,0.00033,0.0,0.0,0.0
10,6,0,0,2,4,0,0,4,0,0,0,2,0,0,0,0,0,0.0,0.00133,0.00067,0.0,0.0,0.0
11,6,0,0,2,4,0,0,4,0,0,0,2,0,0,0,0,0,0.0,0.00133,0.00067,0.0,0.0,0.0
12,6,0,0,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0.0,0.001,0.001,0.0,0.0,0.0
13,6,0,0,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0.0,0.001,0.001,0.0,0.0,0.0
14,7,0,0,3,4,0,0,4,0,0,0,3,0,0,0,0,0,0.0,0.00133,0.001,0.0,0.0,0.0
15,7,0,0,4,3,0,0,3,0,0,0,4,0,0,0,0,0,0.0,0.001,0.00133,0.0,0.0,0.0
16,8,0,0,4,4,0,0,2,0,0,0,4,2,0,0,0,0,0.0,0.00133,0.00133,0.0,0.0,0.0
17,9,0,0,6,3,0,0,2,0,0,0,5,1,0,0,0,1,0.0,0.001,0.002,0.0,0.0,0.0
18,9,0,0,6,3,0,0,2,0,0,0,5,1,0,0,0,1,0.0,0.001,0.002,0.0,0.0,0.0
19,10,0,0,6,4,0,0,2,0,0,0,5,2,0,0,0,1,0.0,0.00133,0.002,0.0,0.0,0.0
20,10,1,0,6,4,1,0,2,0,0,0,5,2,1,0,0,1,0.00033,0.00133,0.002,0.0,0.0,0.0
21,10,1,0,6,4,1,0,2,0,0,0,5,2,1,0,0,1,0.00033,0.00133,0.002,0.0,0.0,0.0
22,10,1,0,7,3,1,0,1,0,0,0,6,2,1,0,0,1,0.00033,0.001,0.00233,0.0,0.0,0.0
23,10,1,0,7,3,1,1,1,0,1,0,6,2,1,0,0,1,0.00033,0.001,0.00233,0.0,0.0,0.0
24,11,2,0,8,3,1,1,2,1,1,0,6,1,1,0,0,2,0.00033,0.001,0.00267,0.0,0.0,0.0
25,11,2,0,8,3,1,1,2,1,1,0,6,1,1,0,0,2,0.00033,0.001,0.00267,0.0,0.0,0.0
26,12,2,0,9,3,0,0,2,1,0,0,7,1,1,0,0,2,0.0,0.001,0.003,0.0,0.0,0.0
27,12,2,0,9,3,0,0,2,1,0,0,7,1,1,0,0,2,0.0,0.001,0.003,0.0,0.0,0.0
28,12,2,0,9,3,0,0,2,1,0,0,7,1,1,0,0,2,0.0,0.001,0.003,0.0,0.0,0.0
29,12,2,0,10,2,0,0,2,1,0,0,7,0,1,0,0,3,0.0,0.00067,0.00333,0.0,0.0,0.0
30,12,2,0,10,2,0,0,2,1,0,0,7,0,1,0,0,3,0.0,0.00067,0.00333,0.0,0.0,0.0
31,12,2,0,10,2,0,0,2,1,0,0,7,0,1,0,0,3,0.0,0.00067,0.00333,0.0,0.0,0.0
32,12,2,0,10,2,0,0,2,1,0,0,7,0,1,0,0,3,0.0,0.00067,0.00333,0.0,0.0,0.0
33,12,2,0,10,2,0,0,2,1,0,0,7,0,1,0,0,3,0.0,0.00067,0.00333,0.0,0.0,0.0
34,12,2,0,10,2,0,0,2,1,0,0,7,0,1,0,0,3,0.0,0.00067,0.00333,0.0,0.0,0.0
35,12,2,0,11,1,0,0,1,1,0,0,8,0,1,0,0,3,0.0,0.00033,0.00367,0.0,0.0,0.0
36,12,2,0,11,1,0,0,1,1,0,0,8,0,1,0,0,3,0.0,0.00033,0.00367,0.0,0.0,0.0
37,12,2,0,12,0,0,0,0,1,0,0,9,0,1,0,0,3,0.0,0.0,0.004,0.0,0.0,0.0
38,12,2,0,12,0,0,0,0,1,0,0,9,0,1,0,0,3,0.0,0.0,0.004,0.0,0.0,0.0
39,12,2,0,12,0,0,0,0,1,0,0,9,0,1,0,0,3,0.0,0.0,0.004,0.0,0.0,0.0
40,12,2,0,12,0,0,0,0,1,0,0,9,0,1,0,0,3,0.0,0.0,0.004,0.0,0.0,0.0
41,12,2,0,12,0,0,0,0,1,0,0,9,0,1,0,0,3,0.0,0.0,0.004,0.0,0.0,0.0
42,12,2,0,12,0,0,0,0,1,0,0,9,0,1,0,0,3,0.0,0.0,0.004,0.0,0.0,0.0
43,12,2,0,12,0,0,0,0,1,0,0,9,0,1,0,0,3,0.0,0.0,0.004,0.0,0.0,0.0
44,12,2,0,12,0,0,0,0,1,0,0,9,0,1,0,0,3,0.0,0.0,0.004,0.0,0.0,0.0
