Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
4,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
5,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
6,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
7,2,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0.0,0.0
8,6,2,0,0,6,1,6,2,1,0,0,0,0,0,0,0,0.01,0.0
9,7,2,0,0,7,1,7,2,1,0,0,0,0,0,0,0,0.01,0.0
10,13,2,0,0,13,1,10,2,1,0,0,3,0,0,0,0,0.01,0.0
11,18,3,0,0,18,2,14,3,2,0,0,4,0,0,0,0,0.02,0.0
12,22,7,0,0,22,2,16,6,2,0,0,6,1,0,0,0,0.02,0.0
13,40,8,0,0,40,3,29,7,3,0,0,11,1,0,0,0,0.04,0.0
14,53,10,0,0,53,3,40,9,3,0,0,13,1,0,0,0,0.05,0.0
15,63,14,1,1,61,2,46,13,1,1,1,15,1,1,0,0,0.06,0.02
16,74,19,1,3,70,3,55,16,2,1,1,15,3,1,0,2,0.07,0.01
17,81,23,1,3,77,4,56,18,2,1,1,21,5,2,0,2,0.08,0.01
18,98,26,1,5,92,6,59,19,4,1,2,33,7,2,0,3,0.09,0.01
19,112,31,1,7,104,8,62,24,4,1,3,42,7,4,0,4,0.1,0.01
20,138,38,1,14,123,9,74,29,5,1,7,49,9,4,0,7,0.12,0.01
21,166,41,1,17,148,10,89,32,5,1,9,59,9,5,0,8,0.15,0.01
22,203,48,1,25,177,10,98,34,6,1,13,79,14,4,0,12,0.18,0.0
23,237,59,1,33,203,9,121,42,5,1,18,82,17,4,0,15,0.2,0.0
24,261,69,1,46,214,14,136,46,9,1,24,78,23,5,0,22,0.21,0.0
25,312,83,1,55,256,14,154,57,11,1,31,102,26,3,0,24,0.26,0.0
26,375,96,1,63,311,18,187,66,11,1,36,124,30,7,0,27,0.31,0.0
27,453,116,1,81,371,17,223,77,9,1,48,148,39,8,0,33,0.37,0.0
28,527,144,2,94,431,21,241,92,12,2,59,190,52,9,0,35,0.43,0.0
29,585,168,2,118,465,26,262,110,18,2,72,203,58,8,0,46,0.47,0.0
30,657,195,2,143,512,35,300,129,21,2,90,212,66,14,0,53,0.51,0.0
31,722,218,2,158,562,40,328,142,23,2,101,234,76,17,0,57,0.56,0.0
32,779,250,3,195,581,46,330,161,27,2,126,251,89,19,1,69,0.58,0.0
33,826,293,3,225,598,48,335,183,25,2,145,263,110,23,1,80,0.6,0.0
34,861,322,3,267,591,50,334,199,27,2,168,257,123,23,1,99,0.59,0.0
35,896,356,3,300,593,61,334,223,34,2,185,259,133,27,1,115,0.59,0.0
36,928,394,3,351,574,61,337,246,36,2,211,237,148,25,1,140,0.57,0.0
37,946,421,3,409,534,62,313,264,34,2,246,221,157,28,1,163,0.53,0.0
38,959,454,3,455,501,63,295,285,36,2,274,206,169,27,1,181,0.5,0.0
