Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
6,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
7,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
8,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0
9,6,1,0,1,5,0,5,1,0,0,1,0,0,0,0,0,0.0,0.0
10,8,2,0,1,7,0,7,2,0,0,1,0,0,0,0,0,0.0,0.0
11,9,2,0,1,8,0,8,2,0,0,1,0,0,0,0,0,0.0,0.0
12,10,3,0,1,9,0,9,3,0,0,1,0,0,0,0,0,0.0,0.0
13,12,3,0,2,10,0,10,3,0,0,2,0,0,0,0,0,0.01,0.0
14,13,3,0,3,10,1,8,3,1,0,3,2,0,0,0,0,0.01,0.0
15,16,4,0,3,13,1,12,4,1,0,3,1,0,0,0,0,0.01,0.0
16,24,4,0,4,20,2,17,4,2,0,4,3,0,0,0,0,0.01,0.0
17,33,5,0,5,28,2,25,5,2,0,5,3,0,0,0,0,0.01,0.0
18,43,5,0,5,38,3,32,5,3,0,5,6,0,0,0,0,0.02,0.0
19,60,8,0,5,55,4,46,8,4,0,5,9,0,0,0,0,0.03,0.0
20,87,9,0,9,78,3,61,9,3,0,7,17,0,0,0,2,0.04,0.0
21,109,14,0,10,99,4,79,13,4,0,8,20,1,0,0,2,0.05,0.0
22,113,18,0,13,100,6,76,15,6,0,11,24,3,0,0,2,0.05,0.0
23,117,24,0,14,103,10,74,21,9,0,12,29,3,1,0,2,0.05,0.0
24,128,34,0,16,112,12,80,28,10,0,13,32,6,2,0,3,0.06,0.0
25,137,38,1,21,115,12,80,31,9,1,17,35,7,3,0,4,0.06,0.01
26,144,50,1,24,119,17,84,40,13,1,18,35,10,4,0,6,0.06,0.01
27,164,59,2,37,125,15,87,46,10,2,27,38,13,5,0,10,0.06,0.01
28,181,65,3,44,134,13,96,50,10,3,30,38,15,3,0,14,0.07,0.02
29,197,72,3,53,141,16,103,55,12,3,36,38,17,4,0,17,0.07,0.02
30,211,83,3,64,144,15,107,60,11,3,42,37,23,4,0,22,0.07,0.01
31,231,90,3,72,156,13,116,66,10,3,48,40,24,3,0,24,0.08,0.01
32,246,93,3,88,155,14,109,69,10,3,62,46,24,4,0,26,0.08,0.01
33,255,101,4,103,148,16,101,73,12,4,71,47,28,4,0,32,0.07,0.02
34,274,109,4,116,154,17,105,78,11,4,79,49,31,6,0,37,0.08,0.01
35,283,120,5,127,151,15,100,83,9,5,86,51,37,6,0,41,0.08,0.02
36,350,129,6,138,206,14,132,90,7,6,94,74,39,7,0,44,0.1,0.02
37,418,148,7,151,260,14,174,102,7,6,101,86,46,7,1,50,0.13,0.02
38,496,160,7,166,323,19,224,113,14,6,112,99,47,5,1,54,0.16,0.01
39,587,185,7,174,406,19,278,133,14,6,119,128,52,5,1,55,0.2,0.01
40,688,202,7,188,493,28,333,144,17,6,127,160,58,11,1,61,0.25,0.01
41,793,229,7,205,581,36,379,159,21,6,140,202,70,15,1,65,0.29,0.01
42,911,268,7,215,689,50,431,184,31,6,148,258,84,19,1,67,0.34,0.01
43,1059,318,7,246,806,61,479,217,39,6,167,327,101,22,1,79,0.4,0.01
44,1213,364,8,270,935,67,533,243,46,7,179,402,121,21,1,91,0.47,0.01
45,1340,433,8,303,1029,77,580,286,54,7,199,449,147,23,1,104,0.51,0.01
46,1455,490,8,345,1102,98,624,320,65,7,229,478,170,33,1,116,0.55,0.01
47,1566,558,8,403,1155,115,646,355,78,7,266,509,203,37,1,137,0.58,0.01
48,1662,628,9,462,1191,127,656,395,80,8,306,535,233,47,1,156,0.6,0.01
49,1751,706,9,538,1204,139,654,432,82,8,351,550,274,57,1,187,0.6,0.01
50,1811,784,9,630,1172,136,615,476,80,8,403,557,308,56,1,227,0.59,0.0
51,1868,849,9,741,1118,133,578,510,73,8,467,540,339,60,1,274,0.56,0.0
52,1900,913,9,824,1067,135,531,543,74,8,520,536,370,61,1,304,0.53,0.0
53,1924,963,12,938,974,128,466,569,63,10,580,508,394,65,2,358,0.49,0.01
54,1937,1006,14,1066,857,122,395,587,57,11,654,462,419,65,3,412,0.43,0.01
55,1950,1057,15,1180,755,113,344,604,52,12,711,411,453,61,3,469,0.38,0.01
56,1957,1095,15,1307,635,96,289,614,42,12,764,346,481,54,3,543,0.32,0.01
57,1964,1127,15,1417,532,87,229,625,39,12,827,303,502,48,3,590,0.27,0.01
58,1971,1152,16,1504,451,73,196,640,34,12,863,255,512,39,4,641,0.23,0.01
59,1973,1167,17,1590,366,61,154,646,27,13,908,212,521,34,4,682,0.18,0.01
60,1975,1183,18,1670,287,51,116,653,24,14,946,171,530,27,4,724,0.14,0.01
61,1979,1194,21,1734,224,41,83,657,15,15,979,141,537,26,6,755,0.11,0.01
62,1982,1202,24,1788,170,29,59,660,10,15,1004,111,542,19,9,784,0.09,0.01
63,1982,1205,26,1825,131,14,44,662,5,15,1020,87,543,9,11,805,0.07,0.01
64,1983,1211,26,1857,100,13,32,665,4,15,1034,68,546,9,11,823,0.05,0.01
65,1983,1215,27,1886,70,9,21,666,4,15,1046,49,549,5,12,840,0.04,0.01
66,1983,1217,27,1907,49,7,12,667,4,15,1055,37,550,3,12,852,0.02,0.01
67,1984,1222,29,1918,37,4,6,668,1,17,1058,31,554,3,12,860,0.02,0.01
68,1984,1223,29,1925,30,4,3,668,1,17,1061,27,555,3,12,864,0.01,0.01
69,1984,1224,29,1934,21,3,1,668,1,17,1063,20,556,2,12,871,0.01,0.01
70,1984,1224,30,1937,17,2,0,668,0,18,1063,17,556,2,12,874,0.01,0.02
71,1984,1226,30,1941,13,1,1,668,0,18,1063,12,558,1,12,878,0.01,0.02
72,1984,1226,30,1942,12,1,1,668,0,18,1063,11,558,1,12,879,0.01,0.02
