Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
4,3,1,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0.0,0.0
5,4,2,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0.0,0.0
6,8,2,0,0,8,0,8,2,0,0,0,0,0,0,0,0,0.0,0.0
7,11,3,0,1,10,1,9,3,1,0,1,1,0,0,0,0,0.01,0.0
8,20,4,0,1,19,2,18,4,2,0,1,1,0,0,0,0,0.01,0.0
9,25,6,0,1,24,3,23,6,3,0,1,1,0,0,0,0,0.01,0.0
10,28,9,0,1,27,4,24,9,4,0,1,3,0,0,0,0,0.01,0.0
11,46,10,0,2,44,4,40,10,4,0,2,4,0,0,0,0,0.02,0.0
12,49,13,0,4,45,4,42,13,4,0,3,3,0,0,0,1,0.02,0.0
13,53,14,1,5,47,5,43,14,5,1,4,4,0,0,0,1,0.02,0.02
14,60,18,1,8,51,5,47,18,5,1,7,4,0,0,0,1,0.03,0.02
15,67,22,1,9,57,7,50,22,7,1,8,7,0,0,0,1,0.03,0.01
16,79,26,1,10,68,9,58,26,9,1,9,10,0,0,0,1,0.03,0.01
17,92,28,1,11,80,9,67,27,9,1,10,13,1,0,0,1,0.04,0.01
18,96,31,1,18,77,8,67,30,8,1,14,10,1,0,0,4,0.04,0.01
19,102,34,2,25,75,6,66,33,6,2,19,9,1,0,0,6,0.04,0.02
20,111,36,2,30,79,5,69,35,5,2,24,10,1,0,0,6,0.04,0.02
21,117,38,2,35,80,7,72,37,7,2,27,8,1,0,0,8,0.04,0.02
22,123,47,3,39,81,5,74,46,5,3,30,7,1,0,0,9,0.04,0.02
23,133,51,4,51,78,5,68,49,4,4,42,10,2,1,0,9,0.04,0.03
24,140,55,4,56,80,8,72,52,7,4,46,8,3,1,0,10,0.04,0.03
25,153,60,4,58,91,8,79,56,7,4,48,12,4,1,0,10,0.05,0.03
26,158,65,4,60,94,10,83,61,9,4,49,11,4,1,0,11,0.05,0.03
27,170,67,4,68,98,11,86,63,10,4,56,12,4,1,0,12,0.05,0.02
28,181,73,5,76,100,9,87,68,8,5,63,13,5,1,0,13,0.05,0.03
29,194,78,6,82,106,10,89,73,9,6,68,17,5,1,0,14,0.05,0.03
30,207,86,6,90,111,12,94,80,11,6,74,17,6,1,0,16,0.06,0.03
31,222,93,6,98,118,15,99,85,14,6,81,19,8,1,0,17,0.06,0.03
32,235,99,7,104,124,17,102,91,16,7,86,22,8,1,0,18,0.06,0.03
33,251,107,7,115,129,21,106,97,19,7,95,23,10,2,0,20,0.06,0.03
34,264,113,8,121,135,22,109,101,20,8,101,26,12,2,0,20,0.07,0.03
35,280,124,9,130,141,20,113,112,18,9,109,28,12,2,0,21,0.07,0.03
36,295,135,11,139,145,17,116,120,16,11,116,29,15,1,0,23,0.07,0.04
37,306,142,11,150,145,18,113,126,17,11,126,32,16,1,0,24,0.07,0.04
38,316,151,13,159,144,14,112,133,13,13,132,32,18,1,0,27,0.07,0.04
39,332,157,14,173,145,11,115,137,10,14,142,30,20,1,0,31,0.07,0.04
40,349,166,14,191,144,8,112,144,8,14,158,32,22,0,0,33,0.07,0.04
41,364,173,14,200,150,11,113,150,10,14,166,37,23,1,0,34,0.07,0.04
42,370,182,14,210,146,13,110,156,12,14,173,36,26,1,0,37,0.07,0.04
43,382,192,14,229,139,16,101,166,14,14,188,38,26,2,0,41,0.07,0.04
44,393,202,16,239,138,15,96,171,12,16,197,42,31,3,0,42,0.07,0.04
45,415,208,16,250,149,19,99,174,13,16,204,50,34,6,0,46,0.07,0.04
46,430,217,16,266,148,16,92,179,11,16,216,56,38,5,0,50,0.07,0.04
47,447,222,18,279,150,14,91,184,9,18,227,59,38,5,0,52,0.07,0.04
48,460,235,18,292,150,12,91,194,7,18,235,59,41,5,0,57,0.07,0.04
49,478,241,18,299,161,11,94,196,6,18,240,67,45,5,0,59,0.08,0.04
50,496,250,19,311,166,9,96,202,5,19,247,70,48,4,0,64,0.08,0.04
51,517,260,20,325,172,10,104,207,7,19,253,68,53,3,1,72,0.09,0.04
52,539,269,20,335,184,14,110,212,9,19,259,74,57,5,1,76,0.09,0.04
53,552,279,20,350,182,16,111,217,11,19,269,71,62,5,1,81,0.09,0.04
54,576,288,20,368,188,20,115,225,12,19,282,73,63,8,1,86,0.09,0.03
55,599,300,20,382,197,24,117,231,16,19,291,80,69,8,1,91,0.1,0.03
56,623,312,20,400,203,21,125,239,14,19,298,78,73,7,1,102,0.1,0.03
57,638,323,20,409,209,28,127,245,18,19,303,82,78,10,1,106,0.1,0.03
58,654,336,21,428,205,27,120,255,16,20,316,85,81,11,1,112,0.1,0.03
59,677,351,22,441,214,22,120,267,12,21,324,94,84,10,1,117,0.11,0.03
60,697,360,23,453,221,21,124,272,11,22,329,97,88,10,1,124,0.11,0.03
61,714,373,23,471,220,23,112,279,13,22,345,108,94,10,1,126,0.11,0.03
62,726,380,24,488,214,22,108,284,12,23,353,106,96,10,1,135,0.11,0.03
63,734,391,24,523,187,22,97,289,14,23,368,90,102,8,1,155,0.09,0.03
64,742,403,24,544,174,22,88,294,15,23,381,86,109,7,1,163,0.09,0.03
65,755,413,24,566,165,19,80,299,11,23,397,85,114,8,1,169,0.08,0.03
66,765,421,24,582,159,22,74,303,11,23,408,85,118,11,1,174,0.08,0.03
67,777,431,24,600,153,19,75,308,9,23,414,78,123,10,1,186,0.08,0.03
68,837,433,24,618,195,15,82,309,5,23,424,113,124,10,1,194,0.1,0.03
69,892,442,24,635,233,14,97,313,5,23,432,136,129,9,1,203,0.12,0.03
70,964,456,24,652,288,14,121,317,6,23,438,167,139,8,1,214,0.14,0.02
71,1027,471,24,666,337,16,134,321,6,23,445,203,150,10,1,221,0.17,0.02
72,1072,493,25,679,368,21,146,330,7,23,451,222,163,14,2,228,0.18,0.02
73,1127,515,25,690,412,31,172,336,8,23,454,240,179,23,2,236,0.21,0.02
74,1205,546,25,702,478,39,191,345,12,23,460,287,201,27,2,242,0.24,0.02
