Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
4,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
5,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
6,5,1,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0.01,0.0
7,7,1,0,0,7,0,7,1,0,0,0,0,0,0,0,0,0.01,0.0
8,9,1,0,0,9,0,7,1,0,0,0,2,0,0,0,0,0.01,0.0
9,9,3,0,0,9,0,7,2,0,0,0,2,1,0,0,0,0.01,0.0
10,13,4,0,1,12,0,10,3,0,0,1,2,1,0,0,0,0.01,0.0
11,17,4,0,1,16,0,13,3,0,0,1,3,1,0,0,0,0.02,0.0
12,21,5,0,1,20,0,16,4,0,0,1,4,1,0,0,0,0.02,0.0
13,26,7,0,1,25,1,20,6,0,0,1,5,1,1,0,0,0.03,0.0
14,33,8,0,2,31,3,22,6,2,0,2,9,2,1,0,0,0.03,0.0
15,50,9,0,2,48,3,33,7,2,0,2,15,2,1,0,0,0.05,0.0
16,64,12,0,3,61,3,46,10,2,0,2,15,2,1,0,1,0.06,0.0
17,82,14,0,5,77,6,51,11,5,0,4,26,3,1,0,1,0.08,0.0
18,115,21,0,6,109,7,70,16,6,0,4,39,5,1,0,2,0.11,0.0
19,169,31,0,12,157,8,97,23,6,0,8,60,8,2,0,4,0.16,0.0
20,214,39,0,12,202,12,120,28,10,0,8,82,11,2,0,4,0.2,0.0
21,277,50,0,15,262,14,158,36,12,0,10,104,14,2,0,5,0.26,0.0
22,341,69,0,21,320,17,173,45,15,0,14,147,24,2,0,7,0.32,0.0
23,402,85,0,32,370,17,198,56,12,0,23,172,29,5,0,9,0.37,0.0
24,473,108,0,44,429,21,222,71,12,0,28,207,37,9,0,16,0.43,0.0
25,553,133,1,60,492,25,254,85,12,1,38,238,48,13,0,22,0.49,0.0
26,645,154,1,85,559,31,286,96,18,1,48,273,58,13,0,37,0.56,0.0
27,714,189,2,106,606,36,302,110,22,1,57,304,79,14,1,49,0.61,0.0
28,780,229,2,133,645,48,318,139,27,1,72,327,90,21,1,61,0.65,0.0
29,845,275,2,158,685,54,327,160,27,1,87,358,115,27,1,71,0.69,0.0
30,890,311,2,204,684,59,342,175,26,1,109,342,136,33,1,95,0.68,0.0
31,923,353,2,258,663,67,330,189,32,1,139,333,164,35,1,119,0.66,0.0
32,953,391,3,307,643,71,305,210,31,2,173,338,181,40,1,134,0.64,0.0
33,971,421,3,371,597,73,279,225,31,2,202,318,196,42,1,169,0.6,0.0
34,982,454,4,431,547,75,249,239,31,2,233,298,215,44,2,198,0.55,0.0
35,989,487,4,511,474,66,200,255,27,2,276,274,232,39,2,235,0.47,0.0
36,993,506,4,571,418,61,174,262,26,2,302,244,244,35,2,269,0.42,0.0
37,996,525,4,632,360,48,143,267,17,2,330,217,258,31,2,302,0.36,0.0
38,996,538,4,693,299,38,114,273,11,2,356,185,265,27,2,337,0.3,0.0
