Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
4,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
5,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
6,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
7,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
8,3,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0.001,0.0
9,5,0,0,1,4,0,2,0,0,0,1,2,0,0,0,0,0.00133,0.0
10,5,0,0,1,4,0,2,0,0,0,1,2,0,0,0,0,0.00133,0.0
11,6,1,0,1,5,0,3,1,0,0,1,2,0,0,0,0,0.00167,0.0
12,6,2,0,1,5,0,3,2,0,0,1,2,0,0,0,0,0.00167,0.0
13,9,2,0,1,8,0,5,2,0,0,1,3,0,0,0,0,0.00267,0.0
14,11,2,0,1,10,0,6,2,0,0,1,4,0,0,0,0,0.00333,0.0
15,15,3,0,1,14,0,10,3,0,0,1,4,0,0,0,0,0.00467,0.0
16,17,5,0,2,15,1,11,3,1,0,1,4,2,0,0,1,0.005,0.0
17,22,7,0,2,20,1,14,5,1,0,1,6,2,0,0,1,0.00667,0.0
18,26,7,0,2,24,1,15,5,1,0,1,9,2,0,0,1,0.008,0.0
19,32,7,0,6,26,3,16,5,2,0,4,10,2,1,0,2,0.00867,0.0
20,42,8,0,6,36,3,22,6,2,0,4,14,2,1,0,2,0.012,0.0
21,56,10,0,7,49,2,29,8,1,0,5,20,2,1,0,2,0.01633,0.0
22,66,11,0,7,59,2,33,9,1,0,5,26,2,1,0,2,0.01967,0.0
23,79,14,1,9,69,2,38,11,1,0,7,31,3,1,1,2,0.023,0.01266
24,89,20,2,10,77,3,41,15,2,1,8,36,5,1,1,2,0.02567,0.02247
25,101,27,2,14,85,6,51,17,3,1,10,34,10,3,1,4,0.02833,0.0198
26,117,34,2,15,100,6,64,22,3,1,11,36,12,3,1,4,0.03333,0.01709
27,133,41,2,18,113,8,72,28,3,1,12,41,13,5,1,6,0.03767,0.01504
28,159,48,2,23,134,9,78,31,4,1,16,56,17,5,1,7,0.04467,0.01258
29,194,54,2,28,164,9,91,34,4,1,19,73,20,5,1,9,0.05467,0.01031
30,219,59,2,39,178,9,99,38,5,1,25,79,21,4,1,14,0.05933,0.00913
31,241,65,3,52,186,14,103,43,8,1,33,83,22,6,2,19,0.062,0.01245
32,277,78,3,57,217,16,120,51,9,1,36,97,27,7,2,21,0.07233,0.01083
33,322,90,3,70,249,16,139,56,8,1,43,110,34,8,2,27,0.083,0.00932
34,375,104,3,87,285,20,155,63,10,1,55,130,41,10,2,32,0.095,0.008
35,434,117,3,98,333,25,182,70,10,1,61,151,47,15,2,37,0.111,0.00691
36,492,137,3,109,380,30,205,78,17,1,65,175,59,13,2,44,0.12667,0.0061
37,554,157,4,125,425,35,233,92,21,2,72,192,65,14,2,53,0.14167,0.00722
38,622,180,4,146,472,42,257,107,25,2,81,215,73,17,2,65,0.15733,0.00643
39,687,222,5,170,512,47,280,132,28,2,95,232,90,19,3,75,0.17067,0.00728
40,775,257,5,210,560,43,309,148,23,2,113,251,109,20,3,97,0.18667,0.00645
41,855,284,5,234,616,49,351,161,30,2,126,265,123,19,3,108,0.20533,0.00585
42,969,322,5,268,696,56,387,178,36,2,146,309,144,20,3,122,0.232,0.00516
43,1073,369,5,308,760,65,422,210,45,2,167,338,159,20,3,141,0.25333,0.00466
44,1180,415,5,355,820,70,466,241,47,2,192,354,174,23,3,163,0.27333,0.00424
45,1272,458,6,406,860,72,482,262,50,3,230,378,196,22,3,176,0.28667,0.00472
46,1409,508,6,459,944,75,526,297,49,3,258,418,211,26,3,201,0.31467,0.00426
