Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
4,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
5,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.001,0.0
6,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0.00133,0.0
7,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0.00167,0.0
8,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0.00167,0.0
9,7,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0.00233,0.0
10,7,1,0,0,7,1,7,1,1,0,0,0,0,0,0,0,0.00233,0.0
11,12,2,0,0,12,2,11,2,2,0,0,1,0,0,0,0,0.004,0.0
12,16,4,0,0,16,4,15,4,3,0,0,1,0,1,0,0,0.00533,0.0
13,23,6,0,1,22,4,20,6,3,0,1,2,0,1,0,0,0.00733,0.0
14,28,8,1,1,26,3,23,8,2,1,1,3,0,1,0,0,0.00867,0.03571
15,34,9,1,2,31,3,26,9,2,1,2,5,0,1,0,0,0.01033,0.02941
16,45,10,1,3,41,2,33,10,1,1,3,8,0,1,0,0,0.01367,0.02222
17,54,14,1,4,49,2,37,14,1,1,4,12,0,1,0,0,0.01633,0.01852
18,69,15,1,5,63,2,46,15,2,1,4,17,0,0,0,1,0.021,0.01449
19,84,16,2,5,77,1,58,16,1,2,4,19,0,0,0,1,0.02567,0.02381
20,107,20,2,7,98,2,72,19,1,2,6,26,1,1,0,1,0.03267,0.01869
21,134,26,2,8,124,3,86,23,2,2,7,38,3,1,0,1,0.04133,0.01493
22,162,35,2,15,145,7,101,32,3,2,13,44,3,4,0,2,0.04833,0.01235
23,197,51,2,18,177,8,119,41,3,2,15,58,10,5,0,3,0.059,0.01015
24,247,58,2,22,223,9,140,46,4,2,19,83,12,5,0,3,0.07433,0.0081
25,313,71,2,27,284,15,169,54,7,2,21,115,17,8,0,6,0.09467,0.00639
26,387,83,2,32,353,16,198,59,8,2,23,155,24,8,0,9,0.11767,0.00517
27,493,112,2,42,449,21,252,73,11,2,29,197,39,10,0,13,0.14967,0.00406
28,592,133,2,61,529,27,295,86,12,2,38,234,47,15,0,23,0.17633,0.00338
29,706,165,2,76,628,39,341,105,21,2,49,287,60,18,0,27,0.20933,0.00283
30,845,216,4,99,742,47,407,137,25,3,62,335,79,22,1,37,0.24733,0.00473
31,1001,260,5,129,867,56,468,159,28,4,83,399,101,28,1,46,0.289,0.005
32,1157,312,6,156,995,79,528,193,38,5,107,467,119,41,1,49,0.33167,0.00519
33,1361,380,6,196,1159,91,607,227,42,5,130,552,153,49,1,66,0.38633,0.00441
34,1564,456,7,246,1311,99,680,265,46,5,156,631,191,53,2,90,0.437,0.00448
35,1751,535,9,306,1436,120,745,296,63,6,190,691,239,57,3,116,0.47867,0.00514
36,1936,625,9,368,1559,137,788,347,68,6,223,771,278,69,3,145,0.51967,0.00465
37,2112,735,10,452,1650,149,807,400,69,6,274,843,335,80,4,178,0.55,0.00473
38,2280,835,11,554,1715,161,843,445,78,7,319,872,390,83,4,235,0.57167,0.00482
39,2405,941,12,666,1727,161,845,497,83,7,381,882,444,78,5,285,0.57567,0.00499
40,2529,1038,14,792,1723,168,842,552,91,7,446,881,486,77,7,346,0.57433,0.00554
41,2618,1137,16,915,1687,180,822,602,94,8,503,865,535,86,8,412,0.56233,0.00611
42,2697,1253,18,1067,1612,177,781,653,90,9,579,831,600,87,9,488,0.53733,0.00667
43,2762,1338,20,1240,1502,187,733,690,101,9,663,769,648,86,11,577,0.50067,0.00724
44,2806,1421,21,1402,1383,182,669,734,99,9,743,714,687,83,12,659,0.461,0.00748
45,2834,1486,24,1546,1264,178,611,766,102,11,818,653,720,76,13,728,0.42133,0.00847
46,2862,1550,24,1718,1120,168,546,795,103,11,898,574,755,65,13,820,0.37333,0.00839
47,2883,1605,25,1890,968,140,482,825,88,11,985,486,780,52,14,905,0.32267,0.00867
48,2903,1634,25,2041,837,118,419,838,78,11,1055,418,796,40,14,986,0.279,0.00861
49,2916,1670,25,2191,700,93,346,858,54,11,1130,354,812,39,14,1061,0.23333,0.00857
50,2926,1699,26,2311,589,83,290,871,47,12,1190,299,828,36,14,1121,0.19633,0.00889
51,2932,1726,26,2401,505,80,257,885,44,12,1227,248,841,36,14,1174,0.16833,0.00887
52,2939,1747,27,2510,402,57,198,895,28,13,1288,204,852,29,14,1222,0.134,0.00919
53,2943,1761,27,2592,324,50,159,904,24,13,1330,165,857,26,14,1262,0.108,0.00917
