Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
4,6,1,0,0,6,0,6,1,0,0,0,0,0,0,0,0,0.002,0.0
5,10,1,0,0,10,0,7,1,0,0,0,3,0,0,0,0,0.00333,0.0
6,11,1,0,0,11,0,7,1,0,0,0,4,0,0,0,0,0.00367,0.0
7,14,1,0,0,14,0,9,1,0,0,0,5,0,0,0,0,0.00467,0.0
8,22,2,0,1,21,0,14,2,0,0,1,7,0,0,0,0,0.007,0.0
9,35,3,0,1,34,0,24,3,0,0,1,10,0,0,0,0,0.01133,0.0
10,47,3,0,1,46,0,35,3,0,0,1,11,0,0,0,0,0.01533,0.0
11,60,5,0,2,58,1,43,5,0,0,2,15,0,1,0,0,0.01933,0.0
12,79,9,0,3,76,1,57,7,0,0,3,19,2,1,0,0,0.02533,0.0
13,105,14,0,4,101,3,68,10,0,0,4,33,4,3,0,0,0.03367,0.0
14,117,22,0,6,111,6,72,13,1,0,4,39,9,5,0,2,0.037,0.0
15,139,30,0,9,130,7,87,18,1,0,7,43,12,6,0,2,0.04333,0.0
16,154,37,0,10,144,10,91,23,4,0,8,53,14,6,0,2,0.048,0.0
17,174,51,0,15,159,19,102,30,9,0,10,57,21,10,0,5,0.053,0.0
18,196,60,1,21,174,21,110,37,9,1,12,64,23,12,0,9,0.058,0.0051
19,222,69,2,30,190,20,122,45,9,1,18,68,24,11,1,12,0.06333,0.00901
20,246,81,2,37,207,20,131,51,9,1,23,76,30,11,1,14,0.069,0.00813
21,281,85,2,50,229,18,140,53,8,1,30,89,32,10,1,20,0.07633,0.00712
22,320,97,3,62,255,23,146,59,14,1,41,109,38,9,2,21,0.085,0.00937
23,365,112,3,80,282,26,156,68,16,1,56,126,44,10,2,24,0.094,0.00822
24,403,125,3,97,303,23,169,74,14,1,64,134,51,9,2,33,0.101,0.00744
25,446,140,3,120,323,20,181,82,12,1,79,142,58,8,2,41,0.10767,0.00673
26,484,164,3,144,337,25,187,93,13,1,95,150,71,12,2,49,0.11233,0.0062
27,528,193,4,160,364,26,197,113,11,1,107,167,80,15,3,53,0.12133,0.00758
28,581,212,4,185,392,33,213,121,16,1,117,179,91,17,3,68,0.13067,0.00688
29,630,230,4,204,422,37,224,130,18,1,130,198,100,19,3,74,0.14067,0.00635
30,691,258,4,226,461,42,242,150,22,1,139,219,108,20,3,87,0.15367,0.00579
31,743,276,5,251,487,48,253,162,24,2,153,234,114,24,3,98,0.16233,0.00673
32,814,306,6,279,529,51,257,177,25,2,172,272,129,26,4,107,0.17633,0.00737
33,875,340,6,316,553,51,274,195,22,2,192,279,145,29,4,124,0.18433,0.00686
34,942,368,6,362,574,54,278,207,24,2,216,296,161,30,4,146,0.19133,0.00637
35,1007,409,7,397,603,64,286,223,30,2,235,317,186,34,5,162,0.201,0.00695
36,1081,448,7,445,629,68,299,243,31,2,258,330,205,37,5,187,0.20967,0.00648
37,1154,484,8,485,661,68,303,265,33,2,280,358,219,35,6,205,0.22033,0.00693
38,1227,515,8,526,693,73,310,284,36,2,300,383,231,37,6,226,0.231,0.00652
39,1310,559,8,589,713,77,309,301,36,2,331,404,258,41,6,258,0.23767,0.00611
40,1386,607,8,662,716,72,310,320,34,2,365,406,287,38,6,297,0.23867,0.00577
41,1460,650,9,719,732,69,313,334,32,2,395,419,316,37,7,324,0.244,0.00616
42,1526,685,9,772,745,76,314,355,32,2,426,431,330,44,7,346,0.24833,0.0059
43,1582,739,9,821,752,79,312,373,32,2,449,440,366,47,7,372,0.25067,0.00569
44,1650,782,10,885,755,77,304,390,33,2,478,451,392,44,8,407,0.25167,0.00606
45,1717,830,11,951,755,70,307,406,27,3,507,448,424,43,8,444,0.25167,0.00641
46,1779,870,14,1012,753,60,308,426,22,4,535,445,444,38,10,477,0.251,0.00787
47,1835,904,14,1075,746,53,311,439,19,4,556,435,465,34,10,519,0.24867,0.00763
48,1890,937,16,1149,725,49,309,456,19,5,584,416,481,30,11,565,0.24167,0.00847
49,1939,976,16,1222,701,47,302,474,16,5,614,399,502,31,11,608,0.23367,0.00825
50,1991,1028,16,1300,675,53,288,496,16,5,653,387,532,37,11,647,0.225,0.00804
51,2038,1067,16,1354,668,58,286,512,20,5,668,382,555,38,11,686,0.22267,0.00785
52,2078,1090,17,1431,630,59,275,521,23,5,698,355,569,36,12,733,0.21,0.00818
53,2122,1130,17,1505,600,61,265,534,20,5,733,335,596,41,12,772,0.2,0.00801
54,2148,1160,19,1570,559,63,237,542,25,6,768,322,618,38,13,802,0.18633,0.00885
