Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
2,5,1,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0.00167,0.0
3,7,1,0,0,7,0,7,1,0,0,0,0,0,0,0,0,0.00233,0.0
4,8,1,0,0,8,0,8,1,0,0,0,0,0,0,0,0,0.00267,0.0
5,10,1,0,0,10,0,10,1,0,0,0,0,0,0,0,0,0.00333,0.0
6,10,2,0,0,10,1,10,2,1,0,0,0,0,0,0,0,0.00333,0.0
7,11,5,0,0,11,2,11,5,2,0,0,0,0,0,0,0,0.00367,0.0
8,13,7,0,0,13,3,13,7,3,0,0,0,0,0,0,0,0.00433,0.0
9,19,8,0,0,19,3,19,8,3,0,0,0,0,0,0,0,0.00633,0.0
10,24,8,0,0,24,3,24,8,3,0,0,0,0,0,0,0,0.008,0.0
11,34,8,0,1,33,4,33,8,4,0,1,0,0,0,0,0,0.011,0.0
12,48,12,0,1,47,5,46,12,5,0,1,1,0,0,0,0,0.01567,0.0
13,65,17,0,4,61,7,59,17,6,0,4,2,0,1,0,0,0.02033,0.0
14,88,21,0,6,82,7,80,20,6,0,6,2,1,1,0,0,0.02733,0.0
15,120,30,0,7,113,8,108,29,7,0,7,5,1,1,0,0,0.03767,0.0
16,170,38,0,8,162,8,150,37,7,0,8,12,1,1,0,0,0.054,0.0
17,242,49,0,10,232,12,211,48,11,0,10,21,1,1,0,0,0.07733,0.0
18,316,58,0,15,301,12,263,57,11,0,15,38,1,1,0,0,0.10033,0.0
19,419,76,0,22,397,15,344,72,11,0,22,53,4,4,0,0,0.13233,0.0
20,521,108,0,32,489,22,412,99,16,0,32,77,9,6,0,0,0.163,0.0
21,571,138,0,41,530,34,446,124,28,0,38,84,14,6,0,3,0.17667,0.0
22,637,169,0,54,583,36,490,149,30,0,47,93,20,6,0,7,0.19433,0.0
23,695,205,0,75,620,43,521,176,34,0,65,99,29,9,0,10,0.20667,0.0
