Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.001,0.0
4,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.001,0.0
5,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.001,0.0
6,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0.00133,0.0
7,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0.00133,0.0
8,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0.00133,0.0
9,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0.00133,0.0
10,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0.002,0.0
11,6,0,0,1,5,0,5,0,0,0,1,0,0,0,0,0,0.00167,0.0
12,6,0,0,2,4,0,4,0,0,0,2,0,0,0,0,0,0.00133,0.0
13,6,0,0,2,4,0,4,0,0,0,2,0,0,0,0,0,0.00133,0.0
14,7,0,0,3,4,0,2,0,0,0,2,2,0,0,0,1,0.00133,0.0
15,8,1,0,3,5,0,2,0,0,0,2,3,1,0,0,1,0.00167,0.0
16,8,1,0,4,4,0,1,0,0,0,3,3,1,0,0,1,0.00133,0.0
17,9,1,0,4,5,0,1,0,0,0,3,4,1,0,0,1,0.00167,0.0
18,12,1,0,4,8,0,2,0,0,0,3,6,1,0,0,1,0.00267,0.0
19,14,3,0,5,9,0,3,1,0,0,3,6,2,0,0,2,0.003,0.0
20,17,4,0,5,12,1,4,2,0,0,3,8,2,1,0,2,0.004,0.0
21,20,4,0,5,15,1,5,2,0,0,3,10,2,1,0,2,0.005,0.0
22,24,5,0,5,19,2,5,2,0,0,3,14,3,2,0,2,0.00633,0.0
23,36,5,0,5,31,2,8,2,0,0,3,23,3,2,0,2,0.01033,0.0
24,42,7,0,5,37,2,9,2,0,0,3,28,5,2,0,2,0.01233,0.0
25,51,9,0,6,45,2,12,2,0,0,4,33,7,2,0,2,0.015,0.0
26,67,11,1,7,59,5,16,2,1,0,4,43,9,4,1,3,0.01967,0.01493
27,74,18,1,9,64,4,16,5,1,0,5,48,13,3,1,4,0.02133,0.01351
28,84,18,1,12,71,7,15,5,2,0,7,56,13,5,1,5,0.02367,0.0119
29,93,26,1,13,79,10,15,6,2,0,7,64,20,8,1,6,0.02633,0.01075
30,103,31,1,17,85,9,18,6,1,0,8,67,25,8,1,9,0.02833,0.00971
31,116,33,1,20,95,9,22,8,1,0,10,73,25,8,1,10,0.03167,0.00862
32,124,37,2,25,97,9,26,8,0,0,11,71,29,9,2,14,0.03233,0.01613
33,135,44,2,30,103,11,23,9,0,0,13,80,35,11,2,17,0.03433,0.01481
34,152,50,2,36,114,13,26,10,0,0,14,88,40,13,2,22,0.038,0.01316
35,176,56,2,44,130,10,26,13,0,0,17,104,43,10,2,27,0.04333,0.01136
36,187,61,2,50,135,9,28,13,1,0,18,107,48,8,2,32,0.045,0.0107
37,202,68,2,61,139,9,27,16,2,0,21,112,52,7,2,40,0.04633,0.0099
38,215,80,2,73,140,9,28,19,2,0,25,112,61,7,2,48,0.04667,0.0093
39,231,90,2,81,148,9,34,22,2,0,25,114,68,7,2,56,0.04933,0.00866
40,260,101,3,90,167,8,35,24,1,1,28,132,77,7,2,62,0.05567,0.01154
41,283,110,3,98,182,12,38,24,1,1,29,144,86,11,2,69,0.06067,0.0106
42,313,123,3,116,194,16,45,29,1,1,33,149,94,15,2,83,0.06467,0.00958
43,336,135,3,129,204,15,49,31,2,1,35,155,104,13,2,94,0.068,0.00893
44,363,148,3,142,218,19,52,35,3,1,39,166,113,16,2,103,0.07267,0.00826
45,392,165,4,153,235,20,59,37,3,1,41,176,128,17,3,112,0.07833,0.0102
46,423,178,5,168,250,17,63,41,3,1,42,187,137,14,4,126,0.08333,0.01182
47,452,191,5,185,262,18,73,43,4,1,45,189,148,14,4,140,0.08733,0.01106
