Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
2,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.001,0.0
3,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0.00167,0.0
4,9,0,0,0,9,1,9,0,1,0,0,0,0,0,0,0,0.003,0.0
5,11,2,0,0,11,1,11,2,1,0,0,0,0,0,0,0,0.00367,0.0
6,16,3,0,0,16,1,16,3,1,0,0,0,0,0,0,0,0.00533,0.0
7,20,3,0,0,20,1,20,3,1,0,0,0,0,0,0,0,0.00667,0.0
8,34,3,0,0,34,1,34,3,1,0,0,0,0,0,0,0,0.01133,0.0
9,48,3,0,1,47,1,47,3,1,0,1,0,0,0,0,0,0.01567,0.0
10,61,4,0,1,60,3,58,4,3,0,1,2,0,0,0,0,0.02,0.0
11,80,9,0,2,78,3,74,9,3,0,1,4,0,0,0,1,0.026,0.0
12,113,10,0,3,110,5,101,10,5,0,2,9,0,0,0,1,0.03667,0.0
13,152,20,0,4,148,6,132,20,6,0,3,16,0,0,0,1,0.04933,0.0
14,211,27,0,7,204,10,180,26,10,0,6,24,1,0,0,1,0.068,0.0
15,265,38,0,12,253,12,219,36,12,0,11,34,2,0,0,1,0.08433,0.0
16,347,53,0,18,329,17,284,49,16,0,14,45,4,1,0,4,0.10967,0.0
17,455,72,0,30,425,18,364,66,17,0,26,61,6,1,0,4,0.14167,0.0
18,564,91,0,44,520,24,441,85,22,0,39,79,6,2,0,5,0.17333,0.0
19,687,121,0,54,633,28,522,111,25,0,47,111,10,3,0,7,0.211,0.0
20,814,155,0,77,737,45,594,143,40,0,67,143,12,5,0,10,0.24567,0.0
21,865,210,0,99,766,57,612,187,49,0,86,154,23,8,0,13,0.25533,0.0
22,904,263,0,130,774,70,615,229,58,0,109,159,34,12,0,21,0.258,0.0
23,969,322,0,170,799,79,630,276,68,0,141,169,46,11,0,29,0.26633,0.0
24,1041,370,0,218,823,93,648,318,78,0,182,175,52,15,0,36,0.27433,0.0
25,1108,429,0,271,837,101,654,362,88,0,221,183,67,13,0,50,0.279,0.0
26,1170,484,0,336,834,97,644,406,85,0,277,190,78,12,0,59,0.278,0.0
27,1237,536,1,420,816,98,618,445,87,1,344,198,91,11,0,76,0.272,0.00081
28,1309,584,1,495,813,95,605,480,85,1,408,208,104,10,0,87,0.271,0.00076
29,1352,621,2,584,766,92,561,507,82,2,480,205,114,10,0,104,0.25533,0.00148
30,1407,659,2,669,736,86,532,537,73,2,541,204,122,13,0,128,0.24533,0.00142
31,1458,698,3,755,700,83,493,564,67,2,613,207,134,16,1,142,0.23333,0.00206
32,1500,736,4,833,663,69,454,590,51,3,672,209,146,18,1,161,0.221,0.00267
33,1542,766,5,918,619,78,412,611,56,3,735,207,155,22,2,183,0.20633,0.00324
34,1577,807,6,974,597,76,382,637,52,4,774,215,170,24,2,200,0.199,0.0038
35,1621,834,8,1038,575,72,356,652,46,4,818,219,182,26,4,220,0.19167,0.00494
36,1650,861,9,1094,547,76,325,666,46,4,858,222,195,30,5,236,0.18233,0.00545
37,1674,888,9,1152,513,74,295,681,43,4,892,218,207,31,5,260,0.171,0.00538
38,1708,910,11,1219,478,75,256,696,42,5,940,222,214,33,6,279,0.15933,0.00644
39,1746,933,12,1282,452,66,229,711,39,5,980,223,222,27,7,302,0.15067,0.00687
40,1766,957,13,1344,409,60,202,723,35,6,1013,207,234,25,7,331,0.13633,0.00736
41,1801,983,16,1387,398,56,188,737,31,8,1038,210,246,25,8,349,0.13267,0.00888
42,1832,1005,17,1432,383,54,171,746,28,8,1065,212,259,26,9,367,0.12767,0.00928
43,1857,1021,18,1465,374,51,160,751,24,9,1085,214,270,27,9,380,0.12467,0.00969
44,1885,1032,19,1508,358,49,148,755,21,9,1108,210,277,28,10,400,0.11933,0.01008
45,1908,1048,20,1544,344,44,129,760,15,10,1131,215,288,29,10,413,0.11467,0.01048
46,1928,1067,21,1574,333,46,118,765,16,10,1147,215,302,30,11,427,0.111,0.01089
47,1952,1088,23,1611,318,42,107,775,19,10,1163,211,313,23,13,448,0.106,0.01178
48,1978,1107,23,1645,310,38,99,785,18,10,1174,211,322,20,13,471,0.10333,0.01163
49,2034,1120,24,1685,325,31,104,791,15,10,1189,221,329,16,14,496,0.10833,0.0118
50,2084,1139,25,1712,347,28,108,796,13,10,1199,239,343,15,15,513,0.11567,0.012
51,2137,1158,25,1746,366,26,102,803,11,10,1216,264,355,15,15,530,0.122,0.0117
52,2182,1183,26,1774,382,27,112,811,10,10,1228,270,372,17,16,546,0.12733,0.01192
53,2226,1205,27,1796,403,22,115,814,8,10,1236,288,391,14,17,560,0.13433,0.01213
