Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
8,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
9,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
10,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.001,0.0
11,6,0,0,1,5,0,5,0,0,0,1,0,0,0,0,0,0.00167,0.0
12,9,0,0,1,8,0,8,0,0,0,1,0,0,0,0,0,0.00267,0.0
13,12,0,0,1,11,0,11,0,0,0,1,0,0,0,0,0,0.00367,0.0
14,15,1,0,1,14,0,14,1,0,0,1,0,0,0,0,0,0.00467,0.0
15,20,1,0,1,19,0,19,1,0,0,1,0,0,0,0,0,0.00633,0.0
16,28,3,0,1,27,2,27,3,2,0,1,0,0,0,0,0,0.009,0.0
17,35,5,0,2,33,2,31,5,2,0,2,2,0,0,0,0,0.011,0.0
18,45,6,0,2,43,2,38,6,2,0,2,5,0,0,0,0,0.01433,0.0
19,55,10,0,3,52,5,46,9,4,0,3,6,1,1,0,0,0.01733,0.0
20,74,16,0,5,69,7,59,14,6,0,5,10,2,1,0,0,0.023,0.0
21,100,21,0,8,92,7,81,19,6,0,8,11,2,1,0,0,0.03067,0.0
22,136,26,0,11,125,6,108,23,5,0,11,17,3,1,0,0,0.04167,0.0
23,172,28,0,17,155,5,130,23,4,0,16,25,5,1,0,1,0.05167,0.0
24,227,36,0,18,209,9,173,29,8,0,17,36,7,1,0,1,0.06967,0.0
25,294,47,0,23,271,14,225,39,13,0,21,46,8,1,0,2,0.09033,0.0
26,371,64,1,28,342,16,282,55,14,0,24,60,9,2,1,4,0.114,0.0027
27,472,88,1,40,431,25,342,73,22,0,35,89,15,3,1,5,0.14367,0.00212
28,508,117,1,51,456,36,362,96,31,0,44,94,21,5,1,7,0.152,0.00197
29,554,147,1,63,490,42,382,121,35,0,55,108,26,7,1,8,0.16333,0.00181
30,606,174,2,82,522,50,403,143,42,1,70,119,31,8,1,12,0.174,0.0033
31,656,210,3,107,546,52,422,173,45,2,88,124,37,7,1,19,0.182,0.00457
32,702,239,3,138,561,60,429,199,46,2,112,132,40,14,1,26,0.187,0.00427
33,769,280,3,171,595,58,442,230,43,2,141,153,50,15,1,30,0.19833,0.0039
34,831,307,3,208,620,56,455,249,42,2,166,165,58,14,1,42,0.20667,0.00361
35,892,328,3,256,633,63,458,266,46,2,200,175,62,17,1,56,0.211,0.00336
36,952,364,3,300,649,66,458,293,48,2,235,191,71,18,1,65,0.21633,0.00315
37,1018,403,4,353,661,72,466,319,50,2,275,195,84,22,2,78,0.22033,0.00393
38,1074,437,5,406,663,80,451,338,54,3,321,212,99,26,2,85,0.221,0.00466
39,1139,480,5,472,662,79,438,373,54,3,370,224,107,25,2,102,0.22067,0.00439
40,1219,515,5,530,684,79,439,399,53,3,412,245,116,26,2,118,0.228,0.0041
41,1282,546,5,580,697,78,433,420,50,3,446,264,126,28,2,134,0.23233,0.0039
42,1344,578,5,637,702,78,434,438,48,3,482,268,140,30,2,155,0.234,0.00372
43,1393,615,5,695,693,78,408,464,47,3,526,285,151,31,2,169,0.231,0.00359
44,1438,655,6,744,688,77,398,486,44,4,556,290,169,33,2,188,0.22933,0.00417
45,1488,695,7,801,680,80,379,508,45,5,596,301,187,35,2,205,0.22667,0.0047
46,1540,731,8,855,677,78,366,530,40,6,632,311,201,38,2,223,0.22567,0.00519
47,1589,768,9,921,659,77,346,546,42,7,673,313,222,35,2,248,0.21967,0.00566
48,1638,798,9,983,646,77,331,559,39,7,712,315,239,38,2,271,0.21533,0.00549
49,1692,831,9,1044,639,69,310,567,33,7,749,329,264,36,2,295,0.213,0.00532
50,1736,857,9,1100,627,75,298,579,37,7,781,329,278,38,2,319,0.209,0.00518
51,1783,893,9,1170,604,68,274,598,35,7,823,330,295,33,2,347,0.20133,0.00505
52,1820,918,10,1242,568,63,246,610,33,8,865,322,308,30,2,377,0.18933,0.00549
53,1855,948,11,1298,546,54,218,622,28,9,897,328,326,26,2,401,0.182,0.00593
54,1883,980,13,1355,515,54,200,633,20,11,924,315,347,34,2,431,0.17167,0.0069
