Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
5,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
6,5,0,0,0,5,0,1,0,0,0,0,4,0,0,0,0,0.01,0.0
7,8,0,0,0,8,0,1,0,0,0,0,7,0,0,0,0,0.02,0.0
8,10,1,0,0,10,0,1,0,0,0,0,9,1,0,0,0,0.02,0.0
9,14,1,0,0,14,0,3,0,0,0,0,11,1,0,0,0,0.03,0.0
10,20,2,0,1,19,0,4,1,0,0,0,15,1,0,0,1,0.04,0.0
11,25,2,0,1,24,0,10,1,0,0,0,14,1,0,0,1,0.05,0.0
12,30,3,0,1,29,0,14,1,0,0,0,15,2,0,0,1,0.06,0.0
13,43,6,0,2,41,2,28,3,1,0,1,13,3,1,0,1,0.08,0.0
14,61,9,0,4,57,4,39,5,3,0,3,18,4,1,0,1,0.11,0.0
15,80,13,0,6,74,6,46,9,5,0,5,28,4,1,0,1,0.15,0.0
16,110,19,1,10,99,9,69,14,7,1,9,30,5,2,0,1,0.2,0.01
17,144,30,1,11,132,12,96,22,9,1,10,36,8,3,0,1,0.26,0.01
18,178,40,1,13,164,14,125,30,11,1,11,39,10,3,0,2,0.33,0.01
19,223,56,1,16,206,22,148,43,18,1,13,58,13,4,0,3,0.41,0.0
20,264,69,1,24,239,24,183,55,19,1,19,56,14,5,0,5,0.48,0.0
21,302,86,1,32,269,28,203,69,21,1,27,66,17,7,0,5,0.54,0.0
22,348,103,1,41,306,30,233,81,23,1,33,73,22,7,0,8,0.61,0.0
23,392,115,1,48,343,33,267,92,25,1,39,76,23,8,0,9,0.69,0.0
24,422,132,1,57,364,36,279,107,27,1,48,85,25,9,0,9,0.73,0.0
25,448,150,1,82,365,35,293,123,27,1,67,72,27,8,0,15,0.73,0.0
26,462,170,1,107,354,39,280,139,31,1,85,74,31,8,0,22,0.71,0.0
27,476,187,1,130,345,43,291,155,36,1,103,54,32,7,0,27,0.69,0.0
28,485,213,1,162,322,46,279,176,37,1,131,43,37,9,0,31,0.64,0.0
29,489,231,3,189,297,44,253,192,35,2,155,44,39,9,1,34,0.59,0.01
30,491,240,5,212,274,41,235,197,33,4,174,39,43,8,1,38,0.55,0.01
31,495,251,5,252,238,36,201,206,30,4,207,37,45,6,1,45,0.48,0.01
32,496,258,5,287,204,33,172,212,25,4,240,32,46,8,1,47,0.41,0.01
33,498,266,5,317,176,30,147,216,23,4,265,29,50,7,1,52,0.35,0.01
34,498,279,5,343,150,24,133,228,19,4,284,17,51,5,1,59,0.3,0.01
35,498,283,5,379,114,18,100,231,15,4,315,14,52,3,1,64,0.23,0.01
36,498,288,5,402,91,15,80,236,12,4,336,11,52,3,1,66,0.18,0.01
37,498,293,5,424,69,12,62,240,10,4,355,7,53,2,1,69,0.14,0.01
38,498,296,6,441,51,10,40,242,8,5,371,11,54,2,1,70,0.1,0.01
39,498,299,7,457,34,6,28,245,4,6,385,6,54,2,1,72,0.07,0.01
40,498,300,8,469,21,4,17,246,2,7,396,4,54,2,1,73,0.04,0.02
41,499,300,10,475,14,1,11,246,1,8,401,3,54,0,2,74,0.03,0.02
42,499,300,10,478,11,1,8,246,1,8,403,3,54,0,2,75,0.02,0.02
43,499,301,10,482,7,0,6,247,0,8,406,1,54,0,2,76,0.01,0.02
44,499,301,10,484,5,0,5,247,0,8,407,0,54,0,2,77,0.01,0.02
45,499,301,10,486,3,0,3,247,0,8,409,0,54,0,2,77,0.01,0.02
46,499,301,10,487,2,0,2,247,0,8,410,0,54,0,2,77,0.0,0.02
47,499,301,10,488,1,0,1,247,0,8,411,0,54,0,2,77,0.0,0.02
48,499,301,10,488,1,0,1,247,0,8,411,0,54,0,2,77,0.0,0.02
49,499,301,10,488,1,0,1,247,0,8,411,0,54,0,2,77,0.0,0.02
50,499,301,10,488,1,0,1,247,0,8,411,0,54,0,2,77,0.0,0.02
51,499,301,10,488,1,0,1,247,0,8,411,0,54,0,2,77,0.0,0.02
52,499,301,10,488,1,0,1,247,0,8,411,0,54,0,2,77,0.0,0.02
53,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
54,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
55,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
56,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
57,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
58,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
59,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
60,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
61,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
62,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
63,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
64,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
65,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
66,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
67,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
68,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
69,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
70,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
71,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
72,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
73,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
74,499,301,10,489,0,0,0,247,0,8,412,0,54,0,2,77,0.0,0.02
