Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0,0
2,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.002,0.0,0.0,0,0
3,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0.0,0.00233,0.0,0.0,0,0
4,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0.0,0.00233,0.0,0.0,0,0
5,7,1,0,0,7,1,0,6,1,0,0,0,1,0,0,0,0,0.00033,0.00233,0.0,0.0,0,0
6,8,1,0,0,8,1,0,7,1,0,0,0,1,0,0,0,0,0.00033,0.00267,0.0,0.0,0,0
7,8,1,0,0,8,1,0,7,1,0,0,0,1,0,0,0,0,0.00033,0.00267,0.0,0.0,0,0
8,12,1,0,1,11,1,0,11,1,0,0,0,0,0,0,0,1,0.00033,0.00367,0.00033,0.0,0,0
9,13,1,0,1,12,1,0,9,1,0,0,0,3,0,0,0,1,0.00033,0.004,0.00033,0.0,0,0
10,14,1,0,3,11,1,0,8,1,0,0,1,3,0,0,0,2,0.00033,0.00367,0.001,0.0,0,0
11,17,3,0,4,13,2,1,8,1,1,0,2,5,2,0,0,2,0.00067,0.00433,0.00133,0.0,0,0
12,17,4,0,4,13,3,3,8,2,3,0,2,5,2,0,0,2,0.001,0.00433,0.00133,0.0,0,0
13,20,6,0,6,14,4,3,10,4,3,0,3,4,2,0,0,3,0.00133,0.00467,0.002,0.0,0,0
14,22,6,0,6,16,4,3,10,4,3,0,3,6,2,0,0,3,0.00133,0.00533,0.002,0.0,0,0
15,23,7,0,7,16,4,3,10,5,3,0,3,6,2,0,0,4,0.00133,0.00533,0.00233,0.0,0,0
16,24,7,1,7,16,3,2,11,5,2,1,3,5,2,0,0,4,0.001,0.00534,0.00233,0.04167,0,0
17,27,8,1,10,16,3,3,11,6,3,1,5,5,2,0,0,5,0.001,0.00534,0.00333,0.03704,0,0
18,30,9,1,10,19,4,3,14,7,3,1,5,5,2,0,0,5,0.00133,0.00634,0.00333,0.03333,0,0
19,31,10,1,12,18,3,1,13,8,1,1,7,5,2,0,0,5,0.001,0.006,0.004,0.03226,0,0
20,33,10,1,13,19,2,0,13,8,0,1,8,6,2,0,0,5,0.00067,0.00634,0.00433,0.0303,0,0
21,34,10,1,14,19,2,1,13,8,1,1,9,6,2,0,0,5,0.00067,0.00634,0.00467,0.02941,0,0
22,35,11,1,15,19,2,1,13,9,1,1,10,6,2,0,0,5,0.00067,0.00634,0.005,0.02857,0,0
23,36,11,1,18,17,2,2,12,9,1,1,12,5,2,1,0,6,0.00067,0.00567,0.006,0.02778,0,0
24,37,12,1,19,17,2,2,12,9,1,1,13,5,3,1,0,6,0.00067,0.00567,0.00634,0.02703,0,0
25,41,13,1,20,20,3,3,15,9,2,1,13,5,4,1,0,7,0.001,0.00667,0.00667,0.02439,0,0
26,43,14,1,22,20,3,5,14,10,4,1,14,6,4,1,0,8,0.001,0.00667,0.00734,0.02326,0,0
27,47,16,1,23,23,5,6,17,12,5,1,15,6,4,1,0,8,0.00167,0.00767,0.00767,0.02128,0,0
28,52,18,1,25,26,6,6,20,14,5,1,16,6,4,1,0,9,0.002,0.00867,0.00834,0.01923,0,0
29,55,20,1,28,26,6,4,19,15,3,1,19,7,5,1,0,9,0.002,0.00867,0.00934,0.01818,0,0
30,61,21,1,29,31,7,4,24,15,3,1,20,7,6,1,0,9,0.00233,0.01034,0.00967,0.01639,0,0
31,63,21,1,30,32,6,4,25,15,2,1,21,7,6,2,0,9,0.002,0.01067,0.01,0.01587,0,0
32,64,22,2,32,30,4,2,23,15,0,2,23,7,7,2,0,9,0.00133,0.01001,0.01067,0.03125,0,0
33,69,22,2,34,33,2,1,28,15,0,2,23,5,7,1,0,11,0.00067,0.01101,0.01134,0.02899,0,0
34,79,23,3,38,38,2,1,36,16,1,2,25,2,7,0,1,13,0.00067,0.01268,0.01268,0.03797,0,0
35,86,26,3,38,45,5,1,42,19,1,2,25,3,7,0,1,13,0.00167,0.01502,0.01268,0.03488,0,0
36,93,27,3,40,50,6,2,46,20,2,2,27,4,7,0,1,13,0.002,0.01668,0.01335,0.03226,0,0
37,97,29,3,44,50,7,3,46,22,3,2,31,4,7,0,1,13,0.00234,0.01668,0.01468,0.03093,0,0
38,102,33,3,44,55,11,3,49,26,3,2,31,6,7,0,1,13,0.00367,0.01835,0.01468,0.02941,0,0
39,111,33,3,51,57,9,4,51,26,4,2,37,6,7,0,1,14,0.003,0.01902,0.01702,0.02703,0,0
40,116,36,3,56,57,9,4,50,29,4,2,42,7,7,0,1,14,0.003,0.01902,0.01869,0.02586,0,0
41,133,38,3,59,71,11,5,62,31,5,2,44,9,7,0,1,15,0.00367,0.02369,0.01969,0.02256,0,0
42,135,39,3,62,70,12,6,61,32,6,2,47,9,7,0,1,15,0.004,0.02336,0.02069,0.02222,0,0
43,144,40,3,67,74,9,4,64,33,4,2,51,10,7,0,1,16,0.003,0.02469,0.02236,0.02083,0,0
44,155,41,3,73,79,9,5,68,34,5,2,56,11,7,0,1,17,0.003,0.02636,0.02436,0.01935,0,0
45,166,42,3,79,84,8,4,72,35,4,2,60,12,7,0,1,19,0.00267,0.02803,0.02636,0.01807,0,0
46,177,44,4,81,92,9,5,77,36,5,3,62,15,8,0,1,19,0.003,0.03071,0.02704,0.0226,0,0
47,193,48,4,88,101,12,8,79,40,8,3,66,22,8,0,1,22,0.00401,0.03371,0.02937,0.02073,0,0
48,199,53,4,94,101,16,13,77,45,12,3,71,24,8,1,1,23,0.00534,0.03371,0.03138,0.0201,0,0
49,210,58,4,103,103,17,12,82,49,11,3,77,21,9,1,1,26,0.00567,0.03438,0.03438,0.01905,0,0
50,220,60,4,110,106,16,11,83,51,10,3,83,23,9,1,1,27,0.00534,0.03538,0.03672,0.01818,0,0
51,237,62,4,120,113,15,11,86,53,9,3,93,27,9,2,1,27,0.00501,0.03772,0.04005,0.01688,0,0
52,247,66,4,131,112,16,11,88,56,10,3,100,24,10,1,1,31,0.00534,0.03738,0.04372,0.01619,0,0
53,259,68,5,137,117,14,10,83,58,9,4,106,34,10,1,1,31,0.00467,0.03907,0.04574,0.01931,0,0
54,278,70,5,147,126,12,9,89,59,8,4,110,37,11,1,1,37,0.00401,0.04207,0.04908,0.01799,0,0
55,297,74,5,156,136,16,11,101,61,9,4,115,35,13,2,1,41,0.00534,0.04541,0.05209,0.01684,0,0
56,317,76,5,164,148,17,11,103,62,9,4,122,45,14,2,1,42,0.00568,0.04942,0.05476,0.01577,0,0
57,334,78,5,179,150,13,7,96,64,5,4,132,54,14,2,1,47,0.00434,0.05008,0.05977,0.01497,0,0
58,352,78,5,192,155,10,10,94,64,4,4,142,61,14,6,1,50,0.00334,0.05175,0.06411,0.0142,0,0
59,362,84,5,201,156,15,12,90,66,6,4,146,66,18,6,1,55,0.00501,0.05209,0.06711,0.01381,0,0
60,386,91,5,209,172,19,13,98,71,7,4,152,74,20,6,1,57,0.00634,0.05743,0.06978,0.01295,0,0
61,404,99,5,223,176,20,13,100,76,7,4,160,76,23,6,1,63,0.00668,0.05876,0.07446,0.01238,0,0
62,427,105,5,240,182,22,13,103,77,7,4,170,79,28,6,1,70,0.00735,0.06077,0.08013,0.01171,0,0
63,441,109,6,252,183,23,12,98,78,6,5,178,85,31,6,1,74,0.00768,0.06112,0.08417,0.01361,0,0
64,459,112,6,268,185,21,11,97,81,5,5,186,88,31,6,1,82,0.00701,0.06179,0.08951,0.01307,0,0
65,477,118,7,288,182,19,9,97,83,4,6,197,85,35,5,1,91,0.00635,0.06081,0.09622,0.01468,0,0
66,500,122,7,304,189,20,13,99,86,6,6,205,90,36,7,1,99,0.00668,0.06315,0.10157,0.014,0,0
67,520,126,7,318,195,21,15,102,88,7,6,214,93,38,8,1,104,0.00702,0.06515,0.10625,0.01346,0,0
68,545,130,7,335,203,21,16,110,90,7,6,221,93,40,9,1,114,0.00702,0.06782,0.11193,0.01284,0,0
69,566,136,9,352,205,20,14,112,94,7,7,227,93,42,7,2,125,0.00669,0.06854,0.11769,0.0159,0,0
70,592,140,9,364,219,20,17,123,96,8,7,231,96,44,9,2,133,0.00669,0.07322,0.1217,0.0152,0,0
71,610,146,9,386,215,23,23,123,99,12,7,242,92,47,11,2,144,0.00769,0.07188,0.12905,0.01475,0,0
72,629,156,9,409,211,23,18,120,104,8,7,254,91,52,10,2,155,0.00769,0.07054,0.13674,0.01431,0,0
73,653,162,9,426,218,23,20,121,106,10,7,263,97,56,10,2,163,0.00769,0.07289,0.14243,0.01378,0,0
74,674,168,9,440,225,25,21,124,109,10,7,273,101,59,11,2,167,0.00836,0.07523,0.14711,0.01335,0,0
75,700,179,9,464,227,32,20,125,116,10,7,285,102,63,10,2,179,0.0107,0.07589,0.15513,0.01286,0,0
76,728,183,9,488,231,30,21,120,118,11,7,299,111,65,10,2,189,0.01003,0.07723,0.16316,0.01236,0,0
77,753,189,9,499,245,32,20,127,122,10,7,306,118,67,10,2,193,0.0107,0.08191,0.16683,0.01195,0,0
78,771,193,9,523,239,25,18,123,124,9,7,320,116,69,9,2,203,0.00836,0.07991,0.17486,0.01167,0,0
79,792,203,9,542,241,26,15,128,130,7,7,329,113,73,8,2,213,0.00869,0.08058,0.18121,0.01136,0,0
80,812,208,9,572,231,22,14,119,130,8,7,345,112,78,6,2,227,0.00736,0.07723,0.19124,0.01108,0,0
81,841,215,9,597,235,24,12,114,134,7,7,360,121,81,5,2,237,0.00802,0.07857,0.1996,0.0107,0,0
82,862,217,9,616,237,21,13,116,136,8,7,368,121,81,5,2,248,0.00702,0.07924,0.20595,0.01044,0,0
83,886,225,9,631,246,25,14,115,141,8,7,380,131,84,6,2,251,0.00836,0.08225,0.21097,0.01016,0,0
84,908,234,9,648,251,32,23,118,147,13,7,388,133,87,10,2,260,0.0107,0.08392,0.21665,0.00991,0,0
85,940,246,10,668,262,39,24,124,154,14,8,399,138,92,10,2,269,0.01304,0.08763,0.22341,0.01064,0,0
86,960,253,10,690,260,40,24,122,156,12,8,410,138,97,12,2,280,0.01338,0.08696,0.23077,0.01042,0,0
87,988,259,10,714,264,41,23,124,159,11,8,421,140,100,12,2,293,0.01371,0.08829,0.2388,0.01012,0,0
88,1018,264,12,735,271,35,20,127,161,9,10,431,144,103,11,2,304,0.01171,0.0907,0.24598,0.01179,0,0
89,1042,271,12,760,270,32,17,127,163,7,10,446,143,108,10,2,314,0.01071,0.09036,0.25435,0.01152,0,0
90,1062,277,12,791,259,27,15,127,164,5,10,460,132,113,10,2,331,0.00904,0.08668,0.26473,0.0113,0,0
91,1086,284,12,816,258,27,17,132,168,7,10,470,126,116,10,2,346,0.00904,0.08635,0.27309,0.01105,0,0
92,1111,293,12,838,261,33,22,138,174,10,10,483,123,119,12,2,355,0.01104,0.08735,0.28046,0.0108,0,0
93,1137,302,12,859,266,36,21,146,178,11,10,492,120,124,10,2,367,0.01205,0.08902,0.28748,0.01055,0,0
94,1157,306,12,870,275,37,27,146,180,13,10,496,129,126,14,2,374,0.01238,0.09203,0.29116,0.01037,0,0
95,1182,315,13,900,269,38,25,137,183,15,10,511,132,132,10,3,389,0.01272,0.09006,0.30131,0.011,0,0
96,1202,321,13,924,265,34,20,140,188,12,10,522,125,133,8,3,402,0.01138,0.08872,0.30934,0.01082,0,0
97,1224,327,13,951,260,34,22,144,194,13,10,531,116,133,9,3,420,0.01138,0.08704,0.31838,0.01062,0,0
98,1254,336,13,975,266,34,26,148,199,14,10,544,118,137,12,3,431,0.01138,0.08905,0.32641,0.01037,0,0
99,1271,347,13,999,259,37,26,151,206,13,10,559,108,141,13,3,440,0.01239,0.08671,0.33445,0.01023,0,0
100,1293,356,13,1030,250,39,24,147,210,12,10,570,103,146,12,3,460,0.01306,0.0837,0.34483,0.01005,0,0
101,1311,362,13,1058,240,35,19,143,214,12,10,585,97,148,7,3,473,0.01172,0.08035,0.3542,0.00992,0,0
102,1324,366,13,1082,229,33,22,139,218,13,10,601,90,148,9,3,481,0.01105,0.07667,0.36224,0.00982,0,0
103,1343,377,13,1109,221,39,19,135,226,12,10,618,86,151,7,3,491,0.01306,0.07399,0.37128,0.00968,0,0
104,1357,380,14,1130,213,32,17,129,229,10,11,629,84,151,7,3,501,0.01072,0.07133,0.37843,0.01032,0,0
105,1373,383,14,1153,206,28,18,125,231,12,11,642,81,152,6,3,511,0.00938,0.06899,0.38614,0.0102,0,0
106,1388,395,15,1168,205,32,15,122,239,8,11,654,83,156,7,4,514,0.01072,0.06868,0.39129,0.01081,0,0
107,1410,401,15,1192,203,33,14,126,241,8,11,668,77,160,6,4,524,0.01106,0.06801,0.39933,0.01064,0,0
108,1421,402,15,1218,188,24,14,113,242,7,11,686,75,160,7,4,532,0.00804,0.06298,0.40804,0.01056,0,0
109,1430,407,15,1242,173,22,12,106,245,7,11,699,67,162,5,4,543,0.00737,0.05796,0.41608,0.01049,0,0
110,1444,413,15,1257,172,22,12,103,249,7,11,709,69,164,5,4,548,0.00737,0.05762,0.42111,0.01039,0,0
111,1467,419,15,1273,179,24,11,103,253,5,11,719,76,166,6,4,554,0.00804,0.05997,0.42647,0.01022,0,0
112,1480,422,15,1284,181,25,11,108,255,5,11,723,73,167,6,4,561,0.00838,0.06064,0.43015,0.01014,0,0
113,1493,425,16,1309,168,21,12,97,255,5,12,741,71,170,7,4,568,0.00704,0.0563,0.43867,0.01072,0,0
114,1504,431,17,1326,161,22,13,91,257,6,13,752,70,174,7,4,574,0.00738,0.05397,0.44452,0.0113,0,0
115,1513,435,17,1340,156,22,13,87,261,6,13,761,69,174,7,4,579,0.00738,0.0523,0.44921,0.01124,0,0
116,1520,436,17,1353,150,20,12,85,262,7,13,767,65,174,5,4,586,0.0067,0.05028,0.45357,0.01118,0,0
117,1528,438,18,1371,139,17,15,76,264,9,13,774,63,174,6,5,597,0.0057,0.04661,0.45976,0.01178,0,0
118,1539,449,18,1386,135,25,15,73,269,8,13,782,62,180,7,5,604,0.00838,0.04527,0.46479,0.0117,0,0
119,1551,452,18,1404,129,24,13,73,270,7,13,791,56,182,6,5,613,0.00805,0.04326,0.47082,0.01161,0,0
120,1560,456,18,1417,125,26,13,71,273,7,13,798,54,183,6,5,619,0.00872,0.04192,0.47518,0.01154,0,0
121,1565,459,19,1436,110,20,10,59,275,3,14,811,51,184,7,5,625,0.00671,0.0369,0.48172,0.01214,0,0
122,1573,461,20,1446,107,18,7,61,276,2,15,815,46,185,5,5,631,0.00604,0.03591,0.48523,0.01271,0,0
123,1580,462,20,1459,101,15,6,55,276,2,15,821,46,186,4,5,638,0.00503,0.03389,0.4896,0.01266,0,0
124,1585,463,20,1468,97,12,7,53,276,3,15,825,44,187,4,5,643,0.00403,0.03255,0.49262,0.01262,0,0
125,1593,468,20,1483,90,11,7,50,280,4,15,833,40,188,3,5,650,0.00369,0.0302,0.49765,0.01255,0,0
126,1599,471,20,1492,87,12,6,48,282,3,15,840,39,189,3,5,652,0.00403,0.02919,0.50067,0.01251,0,0
127,1604,473,20,1497,87,14,9,45,283,5,15,845,42,190,4,5,652,0.0047,0.02919,0.50235,0.01247,0,0
128,1609,478,21,1513,75,12,8,41,287,4,15,852,34,191,4,6,661,0.00403,0.02518,0.50789,0.01305,0,0
129,1616,481,21,1522,73,12,8,37,288,4,15,859,36,193,4,6,663,0.00403,0.0245,0.51091,0.013,0,0
130,1621,482,23,1530,68,9,5,34,288,1,17,863,34,194,4,6,667,0.00302,0.02284,0.51394,0.01419,0,0
131,1625,483,23,1539,63,9,4,30,288,1,17,867,33,195,3,6,672,0.00302,0.02116,0.51696,0.01415,0,0
132,1626,484,23,1547,56,6,4,27,288,1,17,869,29,196,3,6,678,0.00202,0.01881,0.51965,0.01415,0,0
133,1628,484,24,1550,54,5,3,28,288,1,17,869,26,196,2,7,681,0.00168,0.01815,0.52083,0.01474,0,0
134,1632,484,24,1563,45,0,2,21,288,0,17,877,24,196,2,7,686,0.0,0.01512,0.5252,0.01471,0,0
