Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.002,0.15233,0.0,0,0
2,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.00267,0.15233,0.0,0,0
3,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.00267,0.15233,0.0,0,0
4,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0.0,0.00367,0.15233,0.0,0,0
5,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0.0,0.00467,0.15233,0.0,0,0
6,15,0,0,0,15,0,1,15,0,1,0,0,0,0,0,0,0,0.0,0.005,0.15233,0.0,0,0
7,19,2,0,0,19,2,1,19,2,1,0,0,0,0,0,0,0,0.00067,0.00633,0.15233,0.0,0,0
8,22,2,0,0,22,2,3,17,2,3,0,0,5,0,0,0,0,0.00067,0.00733,0.15233,0.0,0,0
9,25,4,0,0,25,4,3,20,4,3,0,0,5,0,0,0,0,0.00133,0.00833,0.15233,0.0,0,0
10,28,4,0,2,26,3,2,22,4,2,0,1,4,0,0,0,1,0.001,0.00867,0.153,0.0,0,0
11,32,4,0,3,29,3,2,23,4,2,0,2,6,0,0,0,1,0.001,0.00967,0.15333,0.0,0,0
12,36,5,0,4,32,3,2,27,5,2,0,2,5,0,0,0,2,0.001,0.01067,0.15367,0.0,0,0
13,40,6,0,6,34,4,2,29,6,2,0,3,5,0,0,0,3,0.00133,0.01133,0.15433,0.0,0,0
14,40,7,0,7,33,5,2,28,7,2,0,4,5,0,0,0,3,0.00167,0.011,0.15467,0.0,0,0
15,44,7,0,10,34,5,3,27,7,3,0,6,7,0,0,0,4,0.00167,0.01133,0.15567,0.0,0,0
16,50,8,0,15,35,4,2,28,8,2,0,11,7,0,0,0,4,0.00133,0.01167,0.15733,0.0,0,0
17,54,9,0,18,36,3,1,28,9,1,0,14,8,0,0,0,4,0.001,0.012,0.15833,0.0,0,0
