Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
4,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
5,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.001,0.0
6,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0.002,0.0
7,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0.00333,0.0
8,12,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0.004,0.0
9,15,1,0,0,15,0,15,1,0,0,0,0,0,0,0,0,0.005,0.0
10,18,2,0,0,18,2,18,2,2,0,0,0,0,0,0,0,0.006,0.0
11,22,5,0,0,22,4,22,5,4,0,0,0,0,0,0,0,0.00733,0.0
12,34,7,0,0,34,4,34,7,4,0,0,0,0,0,0,0,0.01133,0.0
13,46,8,0,2,44,3,44,8,3,0,2,0,0,0,0,0,0.01467,0.0
14,65,10,0,2,63,3,63,10,3,0,2,0,0,0,0,0,0.021,0.0
15,71,17,0,5,66,3,66,17,3,0,5,0,0,0,0,0,0.022,0.0
16,78,21,0,8,70,8,70,21,8,0,8,0,0,0,0,0,0.02333,0.0
17,85,30,0,10,75,8,75,30,8,0,10,0,0,0,0,0,0.025,0.0
18,94,34,0,15,79,13,79,34,13,0,15,0,0,0,0,0,0.02633,0.0
19,108,44,0,18,90,11,89,43,11,0,18,1,1,0,0,0,0.03,0.0
20,116,45,0,23,93,10,92,44,10,0,23,1,1,0,0,0,0.031,0.0
21,126,48,0,29,97,13,95,47,13,0,29,2,1,0,0,0,0.03233,0.0
22,136,55,0,41,95,11,92,54,11,0,41,3,1,0,0,0,0.03167,0.0
23,141,58,0,46,95,14,93,56,14,0,45,2,2,0,0,1,0.03167,0.0
24,153,62,0,56,97,14,95,60,14,0,55,2,2,0,0,1,0.03233,0.0
25,163,71,0,62,101,11,99,69,11,0,61,2,2,0,0,1,0.03367,0.0
26,171,78,0,67,104,11,102,76,11,0,66,2,2,0,0,1,0.03467,0.0
27,180,82,0,77,103,11,101,80,11,0,76,2,2,0,0,1,0.03433,0.0
28,196,86,0,84,112,11,111,84,11,0,82,1,2,0,0,2,0.03733,0.0
29,235,89,0,100,135,12,134,87,12,0,98,1,2,0,0,2,0.045,0.0
30,289,94,0,106,183,14,180,92,14,0,104,3,2,0,0,2,0.061,0.0
31,335,104,0,117,218,15,211,102,15,0,115,7,2,0,0,2,0.07267,0.0
32,392,123,1,122,269,13,257,120,13,1,120,12,3,0,0,2,0.08967,0.00255
33,452,136,2,135,315,16,295,133,14,2,131,20,3,2,0,4,0.105,0.00442
34,547,155,2,155,390,20,358,150,16,2,150,32,5,4,0,5,0.13,0.00366
35,639,183,2,164,473,30,409,173,26,2,159,64,10,4,0,5,0.15767,0.00313
36,758,210,2,175,581,38,494,197,33,2,168,87,13,5,0,7,0.19367,0.00264
37,907,243,2,194,711,55,581,224,50,2,186,130,19,5,0,8,0.237,0.00221
38,1075,305,3,217,855,62,671,281,58,2,206,184,24,4,1,11,0.285,0.00279
39,1245,357,3,247,995,64,760,325,60,2,229,235,32,4,1,18,0.33167,0.00241
40,1414,424,5,284,1125,70,827,375,62,4,261,298,49,8,1,23,0.375,0.00354
41,1597,489,5,331,1261,84,861,419,71,4,300,400,70,13,1,31,0.42033,0.00313
42,1766,562,5,396,1365,99,868,472,80,4,354,497,90,19,1,42,0.455,0.00283
43,1966,647,6,459,1501,117,901,522,91,5,401,600,125,26,1,58,0.50033,0.00305
44,2116,750,7,542,1567,128,876,584,95,6,464,691,166,33,1,78,0.52233,0.00331
45,2283,837,7,636,1640,141,846,633,101,6,533,794,204,40,1,103,0.54667,0.00307
46,2415,938,7,742,1666,152,807,681,101,6,609,859,257,51,1,133,0.55533,0.0029
47,2547,1023,9,847,1691,168,769,720,97,7,679,922,303,71,2,168,0.56367,0.00353
48,2646,1124,9,969,1668,174,710,771,91,7,760,958,353,83,2,209,0.556,0.0034
49,2731,1224,11,1107,1613,189,647,811,96,9,833,966,413,93,2,274,0.53767,0.00403
50,2793,1308,13,1246,1534,199,583,847,94,10,919,951,461,105,3,327,0.51133,0.00465
51,2849,1380,17,1411,1421,182,511,873,81,13,1009,910,507,101,4,402,0.47367,0.00597
52,2885,1441,18,1564,1303,180,468,894,75,14,1075,835,547,105,4,489,0.43433,0.00624
53,2909,1517,20,1732,1157,178,404,920,70,15,1152,753,597,108,5,580,0.38567,0.00688
54,2926,1571,21,1891,1014,169,350,939,66,15,1218,664,632,103,6,673,0.338,0.00718
