Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
4,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
5,3,1,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0.001,0.0
6,5,1,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0.00167,0.0
7,5,1,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0.00167,0.0
8,6,1,0,0,6,1,6,1,1,0,0,0,0,0,0,0,0.002,0.0
9,10,2,0,1,9,2,7,2,1,0,1,2,0,1,0,0,0.003,0.0
10,14,5,0,1,13,2,9,4,1,0,1,4,1,1,0,0,0.00433,0.0
11,21,7,0,1,20,2,14,5,1,0,1,6,2,1,0,0,0.00667,0.0
12,26,7,0,1,25,2,16,5,1,0,1,9,2,1,0,0,0.00833,0.0
13,35,8,0,2,33,3,23,5,3,0,1,10,3,0,0,1,0.011,0.0
14,39,10,0,2,37,3,27,7,3,0,1,10,3,0,0,1,0.01233,0.0
15,51,12,0,2,49,4,36,9,4,0,1,13,3,0,0,1,0.01633,0.0
16,66,17,1,2,63,4,46,13,3,1,1,17,4,1,0,1,0.021,0.01515
17,91,21,1,3,87,6,65,15,5,1,2,22,6,1,0,1,0.029,0.01099
18,125,28,1,7,117,6,83,19,5,1,5,34,9,1,0,2,0.039,0.008
19,161,32,1,7,153,10,108,22,8,1,5,45,10,2,0,2,0.051,0.00621
20,205,37,2,10,193,10,140,25,7,2,7,53,12,3,0,3,0.06433,0.00976
21,265,48,3,15,247,10,172,33,8,2,10,75,15,2,1,5,0.08233,0.01132
22,350,63,3,21,326,16,226,44,12,2,14,100,19,4,1,7,0.10867,0.00857
23,450,85,4,28,418,19,285,57,14,3,20,133,28,5,1,8,0.13933,0.00889
24,578,108,4,41,533,21,356,72,17,3,29,177,36,4,1,12,0.17767,0.00692
25,617,131,4,54,559,37,374,90,30,3,37,185,41,7,1,17,0.18633,0.00648
26,657,175,5,69,583,44,391,119,32,4,48,192,56,12,1,21,0.19433,0.00761
27,710,213,5,84,621,62,416,137,43,4,59,205,76,19,1,25,0.207,0.00704
28,758,257,5,117,636,70,418,165,47,4,85,218,92,23,1,32,0.212,0.0066
29,832,297,5,151,676,74,441,189,52,4,106,235,108,22,1,45,0.22533,0.00601
30,893,344,7,199,687,74,450,224,56,6,137,237,120,18,1,62,0.229,0.00784
31,964,388,7,257,700,74,466,252,55,6,170,234,136,19,1,87,0.23333,0.00726
32,1032,427,7,308,717,74,479,278,55,6,202,238,149,19,1,106,0.239,0.00678
33,1095,463,7,370,718,80,476,303,58,6,241,242,160,22,1,129,0.23933,0.00639
34,1153,499,7,433,713,76,461,323,55,6,286,252,176,21,1,147,0.23767,0.00607
35,1210,528,8,497,705,77,456,344,54,6,326,249,184,23,2,171,0.235,0.00661
36,1254,571,9,564,681,74,435,372,48,7,372,246,199,26,2,192,0.227,0.00718
37,1306,615,10,636,660,72,411,398,43,8,423,249,217,29,2,213,0.22,0.00766
38,1349,649,10,704,635,72,386,422,43,8,464,249,227,29,2,240,0.21167,0.00741
39,1399,685,11,767,621,66,368,441,37,8,504,253,244,29,3,263,0.207,0.00786
40,1448,717,12,825,611,63,356,459,39,9,536,255,258,24,3,289,0.20367,0.00829
41,1493,749,12,876,605,67,342,476,40,9,575,263,273,27,3,301,0.20167,0.00804
42,1534,771,12,931,591,61,320,486,29,9,612,271,285,32,3,319,0.197,0.00782
43,1568,805,13,986,569,55,302,500,26,9,645,267,305,29,4,341,0.18967,0.00829
44,1599,829,13,1045,541,58,272,516,25,9,689,269,313,33,4,356,0.18033,0.00813
45,1641,865,13,1110,518,59,247,535,29,9,726,271,330,30,4,384,0.17267,0.00792
46,1663,895,13,1172,478,57,218,548,26,9,764,260,347,31,4,408,0.15933,0.00782
47,1696,918,14,1226,456,50,200,560,17,10,794,256,358,33,4,432,0.152,0.00825
48,1727,949,15,1287,425,47,173,574,18,10,829,252,375,29,5,458,0.14167,0.00869
49,1754,971,15,1326,413,50,164,586,18,10,846,249,385,32,5,480,0.13767,0.00855
50,1783,995,16,1363,404,52,160,592,21,11,861,244,403,31,5,502,0.13467,0.00897
51,1822,1024,17,1402,403,50,158,601,21,11,875,245,423,29,6,527,0.13433,0.00933
52,1847,1036,20,1442,385,47,151,606,25,11,889,234,430,22,9,553,0.12833,0.01083
