Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00033,0.0
6,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.00067,0.0
7,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.001,0.0
8,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0.00133,0.0
9,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0.00133,0.0
10,4,0,0,1,3,0,3,0,0,0,1,0,0,0,0,0,0.001,0.0
11,4,0,0,1,3,0,3,0,0,0,1,0,0,0,0,0,0.001,0.0
12,5,0,0,1,4,0,4,0,0,0,1,0,0,0,0,0,0.00133,0.0
13,7,0,0,1,6,0,6,0,0,0,1,0,0,0,0,0,0.002,0.0
14,7,0,0,1,6,1,6,0,1,0,1,0,0,0,0,0,0.002,0.0
15,8,1,0,2,6,1,6,1,1,0,2,0,0,0,0,0,0.002,0.0
16,10,1,0,2,8,1,8,1,1,0,2,0,0,0,0,0,0.00267,0.0
17,11,1,0,2,9,2,9,1,2,0,2,0,0,0,0,0,0.003,0.0
18,11,3,0,3,8,2,8,3,2,0,3,0,0,0,0,0,0.00267,0.0
19,11,3,0,3,8,2,8,3,2,0,3,0,0,0,0,0,0.00267,0.0
20,13,4,0,3,10,2,10,4,2,0,3,0,0,0,0,0,0.00333,0.0
21,15,6,0,4,11,2,11,6,2,0,4,0,0,0,0,0,0.00367,0.0
22,17,7,1,5,11,1,11,7,1,1,5,0,0,0,0,0,0.00367,0.05882
23,19,7,1,5,13,1,13,7,1,1,5,0,0,0,0,0,0.00433,0.05263
24,21,7,1,6,14,1,14,7,1,1,6,0,0,0,0,0,0.00467,0.04762
25,23,8,1,7,15,1,13,8,1,1,7,2,0,0,0,0,0.005,0.04348
26,27,8,1,10,16,1,13,8,1,1,10,3,0,0,0,0,0.00533,0.03704
27,33,9,1,10,22,1,18,8,1,1,10,4,1,0,0,0,0.00733,0.0303
28,37,10,1,11,25,1,20,8,1,1,11,5,2,0,0,0,0.00833,0.02703
29,39,10,1,11,27,2,22,8,1,1,11,5,2,1,0,0,0.009,0.02564
30,46,13,1,11,34,2,31,10,1,1,11,3,3,1,0,0,0.01133,0.02174
31,53,15,2,12,39,2,35,12,1,2,12,4,3,1,0,0,0.013,0.03774
32,61,16,2,13,46,3,39,13,1,2,13,7,3,2,0,0,0.01533,0.03279
33,71,19,3,15,53,3,47,15,2,2,15,6,4,1,1,0,0.01767,0.04225
34,81,25,3,17,61,3,50,20,2,2,17,11,5,1,1,0,0.02033,0.03704
35,95,26,3,17,75,4,63,21,3,2,17,12,5,1,1,0,0.025,0.03158
36,112,30,3,18,91,5,74,25,4,2,18,17,5,1,1,0,0.03033,0.02679
37,133,36,3,21,109,10,87,31,8,2,21,22,5,2,1,0,0.03633,0.02256
38,166,44,3,25,138,11,110,37,9,2,25,28,7,2,1,0,0.046,0.01807
39,199,48,4,33,162,9,130,40,8,2,33,32,8,1,2,0,0.054,0.0201
40,242,55,4,41,197,11,151,45,9,2,39,46,10,2,2,2,0.06567,0.01653
41,271,66,4,44,223,14,162,53,12,2,41,61,13,2,2,3,0.07433,0.01476
42,317,75,4,52,261,21,189,61,17,2,46,72,14,4,2,6,0.087,0.01262
43,359,96,4,67,288,27,207,75,21,2,57,81,21,6,2,10,0.096,0.01114
44,411,119,4,81,326,33,226,92,23,2,69,100,27,10,2,12,0.10867,0.00973
45,431,136,5,95,331,36,228,100,23,3,81,103,36,13,2,14,0.11033,0.0116
46,462,152,5,109,348,36,236,111,22,3,94,112,41,14,2,15,0.116,0.01082
47,481,165,5,135,341,35,230,117,23,3,114,111,48,12,2,21,0.11367,0.0104
48,497,197,5,158,334,39,226,141,26,3,128,108,56,13,2,30,0.11133,0.01006
49,510,220,6,187,317,43,209,160,30,4,150,108,60,13,2,37,0.10567,0.01176
50,521,240,7,218,296,39,196,173,26,5,168,100,67,13,2,50,0.09867,0.01344
51,535,256,8,244,283,40,183,183,28,6,186,100,73,12,2,58,0.09433,0.01495
52,546,271,9,272,265,40,176,195,29,6,201,89,76,11,3,71,0.08833,0.01648
53,561,292,9,300,252,38,163,206,26,6,223,89,86,12,3,77,0.084,0.01604
54,574,306,12,330,232,37,152,218,27,7,243,80,88,10,5,87,0.07733,0.02091
55,590,312,13,364,213,30,136,223,23,8,265,77,89,7,5,99,0.071,0.02203
