Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.002,0.0,0.0,0.0,0.0
2,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0.0,0.00233,0.0,0.0,0.0,0.0
3,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0.0,0.003,0.0,0.0,0.0,0.0
4,11,0,0,0,11,0,1,11,0,1,0,0,0,0,0,0,0,0.0,0.00367,0.0,0.0,0.0,0.0
5,13,1,0,0,13,1,1,13,1,1,0,0,0,0,0,0,0,0.00033,0.00433,0.0,0.0,0.0,0.0
6,14,1,0,0,14,1,1,14,1,1,0,0,0,0,0,0,0,0.00033,0.00467,0.0,0.0,0.0,0.0
7,15,1,0,0,15,1,3,15,1,3,0,0,0,0,0,0,0,0.00033,0.005,0.0,0.0,0.0,0.0
8,15,4,0,1,14,3,2,14,4,2,0,1,0,0,0,0,0,0.001,0.00467,0.00033,0.0,0.0,0.0
9,15,4,0,2,13,3,3,13,4,3,0,2,0,0,0,0,0,0.001,0.00433,0.00067,0.0,0.0,0.0
10,15,5,0,2,13,4,3,13,5,3,0,2,0,0,0,0,0,0.00133,0.00433,0.00067,0.0,0.0,0.0
11,20,5,0,4,16,3,2,16,5,2,0,4,0,0,0,0,0,0.001,0.00533,0.00133,0.0,0.0,0.0
12,21,5,0,5,16,3,2,16,5,2,0,5,0,0,0,0,0,0.001,0.00533,0.00167,0.0,0.0,0.0
13,25,5,2,8,15,0,0,15,5,0,2,8,0,0,0,0,0,0.0,0.005,0.00267,0.08,0.0,0.0
14,26,6,2,9,15,1,1,15,6,1,2,9,0,0,0,0,0,0.00033,0.005,0.003,0.07692,0.0,0.0
15,28,7,2,10,16,1,1,16,7,1,2,10,0,0,0,0,0,0.00033,0.00534,0.00334,0.07143,0.0,0.0
16,30,7,2,12,16,1,1,16,7,1,2,12,0,0,0,0,0,0.00033,0.00534,0.004,0.06667,0.0,0.0
17,31,7,2,12,17,1,3,17,7,3,2,12,0,0,0,0,0,0.00033,0.00567,0.004,0.06452,0.0,0.0
18,36,9,2,12,22,3,3,22,9,3,2,12,0,0,0,0,0,0.001,0.00734,0.004,0.05556,0.0,0.0
19,39,9,2,12,25,3,3,25,9,3,2,12,0,0,0,0,0,0.001,0.00834,0.004,0.05128,0.0,0.0
20,42,9,2,14,26,2,2,25,9,2,2,14,1,0,0,0,0,0.00067,0.00867,0.00467,0.04762,0.0,0.0
21,48,9,2,17,29,1,2,28,9,2,2,17,1,0,0,0,0,0.00033,0.00967,0.00567,0.04167,0.0,0.0
22,52,10,2,20,30,1,1,29,10,1,2,20,1,0,0,0,0,0.00033,0.01001,0.00667,0.03846,0.0,0.0
23,52,10,2,20,30,1,2,29,10,2,2,20,1,0,0,0,0,0.00033,0.01001,0.00667,0.03846,0.0,0.0
24,59,12,2,20,37,3,4,32,12,3,2,20,5,0,1,0,0,0.001,0.01234,0.00667,0.0339,0.0,0.0
25,65,14,2,24,39,5,5,31,13,4,2,23,8,1,1,0,1,0.00167,0.01301,0.00801,0.03077,0.0,0.0
26,69,15,2,25,42,6,6,33,14,5,2,24,9,1,1,0,1,0.002,0.01401,0.00834,0.02899,0.0,0.0
27,75,17,2,27,46,7,6,37,16,5,2,26,9,1,1,0,1,0.00233,0.01534,0.00901,0.02667,0.0,0.0
28,81,18,3,29,49,6,4,37,17,4,2,28,12,1,0,1,1,0.002,0.01635,0.00968,0.03704,0.0,0.0
29,88,18,3,35,50,6,4,40,17,4,2,34,10,1,0,1,1,0.002,0.01668,0.01168,0.03409,0.0,0.0
30,96,18,4,38,54,3,1,44,17,1,3,37,10,1,0,1,1,0.001,0.01802,0.01268,0.04167,0.0,0.0
31,99,19,4,42,53,4,1,42,18,1,3,41,11,1,0,1,1,0.00134,0.01769,0.01402,0.0404,0.0,0.0
32,104,20,4,44,56,5,2,45,18,2,3,42,11,2,0,1,2,0.00167,0.01869,0.01469,0.03846,0.0,0.0
33,115,21,4,48,63,4,1,52,19,1,3,46,11,2,0,1,2,0.00134,0.02103,0.01602,0.03478,0.0,0.0
34,124,24,4,55,65,6,1,52,22,1,3,53,13,2,0,1,2,0.002,0.0217,0.01836,0.03226,0.0,0.0
35,142,24,5,56,81,5,1,62,22,1,4,54,19,2,0,1,2,0.00167,0.02705,0.0187,0.03521,0.0,0.0
36,146,26,5,60,81,7,1,64,24,1,4,57,17,2,0,1,3,0.00234,0.02705,0.02003,0.03425,0.0,0.0
37,162,29,5,66,91,8,2,72,27,1,4,61,19,2,1,1,5,0.00267,0.03038,0.02204,0.03086,0.0,0.0
38,170,32,5,74,91,8,4,71,28,3,4,66,20,4,1,1,8,0.00267,0.03038,0.02471,0.02941,0.0,0.0
