Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.002,0.0,0.0,0,0
2,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.002,0.0,0.0,0,0
3,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0.0,0.00233,0.0,0.0,0,0
4,7,0,0,0,7,0,0,5,0,0,0,0,2,0,0,0,0,0.0,0.00233,0.0,0.0,0,0
5,7,0,0,0,7,0,0,5,0,0,0,0,2,0,0,0,0,0.0,0.00233,0.0,0.0,0,0
6,7,0,0,0,7,0,0,5,0,0,0,0,2,0,0,0,0,0.0,0.00233,0.0,0.0,0,0
7,9,0,0,0,9,0,0,6,0,0,0,0,3,0,0,0,0,0.0,0.003,0.0,0.0,0,0
8,10,0,0,0,10,0,0,6,0,0,0,0,4,0,0,0,0,0.0,0.00333,0.0,0.0,0,0
9,10,0,0,1,9,0,0,5,0,0,0,1,4,0,0,0,0,0.0,0.003,0.00033,0.0,0,0
10,11,0,0,1,10,0,0,6,0,0,0,1,4,0,0,0,0,0.0,0.00333,0.00033,0.0,0,0
11,13,0,0,2,11,0,0,6,0,0,0,2,5,0,0,0,0,0.0,0.00367,0.00067,0.0,0,0
12,13,0,0,4,9,0,0,6,0,0,0,2,3,0,0,0,2,0.0,0.003,0.00133,0.0,0,0
13,13,1,0,4,9,1,0,6,1,0,0,2,3,0,0,0,2,0.00033,0.003,0.00133,0.0,0,0
14,14,1,0,5,9,1,0,7,1,0,0,3,2,0,0,0,2,0.00033,0.003,0.00167,0.0,0,0
15,14,2,0,7,7,1,2,5,2,2,0,5,2,0,0,0,2,0.00033,0.00233,0.00233,0.0,0,0
16,16,3,0,7,9,2,2,6,3,2,0,5,3,0,0,0,2,0.00067,0.003,0.00233,0.0,0,0
17,17,3,0,7,10,2,2,6,3,2,0,5,4,0,0,0,2,0.00067,0.00333,0.00233,0.0,0,0
18,17,3,0,9,8,1,1,5,3,1,0,6,3,0,0,0,3,0.00033,0.00267,0.003,0.0,0,0
19,18,3,0,10,8,1,1,6,3,1,0,6,2,0,0,0,4,0.00033,0.00267,0.00333,0.0,0,0
20,18,3,0,11,7,1,1,5,3,1,0,7,2,0,0,0,4,0.00033,0.00233,0.00367,0.0,0,0
21,21,3,0,12,9,1,1,7,3,1,0,7,2,0,0,0,5,0.00033,0.003,0.004,0.0,0,0
22,22,3,0,13,9,0,0,7,3,0,0,8,2,0,0,0,5,0.0,0.003,0.00433,0.0,0,0
23,23,3,0,15,8,0,0,6,3,0,0,9,2,0,0,0,6,0.0,0.00267,0.005,0.0,0,0
24,23,3,0,15,8,0,0,6,3,0,0,9,2,0,0,0,6,0.0,0.00267,0.005,0.0,0,0
25,23,3,0,16,7,0,0,4,3,0,0,10,3,0,0,0,6,0.0,0.00233,0.00533,0.0,0,0
26,24,3,0,16,8,0,0,5,3,0,0,10,3,0,0,0,6,0.0,0.00267,0.00533,0.0,0,0
27,26,3,0,16,10,0,1,7,3,0,0,10,3,0,1,0,6,0.0,0.00333,0.00533,0.0,0,0
28,27,5,0,17,10,1,1,6,4,0,0,11,4,1,1,0,6,0.00033,0.00333,0.00567,0.0,0,0
