Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0,0
2,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0,0
3,6,0,0,0,6,0,0,4,0,0,0,0,2,0,0,0,0,0.0,0.002,0.0,0.0,0,0
4,7,0,0,0,7,0,0,5,0,0,0,0,2,0,0,0,0,0.0,0.00233,0.0,0.0,0,0
5,8,0,0,0,8,0,0,6,0,0,0,0,2,0,0,0,0,0.0,0.00267,0.0,0.0,0,0
6,9,0,0,0,9,0,0,7,0,0,0,0,2,0,0,0,0,0.0,0.003,0.0,0.0,0,0
7,11,0,0,0,11,0,0,9,0,0,0,0,2,0,0,0,0,0.0,0.00367,0.0,0.0,0,0
8,13,0,0,0,13,0,0,11,0,0,0,0,2,0,0,0,0,0.0,0.00433,0.0,0.0,0,0
9,13,1,0,1,12,1,0,10,0,0,0,1,2,1,0,0,0,0.00033,0.004,0.00033,0.0,0,0
10,14,1,0,2,12,1,0,10,0,0,0,2,2,1,0,0,0,0.00033,0.004,0.00067,0.0,0,0
11,15,2,0,3,12,1,1,11,1,1,0,2,1,1,0,0,1,0.00033,0.004,0.001,0.0,0,0
12,19,3,0,4,15,2,2,14,2,2,0,3,1,1,0,0,1,0.00067,0.005,0.00133,0.0,0,0
13,23,5,0,5,18,3,2,17,4,2,0,4,1,1,0,0,1,0.001,0.006,0.00167,0.0,0,0
14,24,5,0,8,16,3,2,15,4,2,0,6,1,1,0,0,2,0.001,0.00533,0.00267,0.0,0,0
15,25,5,0,9,16,2,1,14,4,1,0,7,2,1,0,0,2,0.00067,0.00533,0.003,0.0,0,0
16,25,5,0,9,16,2,1,14,4,1,0,7,2,1,0,0,2,0.00067,0.00533,0.003,0.0,0,0
17,29,5,0,10,19,2,2,15,4,2,0,8,4,1,0,0,2,0.00067,0.00633,0.00333,0.0,0,0
18,30,6,0,11,19,2,2,16,5,2,0,8,3,1,0,0,3,0.00067,0.00633,0.00367,0.0,0,0
19,35,6,1,13,21,1,2,18,5,2,1,10,3,1,0,0,3,0.00033,0.007,0.00433,0.02857,0,0
20,38,7,1,14,23,1,1,20,6,1,1,11,3,1,0,0,3,0.00033,0.00767,0.00467,0.02632,0,0
21,40,7,1,16,23,1,1,21,6,1,1,12,2,1,0,0,4,0.00033,0.00767,0.00534,0.025,0,0
22,42,7,1,18,23,1,2,21,6,1,1,14,2,1,1,0,4,0.00033,0.00767,0.006,0.02381,0,0
23,45,8,1,19,25,2,2,23,6,1,1,15,2,2,1,0,4,0.00067,0.00834,0.00634,0.02222,0,0
24,49,8,1,20,28,2,3,25,6,2,1,16,3,2,1,0,4,0.00067,0.00934,0.00667,0.02041,0,0
