Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.00167,0.0,0.0,0,0
2,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.002,0.0,0.0,0,0
3,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.00267,0.0,0.0,0,0
4,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.00267,0.0,0.0,0,0
5,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.00267,0.0,0.0,0,0
6,11,0,0,0,11,0,0,10,0,0,0,0,1,0,0,0,0,0.0,0.00367,0.0,0.0,0,0
7,12,1,0,0,12,1,1,11,1,0,0,0,1,0,1,0,0,0.00033,0.004,0.0,0.0,0,0
8,13,2,0,0,13,2,1,12,1,0,0,0,1,1,1,0,0,0.00067,0.00433,0.0,0.0,0,0
9,14,2,0,1,13,2,4,12,1,3,0,1,1,1,1,0,0,0.00067,0.00433,0.00033,0.0,0,0
10,16,4,0,1,15,4,5,14,3,4,0,1,1,1,1,0,0,0.00133,0.005,0.00033,0.0,0,0
11,18,6,0,3,15,5,4,15,5,4,0,2,0,1,0,0,1,0.00167,0.005,0.001,0.0,0,0
12,20,7,0,4,16,6,4,15,5,4,0,3,1,2,0,0,1,0.002,0.00533,0.00133,0.0,0,0
13,21,7,1,6,14,3,2,13,5,2,1,5,1,2,0,0,1,0.001,0.00467,0.002,0.04762,0,0
14,21,7,2,6,13,2,2,13,5,2,2,5,0,2,0,0,1,0.00067,0.00434,0.002,0.09524,0,0
15,21,8,2,8,11,2,1,11,6,1,2,7,0,2,0,0,1,0.00067,0.00367,0.00267,0.09524,0,0
16,21,8,2,8,11,2,1,11,6,1,2,7,0,2,0,0,1,0.00067,0.00367,0.00267,0.09524,0,0
17,25,8,2,8,15,2,1,14,6,1,2,7,1,2,0,0,1,0.00067,0.005,0.00267,0.08,0,0
18,30,8,2,10,18,2,1,17,6,1,2,9,1,2,0,0,1,0.00067,0.006,0.00334,0.06667,0,0
19,33,8,2,11,20,2,1,19,6,1,2,10,1,2,0,0,1,0.00067,0.00667,0.00367,0.06061,0,0
20,36,9,2,14,20,2,1,17,7,1,2,13,3,2,0,0,1,0.00067,0.00667,0.00467,0.05556,0,0
21,36,10,3,15,18,2,0,16,8,0,3,13,2,2,0,0,2,0.00067,0.00601,0.00501,0.08333,0,0
22,37,10,3,15,19,2,0,17,8,0,3,13,2,2,0,0,2,0.00067,0.00634,0.00501,0.08108,0,0
23,38,10,3,17,18,1,2,16,8,1,3,15,2,2,1,0,2,0.00033,0.00601,0.00567,0.07895,0,0
24,43,13,3,17,23,4,2,21,10,1,3,15,2,3,1,0,2,0.00133,0.00767,0.00567,0.06977,0,0
25,46,15,3,17,26,6,2,24,12,1,3,15,2,3,1,0,2,0.002,0.00868,0.00567,0.06522,0,0
26,49,15,3,18,28,5,2,26,12,1,3,16,2,3,1,0,2,0.00167,0.00934,0.00601,0.06122,0,0
27,50,15,4,20,26,4,3,24,12,2,4,18,2,3,1,0,2,0.00134,0.00868,0.00668,0.08,0,0
28,53,18,4,23,26,6,3,24,15,2,4,20,2,3,1,0,3,0.002,0.00868,0.00768,0.07547,0,0
29,57,19,4,24,29,7,3,25,16,2,4,21,4,3,1,0,3,0.00234,0.00968,0.00801,0.07018,0,0
30,60,19,4,28,28,5,1,25,16,1,4,24,3,3,0,0,4,0.00167,0.00935,0.00935,0.06667,0,0
31,61,19,4,33,24,3,1,19,16,1,4,29,5,3,0,0,4,0.001,0.00801,0.01101,0.06557,0,0
32,66,20,4,34,28,3,2,18,16,2,4,29,10,4,0,0,5,0.001,0.00935,0.01135,0.06061,0,0
33,70,21,4,37,29,3,2,18,17,2,4,31,11,4,0,0,6,0.001,0.00968,0.01235,0.05714,0,0
34,71,22,4,38,29,4,6,19,17,5,4,31,10,5,1,0,7,0.00134,0.00968,0.01268,0.05634,0,0
35,74,26,4,41,29,7,7,18,20,5,4,33,11,6,2,0,8,0.00234,0.00968,0.01368,0.05405,0,0
36,74,27,4,41,29,8,7,18,21,5,4,33,11,6,2,0,8,0.00267,0.00968,0.01368,0.05405,0,0
37,75,27,5,46,24,5,5,12,21,3,5,38,12,6,2,0,8,0.00167,0.00801,0.01536,0.06667,0,0
38,76,28,5,49,22,4,3,12,22,2,5,39,10,6,1,0,10,0.00134,0.00735,0.01636,0.06579,0,0
39,77,29,6,53,18,2,2,10,23,1,5,42,8,6,1,1,11,0.00067,0.00601,0.0177,0.07792,0,0
40,81,32,6,54,21,5,3,11,24,2,5,43,10,8,1,1,11,0.00167,0.00701,0.01804,0.07407,0,0
41,82,33,6,57,19,4,3,12,25,2,5,43,7,8,1,1,14,0.00134,0.00635,0.01904,0.07317,0,0
42,83,33,6,60,17,2,1,11,25,1,5,44,6,8,0,1,16,0.00067,0.00568,0.02004,0.07229,0,0
43,88,33,6,62,20,2,4,13,25,3,5,45,7,8,1,1,17,0.00067,0.00668,0.02071,0.06818,0,0
44,89,36,6,63,20,4,4,13,27,3,5,46,7,9,1,1,17,0.00134,0.00668,0.02104,0.06742,0,0
45,90,36,6,63,21,4,4,13,27,3,5,46,8,9,1,1,17,0.00134,0.00701,0.02104,0.06667,0,0
46,92,36,6,64,22,4,5,14,27,3,5,46,8,9,2,1,18,0.00134,0.00735,0.02138,0.06522,0,0
47,93,38,6,68,19,4,3,10,27,1,5,50,9,11,2,1,18,0.00134,0.00635,0.02271,0.06452,0,0
48,94,38,6,68,20,4,3,10,27,1,5,50,10,11,2,1,18,0.00134,0.00668,0.02271,0.06383,0,0
49,95,38,6,71,18,3,2,9,27,1,5,51,9,11,1,1,20,0.001,0.00601,0.02371,0.06316,0,0
50,96,38,6,72,18,3,3,8,27,2,5,52,10,11,1,1,20,0.001,0.00601,0.02405,0.0625,0,0
51,96,39,6,75,15,2,2,6,28,1,5,54,9,11,1,1,21,0.00067,0.00501,0.02505,0.0625,0,0
52,99,40,6,78,15,3,2,3,28,1,5,57,12,12,1,1,21,0.001,0.00501,0.02605,0.06061,0,0
53,100,40,6,80,14,2,2,3,28,1,5,58,11,12,1,1,22,0.00067,0.00468,0.02672,0.06,0,0
54,101,40,6,81,14,2,2,4,28,1,5,58,10,12,1,1,23,0.00067,0.00468,0.02705,0.05941,0,0
55,102,40,7,82,13,1,1,3,28,0,6,59,10,12,1,1,23,0.00033,0.00434,0.0274,0.06863,0,0
56,102,40,7,83,12,1,1,3,28,0,6,59,9,12,1,1,24,0.00033,0.00401,0.02773,0.06863,0,0
57,105,40,7,84,14,1,2,5,28,0,6,59,9,12,2,1,25,0.00033,0.00468,0.02807,0.06667,0,0
58,107,41,7,87,13,1,1,5,28,0,6,60,8,13,1,1,27,0.00033,0.00434,0.02907,0.06542,0,0
59,108,41,7,87,14,1,1,5,28,0,6,60,9,13,1,1,27,0.00033,0.00468,0.02907,0.06481,0,0
60,110,41,7,89,14,1,1,8,28,0,6,60,6,13,1,1,29,0.00033,0.00468,0.02974,0.06364,0,0
61,113,41,7,90,16,1,1,9,28,0,6,61,7,13,1,1,29,0.00033,0.00535,0.03007,0.06195,0,0
62,117,41,7,92,18,1,1,12,28,0,6,62,6,13,1,1,30,0.00033,0.00601,0.03074,0.05983,0,0
63,117,41,7,94,16,0,0,12,28,0,6,62,4,13,0,1,32,0.0,0.00535,0.03141,0.05983,0,0
64,118,41,7,94,17,0,0,13,28,0,6,62,4,13,0,1,32,0.0,0.00568,0.03141,0.05932,0,0
65,120,41,7,94,19,0,1,15,28,1,6,62,4,13,0,1,32,0.0,0.00635,0.03141,0.05833,0,0
66,122,42,7,95,20,1,1,15,29,1,6,63,5,13,0,1,32,0.00033,0.00668,0.03174,0.05738,0,0
67,125,42,7,96,22,1,1,17,29,1,6,64,5,13,0,1,32,0.00033,0.00735,0.03207,0.056,0,0
68,129,42,7,98,24,1,1,20,29,1,6,65,4,13,0,1,33,0.00033,0.00802,0.03274,0.05426,0,0
69,129,42,7,99,23,1,2,19,29,2,6,66,4,13,0,1,33,0.00033,0.00768,0.03308,0.05426,0,0
70,133,43,7,101,25,1,4,18,30,4,6,68,7,13,0,1,33,0.00033,0.00835,0.03375,0.05263,0,0
71,133,47,7,101,25,5,4,18,33,4,6,68,7,14,0,1,33,0.00167,0.00835,0.03375,0.05263,0,0
72,136,47,7,106,23,4,4,17,33,4,6,70,6,14,0,1,36,0.00134,0.00768,0.03542,0.05147,0,0
73,137,47,7,109,21,3,3,16,33,3,6,72,5,14,0,1,37,0.001,0.00702,0.03642,0.05109,0,0
74,142,48,7,111,24,3,2,16,34,2,6,74,8,14,0,1,37,0.001,0.00802,0.03709,0.0493,0,0
75,146,48,7,111,28,3,2,18,34,2,6,74,10,14,0,1,37,0.001,0.00936,0.03709,0.04795,0,0
76,149,49,7,114,28,3,1,18,34,1,6,76,10,15,0,1,38,0.001,0.00936,0.03809,0.04698,0,0
77,153,49,7,115,31,3,2,21,34,2,6,77,10,15,0,1,38,0.001,0.01036,0.03842,0.04575,0,0
78,155,50,7,115,33,4,3,22,35,2,6,77,11,15,1,1,38,0.00134,0.01103,0.03842,0.04516,0,0
79,161,51,7,120,34,4,2,24,35,1,6,81,10,16,1,1,39,0.00134,0.01136,0.04009,0.04348,0,0
80,165,51,7,124,34,4,4,24,35,3,6,83,10,16,1,1,41,0.00134,0.01136,0.04143,0.04242,0,0
81,174,53,7,127,40,5,3,29,37,2,6,85,11,16,1,1,42,0.00167,0.01336,0.04243,0.04023,0,0
82,178,53,7,130,41,5,3,31,37,2,6,86,10,16,1,1,44,0.00167,0.0137,0.04343,0.03933,0,0
83,180,53,7,133,40,4,3,32,37,2,6,87,8,16,1,1,46,0.00134,0.01336,0.04444,0.03889,0,0
84,185,53,7,136,42,3,4,33,37,4,6,88,9,16,0,1,48,0.001,0.01403,0.04544,0.03784,0,0
85,188,55,7,138,43,4,5,33,39,4,6,90,10,16,1,1,48,0.00134,0.01437,0.04611,0.03723,0,0
86,193,56,7,139,47,4,4,36,39,3,6,91,11,17,1,1,48,0.00134,0.0157,0.04644,0.03627,0,0
87,197,56,7,142,48,3,5,37,39,4,6,93,11,17,1,1,49,0.001,0.01604,0.04744,0.03553,0,0
88,206,58,8,146,52,4,5,38,41,5,6,97,14,17,0,2,49,0.00134,0.01738,0.0488,0.03883,0,0
89,208,61,8,152,48,5,3,34,43,3,6,102,14,18,0,2,50,0.00167,0.01604,0.0508,0.03846,0,0
90,211,62,8,153,50,6,3,37,43,3,6,102,13,19,0,2,51,0.00201,0.01671,0.05114,0.03791,0,0
91,213,62,8,157,48,5,4,35,43,3,6,105,13,19,1,2,52,0.00167,0.01604,0.05247,0.03756,0,0
92,219,63,8,161,50,4,4,37,44,3,6,107,13,19,1,2,54,0.00134,0.01671,0.05381,0.03653,0,0
93,221,64,8,164,49,4,3,37,45,2,6,109,12,19,1,2,55,0.00134,0.01638,0.05481,0.0362,0,0
94,228,64,8,170,50,4,4,38,45,3,6,114,12,19,1,2,56,0.00134,0.01671,0.05682,0.03509,0,0
95,234,66,8,176,50,5,3,37,47,3,6,118,13,19,0,2,58,0.00167,0.01671,0.05882,0.03419,0,0
96,244,68,8,182,54,6,4,40,49,4,6,122,14,19,0,2,60,0.00201,0.01805,0.06083,0.03279,0,0
97,248,69,8,190,50,6,4,35,50,4,6,128,15,19,0,2,62,0.00201,0.01671,0.0635,0.03226,0,0
98,254,70,9,197,48,5,3,31,51,3,7,134,17,19,0,2,63,0.00167,0.01605,0.06586,0.03543,0,0
99,259,72,10,200,49,6,2,31,53,2,8,135,18,19,0,2,65,0.00201,0.01639,0.06689,0.03861,0,0
100,262,72,10,202,50,5,4,31,53,2,8,137,19,19,2,2,65,0.00167,0.01672,0.06756,0.03817,0,0
101,267,76,10,205,52,6,5,31,53,3,8,139,21,23,2,2,66,0.00201,0.01739,0.06856,0.03745,0,0
102,274,79,10,210,54,8,7,31,56,4,8,144,23,23,3,2,66,0.00268,0.01806,0.07023,0.0365,0,0
103,277,83,10,212,55,11,7,34,59,4,8,145,21,24,3,2,67,0.00368,0.01839,0.0709,0.0361,0,0
104,282,83,10,217,55,9,7,33,59,4,8,148,22,24,3,2,69,0.00301,0.01839,0.07258,0.03546,0,0
105,288,84,10,225,53,9,7,34,59,4,8,152,19,25,3,2,73,0.00301,0.01773,0.07525,0.03472,0,0
106,294,85,10,227,57,9,8,34,60,5,8,154,23,25,3,2,73,0.00301,0.01906,0.07592,0.03401,0,0
107,298,87,10,234,54,10,9,32,62,6,8,159,22,25,3,2,75,0.00334,0.01806,0.07826,0.03356,0,0
108,303,88,10,237,56,9,8,34,63,6,8,160,22,25,2,2,77,0.00301,0.01873,0.07926,0.033,0,0
109,309,90,11,242,56,8,5,32,64,4,9,164,24,26,1,2,78,0.00268,0.01874,0.08096,0.0356,0,0
110,311,90,11,249,51,6,4,28,64,3,9,170,23,26,1,2,79,0.00201,0.01706,0.08331,0.03537,0,0
111,316,93,11,253,52,7,4,31,67,4,9,171,21,26,0,2,82,0.00234,0.0174,0.08464,0.03481,0,0
112,321,95,11,263,47,5,3,30,69,3,9,177,17,26,0,2,86,0.00167,0.01572,0.08799,0.03427,0,0
113,324,96,11,266,47,6,4,30,70,4,9,179,17,26,0,2,87,0.00201,0.01572,0.08899,0.03395,0,0
114,332,98,11,269,52,8,6,33,71,5,9,181,19,27,1,2,88,0.00268,0.0174,0.09,0.03313,0,0
115,336,103,11,272,53,12,6,38,74,5,9,181,15,29,1,2,91,0.00401,0.01773,0.091,0.03274,0,0
116,342,104,11,277,54,11,5,39,75,4,9,184,15,29,1,2,93,0.00368,0.01807,0.09267,0.03216,0,0
117,345,105,11,283,51,10,5,36,75,3,9,188,15,30,2,2,95,0.00335,0.01706,0.09468,0.03188,0,0
118,346,107,11,288,47,10,4,34,76,2,9,191,13,31,2,2,97,0.00335,0.01572,0.09635,0.03179,0,0
119,347,107,11,296,40,7,6,30,76,3,9,197,10,31,3,2,99,0.00234,0.01338,0.09903,0.0317,0,0
120,347,108,12,302,33,7,6,23,76,3,10,203,10,32,3,2,99,0.00234,0.01104,0.10107,0.03458,0,0
121,349,109,12,304,33,7,6,23,77,3,10,205,10,32,3,2,99,0.00234,0.01104,0.10174,0.03438,0,0
122,353,109,12,308,33,5,4,24,77,2,10,207,9,32,2,2,101,0.00167,0.01104,0.10308,0.03399,0,0
123,358,110,12,311,35,3,3,27,77,2,10,207,8,33,1,2,104,0.001,0.01171,0.10408,0.03352,0,0
124,360,110,13,317,30,1,2,23,77,2,10,212,7,33,0,3,105,0.00033,0.01004,0.10613,0.03611,0,0
125,365,113,14,320,31,3,1,24,79,1,11,215,7,34,0,3,105,0.001,0.01038,0.10717,0.03836,0,0
126,368,113,14,327,27,2,1,21,79,1,11,220,6,34,0,3,107,0.00067,0.00904,0.10951,0.03804,0,0
127,371,114,14,327,30,3,1,23,80,1,11,220,7,34,0,3,107,0.001,0.01005,0.10951,0.03774,0,0
128,374,114,14,327,33,3,2,25,80,2,11,220,8,34,0,3,107,0.001,0.01105,0.10951,0.03743,0,0
129,377,116,14,331,32,5,2,22,82,2,11,224,10,34,0,3,107,0.00167,0.01072,0.11085,0.03714,0,0
130,381,118,14,331,36,7,2,24,84,2,11,224,12,34,0,3,107,0.00234,0.01206,0.11085,0.03675,0,0
131,387,118,15,331,41,6,3,28,84,3,12,224,13,34,0,3,107,0.00201,0.01374,0.11089,0.03876,0,0
132,390,120,16,336,38,5,2,25,86,2,13,227,13,34,0,3,109,0.00168,0.01273,0.1126,0.04103,0,0
133,393,120,16,338,39,5,4,27,86,4,13,228,12,34,0,3,110,0.00168,0.01307,0.11327,0.04071,0,0
134,394,122,16,341,37,5,4,25,88,4,13,230,12,34,0,3,111,0.00168,0.0124,0.11428,0.04061,0,0
135,401,122,17,345,39,4,3,26,88,3,14,233,13,34,0,3,112,0.00134,0.01307,0.11566,0.04239,0,0
