Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0.0,0.0014,0.0,0.0,0,0
2,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.0016,0.0,0.0,0,0
3,10,1,0,0,10,1,1,8,1,1,0,0,2,0,0,0,0,0.0002,0.002,0.0,0.0,0,0
4,11,3,0,0,11,3,1,9,3,1,0,0,2,0,0,0,0,0.0006,0.0022,0.0,0.0,0,0
5,16,3,0,0,16,3,1,12,3,1,0,0,4,0,0,0,0,0.0006,0.0032,0.0,0.0,0,0
6,19,3,0,0,19,3,1,14,3,1,0,0,5,0,0,0,0,0.0006,0.0038,0.0,0.0,0,0
7,19,3,0,2,17,2,0,11,3,0,0,2,6,0,0,0,0,0.0004,0.0034,0.0004,0.0,0,0
8,20,3,0,2,18,2,0,11,3,0,0,2,7,0,0,0,0,0.0004,0.0036,0.0004,0.0,0,0
9,21,3,0,4,17,1,0,10,3,0,0,3,7,0,0,0,1,0.0002,0.0034,0.0008,0.0,0,0
10,25,5,0,5,20,3,1,13,5,0,0,3,7,0,1,0,2,0.0006,0.004,0.001,0.0,0,0
11,29,9,0,7,22,5,1,14,8,0,0,5,8,1,1,0,2,0.001,0.0044,0.0014,0.0,0,0
12,29,9,0,8,21,5,1,13,8,0,0,6,8,1,1,0,2,0.001,0.0042,0.0016,0.0,0,0
13,34,9,0,13,21,3,0,14,8,0,0,9,7,1,0,0,4,0.0006,0.0042,0.0026,0.0,0,0
14,35,9,0,15,20,3,0,14,8,0,0,10,6,1,0,0,5,0.0006,0.004,0.003,0.0,0,0
15,37,9,0,16,21,3,0,15,8,0,0,10,6,1,0,0,6,0.0006,0.0042,0.0032,0.0,0,0
16,40,9,0,18,22,2,0,16,8,0,0,12,6,1,0,0,6,0.0004,0.0044,0.0036,0.0,0,0
17,41,9,0,19,22,2,1,15,8,0,0,13,7,1,1,0,6,0.0004,0.0044,0.0038,0.0,0,0
18,43,11,0,20,23,4,2,15,8,1,0,14,8,3,1,0,6,0.0008,0.0046,0.004,0.0,0,0
19,43,12,0,22,21,4,4,13,9,3,0,16,8,3,1,0,6,0.0008,0.0042,0.0044,0.0,0,0
20,45,15,0,24,21,7,4,14,12,3,0,16,7,3,1,0,8,0.0014,0.0042,0.0048,0.0,0,0
21,48,15,0,29,19,6,4,12,12,3,0,20,7,3,1,0,9,0.0012,0.0038,0.0058,0.0,0,0
22,49,16,1,30,18,5,2,11,13,1,1,21,7,3,1,0,9,0.001,0.0036,0.006,0.02041,0,0
23,54,16,1,32,21,5,2,13,13,1,1,22,8,3,1,0,10,0.001,0.0042,0.0064,0.01852,0,0
24,55,16,1,34,20,4,1,11,13,1,1,23,9,3,0,0,11,0.0008,0.004,0.0068,0.01818,0,0
25,60,20,1,36,23,7,1,12,17,1,1,25,11,3,0,0,11,0.0014,0.0046,0.0072,0.01667,0,0
26,62,20,2,37,23,5,1,12,17,0,2,26,11,3,1,0,11,0.001,0.0046,0.0074,0.03226,0,0
27,65,21,2,38,25,6,1,14,17,0,2,26,11,4,1,0,12,0.0012,0.005,0.0076,0.03077,0,0
28,67,22,2,39,26,6,2,15,18,1,2,26,11,4,1,0,13,0.0012,0.0052,0.0078,0.02985,0,0
29,69,24,2,40,27,8,3,16,20,1,2,26,11,4,2,0,14,0.0016,0.0054,0.008,0.02899,0,0
30,72,27,2,42,28,10,5,15,22,3,2,27,13,5,2,0,15,0.002,0.0056,0.0084,0.02778,0,0
31,73,28,2,43,28,10,4,16,23,3,2,27,12,5,1,0,16,0.002,0.0056,0.0086,0.0274,0,0
32,75,28,2,46,27,8,5,15,23,4,2,29,12,5,1,0,17,0.0016,0.0054,0.0092,0.02667,0,0
33,76,29,2,49,25,7,5,13,24,4,2,31,12,5,1,0,18,0.0014,0.005,0.0098,0.02632,0,0
34,77,32,2,51,24,9,5,12,26,3,2,33,12,6,2,0,18,0.0018,0.0048,0.0102,0.02597,0,0
35,81,36,3,52,26,11,4,12,26,2,3,34,14,10,2,0,18,0.0022,0.0052,0.01041,0.03704,0,0
36,85,40,4,54,27,12,2,14,26,1,3,35,13,14,1,1,19,0.0024,0.0054,0.01081,0.04706,0,0
37,85,40,4,58,23,8,2,12,26,1,3,38,11,14,1,1,20,0.0016,0.0046,0.01161,0.04706,0,0
38,86,45,4,59,23,12,2,12,31,2,3,38,11,14,0,1,21,0.0024,0.0046,0.01181,0.04651,0,0
39,87,45,4,63,20,11,3,13,31,3,3,41,7,14,0,1,22,0.0022,0.004,0.01261,0.04598,0,0
40,88,48,4,64,20,13,3,12,33,3,3,42,8,15,0,1,22,0.0026,0.004,0.01281,0.04545,0,0
41,88,48,4,66,18,11,4,11,33,3,3,43,7,15,1,1,23,0.0022,0.0036,0.01321,0.04545,0,0
42,90,49,4,67,19,11,3,10,33,2,3,44,9,16,1,1,23,0.0022,0.0038,0.01341,0.04444,0,0
43,92,49,4,70,18,8,3,10,33,2,3,46,8,16,1,1,24,0.0016,0.0036,0.01401,0.04348,0,0
44,92,49,4,72,16,7,2,9,33,1,3,48,7,16,1,1,24,0.0014,0.0032,0.01441,0.04348,0,0
45,95,49,4,75,16,4,2,8,33,1,3,50,8,16,1,1,25,0.0008,0.0032,0.01501,0.04211,0,0
46,97,49,4,80,13,1,0,6,33,0,3,53,7,16,0,1,27,0.0002,0.0026,0.01601,0.04124,0,0
47,98,49,4,81,13,1,0,6,33,0,3,53,7,16,0,1,28,0.0002,0.0026,0.01621,0.04082,0,0
48,99,55,4,83,12,5,0,7,36,0,3,54,5,19,0,1,29,0.001,0.0024,0.01661,0.0404,0,0
49,100,55,4,83,13,5,0,7,36,0,3,54,6,19,0,1,29,0.001,0.0026,0.01661,0.04,0,0
50,101,55,4,84,13,5,0,6,36,0,3,55,7,19,0,1,29,0.001,0.0026,0.01681,0.0396,0,0
51,102,55,4,85,13,5,0,6,36,0,3,55,7,19,0,1,30,0.001,0.0026,0.01701,0.03922,0,0
52,103,55,4,86,13,4,0,5,36,0,3,56,8,19,0,1,30,0.0008,0.0026,0.01721,0.03883,0,0
53,105,55,4,87,14,4,0,6,36,0,3,56,8,19,0,1,31,0.0008,0.0028,0.01741,0.0381,0,0
54,105,55,4,87,14,4,0,6,36,0,3,56,8,19,0,1,31,0.0008,0.0028,0.01741,0.0381,0,0
55,107,55,4,89,14,2,0,5,36,0,3,57,9,19,0,1,32,0.0004,0.0028,0.01781,0.03738,0,0
56,107,56,4,91,12,2,0,4,36,0,3,58,8,20,0,1,33,0.0004,0.0024,0.01821,0.03738,0,0
57,108,56,4,92,12,2,0,3,36,0,3,59,9,20,0,1,33,0.0004,0.0024,0.01841,0.03704,0,0
58,109,56,4,93,12,1,0,4,36,0,3,59,8,20,0,1,34,0.0002,0.0024,0.01861,0.0367,0,0
59,110,56,4,94,12,1,0,4,36,0,3,59,8,20,0,1,35,0.0002,0.0024,0.01882,0.03636,0,0
60,110,56,4,94,12,1,0,4,36,0,3,59,8,20,0,1,35,0.0002,0.0024,0.01882,0.03636,0,0
61,110,56,4,98,8,0,0,2,36,0,3,61,6,20,0,1,37,0.0,0.0016,0.01962,0.03636,0,0
62,111,56,4,99,8,0,0,1,36,0,3,62,7,20,0,1,37,0.0,0.0016,0.01982,0.03604,0,0
63,112,57,4,101,7,1,0,1,36,0,3,62,6,21,0,1,39,0.0002,0.0014,0.02022,0.03571,0,0
64,112,57,4,103,5,0,0,1,36,0,3,62,4,21,0,1,41,0.0,0.001,0.02062,0.03571,0,0
65,112,57,4,103,5,0,0,1,36,0,3,62,4,21,0,1,41,0.0,0.001,0.02062,0.03571,0,0
