Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0.0,0.0014,0.0,0.0,0.0,0.0
2,7,0,0,0,7,0,0,6,0,0,0,0,1,0,0,0,0,0.0,0.0014,0.0,0.0,0.0,0.0
3,8,0,0,0,8,0,0,6,0,0,0,0,2,0,0,0,0,0.0,0.0016,0.0,0.0,0.0,0.0
4,9,1,0,0,9,1,0,6,1,0,0,0,3,0,0,0,0,0.0002,0.0018,0.0,0.0,0.0,0.0
5,10,1,0,0,10,1,1,7,1,1,0,0,3,0,0,0,0,0.0002,0.002,0.0,0.0,0.0,0.0
6,10,2,0,0,10,2,1,7,2,1,0,0,3,0,0,0,0,0.0004,0.002,0.0,0.0,0.0,0.0
7,12,2,0,1,11,2,1,8,2,1,0,1,3,0,0,0,0,0.0004,0.0022,0.0002,0.0,0.0,0.0
8,13,2,1,2,10,1,0,7,2,0,1,2,3,0,0,0,0,0.0002,0.002,0.0004,0.07692,0.0,0.0
9,15,2,1,2,12,1,0,9,2,0,1,2,3,0,0,0,0,0.0002,0.0024,0.0004,0.06667,0.0,0.0
10,15,2,1,2,12,1,0,9,2,0,1,2,3,0,0,0,0,0.0002,0.0024,0.0004,0.06667,0.0,0.0
11,18,2,1,2,15,1,1,10,2,1,1,2,5,0,0,0,0,0.0002,0.003,0.0004,0.05556,0.0,0.0
12,20,3,1,4,15,2,1,9,3,1,1,3,6,0,0,0,1,0.0004,0.003,0.0008,0.05,0.0,0.0
13,20,3,1,7,12,1,1,6,3,1,1,6,6,0,0,0,1,0.0002,0.0024,0.0014,0.05,0.0,0.0
14,20,3,1,7,12,1,1,6,3,1,1,6,6,0,0,0,1,0.0002,0.0024,0.0014,0.05,0.0,0.0
15,21,4,1,7,13,2,1,7,4,1,1,6,6,0,0,0,1,0.0004,0.0026,0.0014,0.04762,0.0,0.0
16,21,4,1,9,11,2,2,7,4,1,1,6,4,0,1,0,3,0.0004,0.0022,0.0018,0.04762,0.0,0.0
17,21,5,1,9,11,3,2,7,4,1,1,6,4,1,1,0,3,0.0006,0.0022,0.0018,0.04762,0.0,0.0
18,24,6,2,10,12,2,1,8,4,0,2,7,4,2,1,0,3,0.0004,0.0024,0.002,0.08333,0.0,0.0
19,26,6,2,10,14,2,1,8,4,0,2,7,6,2,1,0,3,0.0004,0.0028,0.002,0.07692,0.0,0.0
20,27,6,2,13,12,2,1,5,4,0,2,9,7,2,1,0,4,0.0004,0.0024,0.0026,0.07407,0.0,0.0
21,29,6,3,13,13,1,0,4,4,0,2,9,9,2,0,1,4,0.0002,0.0026,0.0026,0.10345,0.0,0.0
22,30,7,3,14,13,1,1,4,4,0,2,9,9,3,1,1,5,0.0002,0.0026,0.0028,0.1,0.0,0.0
23,33,8,3,15,15,2,1,5,4,0,2,9,10,4,1,1,6,0.0004,0.003,0.003,0.09091,0.0,0.0
24,37,8,3,17,17,1,1,7,4,0,2,9,10,4,1,1,8,0.0002,0.0034,0.0034,0.08108,0.0,0.0
25,37,8,3,17,17,1,2,10,4,1,2,9,7,4,1,1,8,0.0002,0.0034,0.0034,0.08108,0.0,0.0
26,42,9,3,19,20,1,1,14,5,1,2,10,6,4,0,1,9,0.0002,0.004,0.0038,0.07143,0.0,0.0
27,48,9,3,19,26,1,3,16,5,2,2,10,10,4,1,1,9,0.0002,0.0052,0.0038,0.0625,0.0,0.0
28,48,11,3,20,25,3,4,15,6,2,2,11,10,5,2,1,9,0.0006,0.005,0.004,0.0625,0.0,0.0
29,50,12,3,22,25,3,3,14,6,1,2,13,11,6,2,1,9,0.0006,0.005,0.0044,0.06,0.0,0.0
30,55,12,3,23,29,3,3,14,6,1,2,13,15,6,2,1,10,0.0006,0.0058,0.0046,0.05455,0.0,0.0
31,60,13,3,25,32,3,2,17,6,1,2,14,15,7,1,1,11,0.0006,0.0064,0.005,0.05,0.0,0.0
32,64,13,3,29,32,1,1,17,6,0,2,16,15,7,1,1,13,0.0002,0.0064,0.0058,0.04688,0.0,0.0
33,66,14,3,34,29,1,1,15,6,0,2,20,14,8,1,1,14,0.0002,0.0058,0.0068,0.04545,0.0,0.0
34,70,15,3,36,31,2,1,15,7,0,2,21,16,8,1,1,15,0.0004,0.0062,0.0072,0.04286,0.0,0.0
35,70,15,3,38,29,2,1,15,7,0,2,21,14,8,1,1,17,0.0004,0.0058,0.0076,0.04286,0.0,0.0
36,73,15,3,40,30,1,1,18,7,1,2,21,12,8,0,1,19,0.0002,0.006,0.008,0.0411,0.0,0.0
37,74,16,3,43,28,1,2,17,8,1,2,23,11,8,1,1,20,0.0002,0.0056,0.00861,0.04054,0.0,0.0
38,77,18,3,44,30,3,3,17,8,2,2,24,13,10,1,1,20,0.0006,0.006,0.00881,0.03896,0.0,0.0
39,79,21,3,48,28,6,3,15,10,2,2,27,13,11,1,1,21,0.0012,0.0056,0.00961,0.03797,0.0,0.0
40,80,21,3,50,27,6,4,15,10,3,2,28,12,11,1,1,22,0.0012,0.0054,0.01001,0.0375,0.0,0.0
41,80,22,3,52,25,7,4,14,11,3,2,29,11,11,1,1,23,0.0014,0.005,0.01041,0.0375,0.0,0.0
42,85,22,5,54,26,5,2,17,11,2,3,29,9,11,0,2,25,0.001,0.00521,0.01081,0.05882,0.0,0.0
43,89,22,5,59,25,2,2,15,11,2,3,32,10,11,0,2,27,0.0004,0.00501,0.01181,0.05618,0.0,0.0
44,90,23,6,63,21,2,1,11,12,1,4,35,10,11,0,2,28,0.0004,0.00421,0.01262,0.06667,0.0,0.0
45,93,23,6,65,22,2,1,10,12,1,4,37,12,11,0,2,28,0.0004,0.00441,0.01302,0.06452,0.0,0.0
46,96,24,6,65,25,3,1,12,13,1,4,37,13,11,0,2,28,0.0006,0.00501,0.01302,0.0625,0.0,0.0
47,98,24,6,68,24,2,1,12,13,1,4,38,12,11,0,2,30,0.0004,0.00481,0.01362,0.06122,0.0,0.0
48,100,25,6,70,24,3,1,13,14,1,4,38,11,11,0,2,32,0.0006,0.00481,0.01402,0.06,0.0,0.0
49,101,25,6,72,23,2,1,11,14,1,4,40,12,11,0,2,32,0.0004,0.00461,0.01442,0.05941,0.0,0.0
50,107,26,6,72,29,3,2,12,14,1,4,40,17,12,1,2,32,0.0006,0.00581,0.01442,0.05607,0.0,0.0
51,111,27,6,76,29,3,1,10,14,0,4,43,19,13,1,2,33,0.0006,0.00581,0.01522,0.05405,0.0,0.0
52,112,27,6,78,28,2,1,11,14,0,4,43,17,13,1,2,35,0.0004,0.00561,0.01562,0.05357,0.0,0.0
53,113,27,6,81,26,2,2,11,14,0,4,45,15,13,2,2,36,0.0004,0.00521,0.01622,0.0531,0.0,0.0
54,120,28,6,84,30,2,2,12,14,1,4,46,18,14,1,2,38,0.0004,0.00601,0.01682,0.05,0.0,0.0
55,120,30,6,86,28,3,2,13,16,1,4,47,15,14,1,2,39,0.0006,0.00561,0.01722,0.05,0.0,0.0
56,122,31,6,86,30,4,3,14,17,2,4,47,16,14,1,2,39,0.0008,0.00601,0.01722,0.04918,0.0,0.0
57,130,34,6,90,34,6,3,20,19,3,4,48,14,15,0,2,42,0.0012,0.00681,0.01802,0.04615,0.0,0.0
58,133,35,6,93,34,7,4,22,20,3,4,49,12,15,1,2,44,0.0014,0.00681,0.01862,0.04511,0.0,0.0
59,137,37,6,96,35,8,4,23,20,3,4,50,12,17,1,2,46,0.0016,0.00701,0.01922,0.0438,0.0,0.0
