Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
1,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0012,0.0,0.0,0.0,0.0
2,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0012,0.0,0.0,0.0,0.0
3,7,0,0,0,7,0,0,6,0,0,0,0,1,0,0,0,0,0.0,0.0014,0.0,0.0,0.0,0.0
4,7,0,0,0,7,0,0,6,0,0,0,0,1,0,0,0,0,0.0,0.0014,0.0,0.0,0.0,0.0
5,9,0,0,0,9,0,0,6,0,0,0,0,3,0,0,0,0,0.0,0.0018,0.0,0.0,0.0,0.0
6,10,0,0,0,10,0,0,6,0,0,0,0,4,0,0,0,0,0.0,0.002,0.0,0.0,0.0,0.0
7,13,0,0,0,13,0,0,9,0,0,0,0,4,0,0,0,0,0.0,0.0026,0.0,0.0,0.0,0.0
8,14,0,0,0,14,0,2,9,0,1,0,0,5,0,1,0,0,0.0,0.0028,0.0,0.0,0.0,0.0
9,16,2,0,1,15,2,2,10,1,1,0,0,5,1,1,0,1,0.0004,0.003,0.0002,0.0,0.0,0.0
10,18,2,0,1,17,2,2,12,1,1,0,0,5,1,1,0,1,0.0004,0.0034,0.0002,0.0,0.0,0.0
11,20,2,0,2,18,2,2,13,1,1,0,1,5,1,1,0,1,0.0004,0.0036,0.0004,0.0,0.0,0.0
12,21,2,0,7,14,1,1,10,1,0,0,5,4,1,1,0,2,0.0002,0.0028,0.0014,0.0,0.0,0.0
13,23,2,0,7,16,1,2,12,1,0,0,5,4,1,2,0,2,0.0002,0.0032,0.0014,0.0,0.0,0.0
14,29,3,0,7,22,2,2,15,1,0,0,5,7,2,2,0,2,0.0004,0.0044,0.0014,0.0,0.0,0.0
15,32,4,0,8,24,2,2,18,2,1,0,5,6,2,1,0,3,0.0004,0.0048,0.0016,0.0,0.0,0.0
16,36,6,0,10,26,3,1,19,4,1,0,6,7,2,0,0,4,0.0006,0.0052,0.002,0.0,0.0,0.0
17,38,6,0,11,27,2,2,19,4,1,0,7,8,2,1,0,4,0.0004,0.0054,0.0022,0.0,0.0,0.0
18,41,7,0,12,29,3,2,20,4,1,0,8,9,3,1,0,4,0.0006,0.0058,0.0024,0.0,0.0,0.0
19,44,7,0,15,29,3,2,19,4,1,0,10,10,3,1,0,5,0.0006,0.0058,0.003,0.0,0.0,0.0
20,51,7,0,16,35,3,2,23,4,1,0,11,12,3,1,0,5,0.0006,0.007,0.0032,0.0,0.0,0.0
